pair_id,target_dataset,transfer_mode,n,mean,min,max
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_group_router_init,12,-0.0016666666666666635,-0.005700000000000038,0.007699999999999985
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_init,12,0.0007749999999999979,-0.004100000000000048,0.003599999999999992
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_router_init,12,-0.0016666666666666635,-0.005700000000000038,0.007699999999999985
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,full_except_feature_router_init,12,-0.0012583333333333335,-0.005900000000000016,0.0030000000000000027
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,full_model_init,12,-0.0017250000000000043,-0.01429999999999998,0.006000000000000005
foursquare_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,group_router_init,12,0.0007500000000000053,-0.0016999999999999793,0.0041999999999999815
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,all_router_init,12,-0.0007750000000000026,-0.018600000000000005,0.0037000000000000366
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_a12_router_init,12,-0.0012583333333333335,-0.016600000000000004,0.0050000000000000044
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_group_router_init,12,-0.0012583333333333335,-0.016600000000000004,0.0050000000000000044
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_init,12,-0.0017333333333333274,-0.006400000000000017,0.0022000000000000353
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,feature_encoder_router_init,12,-0.0012583333333333335,-0.016600000000000004,0.0050000000000000044
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,full_except_feature_router_init,12,-0.00025000000000000483,-0.0033999999999999586,0.0016999999999999793
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,full_model_init,12,-0.0018250000000000026,-0.012400000000000022,0.0037000000000000366
lastfm_to_KuaiRec,KuaiRecLargeStrictPosV2_0.2,group_router_init,12,-0.0007750000000000026,-0.018600000000000005,0.0037000000000000366
retail_rocket_to_beauty,beauty,all_router_init,12,0.0004083333333333346,-0.020099999999999993,0.010500000000000002
retail_rocket_to_beauty,beauty,feature_encoder_a12_router_init,12,0.0021666666666666687,-0.006000000000000005,0.009799999999999996
retail_rocket_to_beauty,beauty,feature_encoder_group_router_init,12,0.0021666666666666687,-0.006000000000000005,0.009799999999999996
retail_rocket_to_beauty,beauty,feature_encoder_init,12,0.0008916666666666662,-0.010000000000000009,0.015
retail_rocket_to_beauty,beauty,feature_encoder_router_init,12,0.0021666666666666687,-0.006000000000000005,0.009799999999999996
retail_rocket_to_beauty,beauty,full_except_feature_router_init,12,-0.009958333333333333,-0.019599999999999992,0.002700000000000001
retail_rocket_to_beauty,beauty,full_model_init,12,-0.002558333333333332,-0.017199999999999993,0.021200000000000004
retail_rocket_to_beauty,beauty,group_router_init,12,0.0004083333333333346,-0.020099999999999993,0.010500000000000002
