phase,run_phase,pair_id,triplet_id,target_dataset,hparam_id,seed,transfer_mode,freeze_policy,loaded_tensors,init_changed_tensors,train_changed_tensors,trainable_loaded_tensors,prefix_resolution,test_mrr20,baseline_test_mrr20,gain_vs_native,result_path
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_full_model_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,1,full_model_init,freeze_loaded,198,158,0,0,,0.3249,0.336,-0.011099999999999999,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_full_model_init_s1_20260504_084655_748151_pid436652.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_feature_encoder_group_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,2,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3333,0.3384,-0.005099999999999993,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_feature_encoder_group_router_init_20260504_084655_289099_pid436653.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_feature_encoder_a12_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,2,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3333,0.3384,-0.005099999999999993,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_feature_encoder_a12_router_init_s_20260504_084720_685018_pid436766.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_full_model_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,2,full_model_init,freeze_loaded,198,158,0,0,,0.2784,0.3384,-0.06,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_full_model_init_s2_20260504_084755_860599_pid437028.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_feature_encoder_group_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,3,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3394,0.335,0.0043999999999999595,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_feature_encoder_group_router_init_20260504_085155_798600_pid437393.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_feature_encoder_a12_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,3,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3394,0.335,0.0043999999999999595,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_feature_encoder_a12_router_init_s_20260504_085455_914771_pid437737.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_4_full_model_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,3,full_model_init,freeze_loaded,198,158,0,0,,0.3004,0.335,-0.03460000000000002,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_4_full_model_init_s3_20260504_085526_454990_pid437818.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_feature_encoder_group_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,1,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3321,0.339,-0.006900000000000017,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_feature_encoder_group_router_init_20260504_085626_139324_pid437931.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_feature_encoder_a12_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,1,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3321,0.339,-0.006900000000000017,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_feature_encoder_a12_router_init_s_20260504_085906_519601_pid438100.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_full_model_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,1,full_model_init,freeze_loaded,198,158,0,0,,0.2924,0.339,-0.04660000000000003,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_full_model_init_s1_20260504_090055_953455_pid438214.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_feature_encoder_group_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,2,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3339,0.3373,-0.003400000000000014,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_feature_encoder_group_router_init_20260504_090106_243811_pid438255.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_feature_encoder_a12_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,2,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3339,0.3373,-0.003400000000000014,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_feature_encoder_a12_router_init_s_20260504_090206_310614_pid438343.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_full_model_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,2,full_model_init,freeze_loaded,198,158,0,0,,0.2847,0.3373,-0.05259999999999998,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_full_model_init_s2_20260504_090316_345473_pid438440.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_feature_encoder_group_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,3,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3338,0.338,-0.004200000000000037,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_feature_encoder_group_router_init_20260504_090556_429556_pid438566.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_feature_encoder_a12_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,3,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3338,0.338,-0.004200000000000037,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_feature_encoder_a12_router_init_s_20260504_090621_557996_pid438647.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_5_full_model_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_5,3,full_model_init,freeze_loaded,198,158,0,0,,0.3152,0.338,-0.022800000000000042,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_5_full_model_init_s3_20260504_090737_332541_pid438729.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_feature_encoder_group_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,1,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.335,0.3398,-0.004799999999999971,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_feature_encoder_group_router_init_20260504_090742_415712_pid438754.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_feature_encoder_a12_router_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,1,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.335,0.3398,-0.004799999999999971,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_feature_encoder_a12_router_init_s_20260504_091041_796435_pid438920.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_full_model_init_s1,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,1,full_model_init,freeze_loaded,198,158,0,0,,0.3027,0.3398,-0.037099999999999966,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_full_model_init_s1_20260504_091221_974878_pid439032.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_feature_encoder_group_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,2,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3345,0.3351,-0.0005999999999999894,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_feature_encoder_group_router_init_20260504_091322_213907_pid439112.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_feature_encoder_a12_router_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,2,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3345,0.3351,-0.0005999999999999894,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_feature_encoder_a12_router_init_s_20260504_091552_098749_pid439224.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_full_model_init_s2,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,2,full_model_init,freeze_loaded,198,158,0,0,,0.3052,0.3351,-0.029899999999999982,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_full_model_init_s2_20260504_091622_521957_pid439304.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_feature_encoder_group_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,3,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3117,0.3352,-0.02350000000000002,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_feature_encoder_group_router_init_20260504_091832_421026_pid439419.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_feature_encoder_a12_router_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,3,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3117,0.3352,-0.02350000000000002,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_feature_encoder_a12_router_init_s_20260504_092047_796231_pid439529.json
freeze,AI502_P2_FREEZE_foursquare_to_kuairec_shared_6_full_model_init_s3,foursquare_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_6,3,full_model_init,freeze_loaded,198,158,0,0,,0.3086,0.3352,-0.026600000000000013,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_foursquare_to_kuairec_shared_6_full_model_init_s3_20260504_092207_707676_pid439611.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_feature_encoder_group_router_init_s1,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3226,0.3352,-0.0126,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_feature_encoder_group_router_init_s1_20260504_092227_824219_pid439686.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_feature_encoder_a12_router_init_s1,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,1,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3226,0.3352,-0.0126,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_feature_encoder_a12_router_init_s1_20260504_092833_031894_pid439925.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_full_model_init_s1,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,1,full_model_init,freeze_loaded,198,158,0,0,,0.2898,0.3352,-0.045399999999999996,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_full_model_init_s1_20260504_092913_038686_pid439975.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_feature_encoder_group_router_init_s2,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3374,0.3374,0.0,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_feature_encoder_group_router_init_s2_20260504_093107_990330_pid440088.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_feature_encoder_a12_router_init_s2,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3374,0.3374,0.0,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_feature_encoder_a12_router_init_s2_20260504_093113_158535_pid440114.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_full_model_init_s2,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,2,full_model_init,freeze_loaded,198,158,0,0,,0.2845,0.3374,-0.0529,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_full_model_init_s2_20260504_093348_277425_pid440264.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_feature_encoder_group_router_init_s3,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3339,0.3394,-0.005500000000000005,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_feature_encoder_group_router_init_s3_20260504_093558_598985_pid440375.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_feature_encoder_a12_router_init_s3,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3339,0.3394,-0.005500000000000005,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_feature_encoder_a12_router_init_s3_20260504_093718_334488_pid440472.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_3_full_model_init_s3,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_3,3,full_model_init,freeze_loaded,198,158,0,0,,0.291,0.3394,-0.0484,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_3_full_model_init_s3_20260504_093753_821393_pid440537.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_4_feature_encoder_group_router_init_s1,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,1,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3288,0.336,-0.00720000000000004,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_4_feature_encoder_group_router_init_s1_20260504_093858_509441_pid440618.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_4_feature_encoder_a12_router_init_s1,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,1,feature_encoder_a12_router_init,freeze_loaded,102,75,0,0,configured,0.3288,0.336,-0.00720000000000004,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_4_feature_encoder_a12_router_init_s1_20260504_094119_250309_pid440744.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_4_full_model_init_s1,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,1,full_model_init,freeze_loaded,198,158,0,0,,0.2889,0.336,-0.04710000000000003,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_4_full_model_init_s1_20260504_094203_729634_pid440811.json
freeze,AI502_P2_FREEZE_lastfm_to_kuairec_shared_4_feature_encoder_group_router_init_s2,lastfm_to_KuaiRec,,KuaiRecLargeStrictPosV2_0.2,shared_4,2,feature_encoder_group_router_init,freeze_loaded,54,51,0,0,configured,0.3299,0.3384,-0.008499999999999952,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts/hyperopt_results/ai502_transfer/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_p2_freeze_lastfm_to_kuairec_shared_4_feature_encoder_group_router_init_s2_20260504_094404_125256_pid440921.json
