dataset,feature,mean,std,q25,median,q75
KuaiRec,mac5_pace_trend,0.501521646976471,0.15580540895462036,0.4122335687279701,0.5,0.5917147845029831
KuaiRec,mac5_theme_ent_mean,0.9080638289451599,0.11204493045806885,0.911616176366806,0.9374928772449493,0.9570171236991882
KuaiRec,mac5_theme_top1_mean,0.35287606716156006,0.09006346762180328,0.2929512932896614,0.33958664536476135,0.398333340883255
KuaiRec,mac5_theme_repeat_r,0.5087633728981018,0.2048356533050537,0.4000000059604645,0.4000000059604645,0.6000000238418579
KuaiRec,mac5_theme_shift_r,0.7447086572647095,0.2586052119731903,0.5,0.75,1.0
KuaiRec,mac5_repeat_mean,0.0949961245059967,0.1596948504447937,0.0,0.0,0.12222222238779068
KuaiRec,mac5_adj_cat_overlap_mean,0.3009321391582489,0.11858001351356506,0.21904762089252472,0.2857142984867096,0.369047611951828
KuaiRec,mac5_adj_item_overlap_mean,0.047454096376895905,0.1499304622411728,0.0,0.0,0.0
KuaiRec,mac5_repeat_trend,0.5051389932632446,0.08039087057113647,0.5,0.5,0.5
KuaiRec,mac5_pop_mean,0.5728816986083984,0.29597336053848267,0.3251471519470215,0.6239201724529266,0.8411821275949478
KuaiRec,mac5_pop_std_mean,0.5922303199768066,0.29947879910469055,0.3629169389605522,0.6567281484603882,0.8630597591400146
KuaiRec,mac5_pop_ent_mean,0.9008796811103821,0.12009789049625397,0.908621221780777,0.9358678460121155,0.9531474858522415
KuaiRec,mac5_pop_trend,0.5352106094360352,0.11503724753856659,0.47878918796777725,0.5128720700740814,0.5917141139507294
LastFM,mac5_ctx_valid_r,0.9846068024635315,0.10528221726417542,1.0,1.0,1.0
LastFM,mac5_gap_last,0.5923579931259155,0.2730278968811035,0.3852073550224304,0.6857040524482727,0.8099112510681152
LastFM,mac5_pace_mean,0.5460959672927856,0.27833878993988037,0.30866220593452454,0.5413954854011536,0.7882956266403198
LastFM,mac5_pace_trend,0.5066783428192139,0.1585308462381363,0.4179600477218628,0.5014111399650574,0.5955405235290527
LastFM,mac5_theme_ent_mean,0.5511462688446045,0.25656431913375854,0.367318332195282,0.587372362613678,0.7620441913604736
LastFM,mac5_theme_top1_mean,0.6939443945884705,0.18634267151355743,0.5496358275413513,0.7040697932243347,0.8456233143806458
LastFM,mac5_theme_repeat_r,0.6461058855056763,0.22138555347919464,0.4000000059604645,0.6000000238418579,0.800000011920929
LastFM,mac5_theme_shift_r,0.517497718334198,0.3243231475353241,0.25,0.5,0.75
LastFM,mac5_repeat_mean,0.08497582376003265,0.1195957139134407,0.0,0.03659909963607788,0.11428571492433548
LastFM,mac5_adj_cat_overlap_mean,0.4387153685092926,0.20383751392364502,0.29356059432029724,0.4166666567325592,0.5499167442321777
LastFM,mac5_adj_item_overlap_mean,0.07592695951461792,0.12854893505573273,0.0,0.01923076994717121,0.09550011157989502
LastFM,mac5_repeat_trend,0.49987155199050903,0.06853044033050537,0.4831196665763855,0.5,0.520370364189148
LastFM,mac5_pop_mean,0.5613968968391418,0.2962453067302704,0.31388285756111145,0.6081916093826294,0.8206901550292969
LastFM,mac5_pop_std_mean,0.546011209487915,0.30461183190345764,0.27298083901405334,0.5995312929153442,0.8140575885772705
LastFM,mac5_pop_ent_mean,0.8266473412513733,0.14048132300376892,0.7930470108985901,0.8758984804153442,0.9158953428268433
LastFM,mac5_pop_trend,0.5099897980690002,0.11894463747739792,0.45419108867645264,0.5048750638961792,0.5683879256248474
ML-1M,mac5_ctx_valid_r,0.2814773917198181,0.327454149723053,0.0,0.20000000298023224,0.4000000059604645
ML-1M,mac5_gap_last,0.5097135901451111,0.23878376185894012,0.26281172037124634,0.5,0.696584165096283
ML-1M,mac5_pace_mean,0.5281941294670105,0.24349096417427063,0.33789747953414917,0.5,0.5033886432647705
ML-1M,mac5_pace_trend,0.5215725898742676,0.10932589322328568,0.5,0.5,0.5
ML-1M,mac5_theme_ent_mean,0.6237694621086121,0.14293178915977478,0.5,0.5926206111907959,0.7607596516609192
ML-1M,mac5_theme_top1_mean,0.4838084876537323,0.11847448348999023,0.4099999964237213,0.5,0.5
ML-1M,mac5_theme_repeat_r,0.6783868670463562,0.23380345106124878,0.5,0.5,1.0
ML-1M,mac5_theme_shift_r,0.5069926977157593,0.23298904299736023,0.5,0.5,0.5
ML-1M,mac5_repeat_mean,0.2076483964920044,0.2463865727186203,0.0,0.0,0.5
ML-1M,mac5_adj_cat_overlap_mean,0.5129267573356628,0.08036397397518158,0.5,0.5,0.5
ML-1M,mac5_adj_item_overlap_mean,0.3221335709095001,0.23936739563941956,0.0,0.5,0.5
ML-1M,mac5_repeat_trend,0.5,0.0,0.5,0.5,0.5
ML-1M,mac5_pop_mean,0.579734742641449,0.22013966739177704,0.5,0.5,0.7828132212162018
ML-1M,mac5_pop_std_mean,0.5840215682983398,0.22077451646327972,0.5,0.5,0.7961380481719971
ML-1M,mac5_pop_ent_mean,0.7212587594985962,0.2008543759584427,0.5,0.813366174697876,0.913562536239624
ML-1M,mac5_pop_trend,0.49136805534362793,0.041740018874406815,0.49973759055137634,0.5,0.5
Retail Rocket,mac5_ctx_valid_r,0.09775038063526154,0.2548244595527649,0.0,0.0,0.0
Retail Rocket,mac5_gap_last,0.5166345238685608,0.12081365287303925,0.5,0.5,0.5
Retail Rocket,mac5_pace_mean,0.5027343034744263,0.1261799931526184,0.5,0.5,0.5
Retail Rocket,mac5_pace_trend,0.5004679560661316,0.05059701204299927,0.5,0.5,0.5
Retail Rocket,mac5_theme_ent_mean,0.4484928846359253,0.17663581669330597,0.5,0.5,0.5
Retail Rocket,mac5_theme_top1_mean,0.5723752379417419,0.16957764327526093,0.5,0.5,0.5
Retail Rocket,mac5_theme_repeat_r,0.5691682696342468,0.1719588041305542,0.5,0.5,0.5
Retail Rocket,mac5_theme_shift_r,0.48435255885124207,0.13284677267074585,0.5,0.5,0.5
Retail Rocket,mac5_repeat_mean,0.45365583896636963,0.13101252913475037,0.5,0.5,0.5
Retail Rocket,mac5_adj_cat_overlap_mean,0.5135349035263062,0.1151423305273056,0.5,0.5,0.5
Retail Rocket,mac5_adj_item_overlap_mean,0.4639975428581238,0.13501855731010437,0.5,0.5,0.5
Retail Rocket,mac5_repeat_trend,0.49963441491127014,0.03314683586359024,0.5,0.5,0.5
Retail Rocket,mac5_pop_mean,0.5081000328063965,0.13264843821525574,0.5,0.5,0.5
Retail Rocket,mac5_pop_std_mean,0.4986751079559326,0.13414530456066132,0.5,0.5,0.5
Retail Rocket,mac5_pop_ent_mean,0.5601038932800293,0.16395598649978638,0.5,0.5,0.5
Retail Rocket,mac5_pop_trend,0.5023958683013916,0.036577947437763214,0.5,0.5,0.5
