file,axis_tag,variation_slug,combo_lane,run_phase,best_valid_mrr20,best_valid_hr10,test_mrr20,test_hr10
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/015_K_group_top1_C1_20260316_164838.summary.json,K,group_top1,C1,K_group_top1_C1,0.0814,0.117,0.1622,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/033_K_group_top1_C2_20260316_164838.summary.json,K,group_top1,C2,K_group_top1_C2,0.0814,0.117,0.1623,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/051_K_group_top1_C3_20260316_164838.summary.json,K,group_top1,C3,K_group_top1_C3,0.0814,0.117,0.1623,0.1905
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/069_K_group_top1_C4_20260316_164838.summary.json,K,group_top1,C4,K_group_top1_C4,0.0814,0.117,0.1623,0.1905
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/016_K_group_top2_C1_20260316_164838.summary.json,K,group_top2,C1,K_group_top2_C1,0.0814,0.117,0.1622,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/034_K_group_top2_C2_20260316_164838.summary.json,K,group_top2,C2,K_group_top2_C2,0.0814,0.117,0.1623,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/052_K_group_top2_C3_20260316_164838.summary.json,K,group_top2,C3,K_group_top2_C3,0.0814,0.117,0.1623,0.1905
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/070_K_group_top2_C4_20260316_164838.summary.json,K,group_top2,C4,K_group_top2_C4,0.0814,0.117,0.1623,0.1905
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/017_K_groupignore_global6_C1_20260316_164838.summary.json,K,groupignore_global6,C1,K_groupignore_global6_C1,0.0814,0.117,0.1622,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/035_K_groupignore_global6_C2_20260316_164838.summary.json,K,groupignore_global6,C2,K_groupignore_global6_C2,0.0814,0.117,0.1623,0.1901
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/053_K_groupignore_global6_C3_20260316_164838.summary.json,K,groupignore_global6,C3,K_groupignore_global6_C3,0.0814,0.117,0.1623,0.1905
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/071_K_groupignore_global6_C4_20260316_164838.summary.json,K,groupignore_global6,C4,K_groupignore_global6_C4,0.0814,0.117,0.1623,0.1905
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/001_R_base_C1_20260316_134009.summary.json,R,base,C1,R_base_C1,0.0811,0.1152,0.1621,0.1887
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/001_R_base_C1_20260316_164838.summary.json,R,base,C1,R_base_C1,0.0812,0.1155,0.1622,0.1897
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/019_R_base_C2_20260316_134009.summary.json,R,base,C2,R_base_C2,0.0814,0.1169,0.1625,0.1903
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/019_R_base_C2_20260316_164838.summary.json,R,base,C2,R_base_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/037_R_base_C3_20260316_134009.summary.json,R,base,C3,R_base_C3,0.0814,0.1169,0.1625,0.1903
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/037_R_base_C3_20260316_164838.summary.json,R,base,C3,R_base_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/055_R_base_C4_20260316_134009.summary.json,R,base,C4,R_base_C4,0.0814,0.1169,0.1625,0.1903
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/055_R_base_C4_20260316_164838.summary.json,R,base,C4,R_base_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/003_R_shared_moe_fixed03_C1_20260316_164838.summary.json,R,shared_moe_fixed03,C1,R_shared_moe_fixed03_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/021_R_shared_moe_fixed03_C2_20260316_164838.summary.json,R,shared_moe_fixed03,C2,R_shared_moe_fixed03_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/039_R_shared_moe_fixed03_C3_20260316_164838.summary.json,R,shared_moe_fixed03,C3,R_shared_moe_fixed03_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/057_R_shared_moe_fixed03_C4_20260316_164838.summary.json,R,shared_moe_fixed03,C4,R_shared_moe_fixed03_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/004_R_shared_moe_fixed05_C1_20260316_164838.summary.json,R,shared_moe_fixed05,C1,R_shared_moe_fixed05_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/022_R_shared_moe_fixed05_C2_20260316_164838.summary.json,R,shared_moe_fixed05,C2,R_shared_moe_fixed05_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/040_R_shared_moe_fixed05_C3_20260316_164838.summary.json,R,shared_moe_fixed05,C3,R_shared_moe_fixed05_C3,0.0812,0.1166,0.1623,0.1899
