model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
TiSASRec,0.086800,0.127300,0.074400,0.002500,0.074400,0.002500,P14_FAD_D02_M03_TISASREC_H2_S1,FAD_AMAZON_BEAUTY_TISASREC_H2_S1,amazon_beauty,H2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/TiSASRec/amazon_beauty_TiSASRec_p14_fad_d02_m03_tisasrec_h2_s1_20260328_080220_167105_pid333089.json,2026-03-28T08:07:35.757761Z
BSARec,0.086800,0.127300,0.008800,0.000000,0.008800,0.000000,P14_FAD_D02_M06_BSAREC_H4_S1,FAD_AMAZON_BEAUTY_BSAREC_H4_S1,amazon_beauty,H4,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/BSARec/amazon_beauty_BSARec_p14_fad_d02_m06_bsarec_h4_s1_20260328_080737_687710_pid333613.json,2026-03-28T08:08:16.889125Z
BSARec,0.086800,0.127300,0.011100,0.001500,0.011100,0.001500,P14_FAD_D02_M06_BSAREC_H3_S1,FAD_AMAZON_BEAUTY_BSAREC_H3_S1,amazon_beauty,H3,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/BSARec/amazon_beauty_BSARec_p14_fad_d02_m06_bsarec_h3_s1_20260328_080740_815351_pid333637.json,2026-03-28T08:08:59.008335Z
DuoRec,0.086800,0.127300,0.081500,0.126500,0.081500,0.117300,P14_FAD_D02_M04_DUOREC_H2_S1,FAD_AMAZON_BEAUTY_DUOREC_H2_S1,amazon_beauty,H2,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/DuoRec/amazon_beauty_DuoRec_p14_fad_d02_m04_duorec_h2_s1_20260328_080519_484327_pid333357.json,2026-03-28T08:09:44.118722Z
DIFSR,0.086800,0.127300,0.053100,0.122800,0.053100,0.122800,P14_FAD_D02_M08_DIFSR_H3_S1,FAD_AMAZON_BEAUTY_DIFSR_H3_S1,amazon_beauty,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/DIFSR/amazon_beauty_DIFSR_p14_fad_d02_m08_difsr_h3_s1_20260328_080949_803863_pid333919.json,2026-03-28T08:10:46.246640Z
SIGMA,0.086800,0.127300,0.057500,0.122800,0.057500,0.122800,P14_FAD_D02_M05_SIGMA_H2_S1,FAD_AMAZON_BEAUTY_SIGMA_H2_S1,amazon_beauty,H2,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/SIGMA/amazon_beauty_SIGMA_p14_fad_d02_m05_sigma_h2_s1_20260328_080730_676005_pid333572.json,2026-03-28T08:11:13.343437Z
DIFSR,0.086800,0.127300,0.057800,0.126800,0.057800,0.126800,P14_FAD_D02_M08_DIFSR_H4_S1,FAD_AMAZON_BEAUTY_DIFSR_H4_S1,amazon_beauty,H4,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/DIFSR/amazon_beauty_DIFSR_p14_fad_d02_m08_difsr_h4_s1_20260328_081051_265141_pid334033.json,2026-03-28T08:11:28.435229Z
FEARec,0.086800,0.127300,0.076600,0.124100,0.076600,0.124100,P14_FAD_D02_M07_FEAREC_H1_S1,FAD_AMAZON_BEAUTY_FEAREC_H1_S1,amazon_beauty,H1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/FEARec/amazon_beauty_FEARec_p14_fad_d02_m07_fearec_h1_s1_20260328_080821_938384_pid333757.json,2026-03-28T08:12:33.581642Z
FAME,0.086800,0.127300,0.017700,0.000500,0.017700,0.000500,P14_FAD_D02_M09_FAME_H1_S1,FAD_AMAZON_BEAUTY_FAME_H1_S1,amazon_beauty,H1,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/FAME/amazon_beauty_FAME_p14_fad_d02_m09_fame_h1_s1_20260328_081118_474965_pid334123.json,2026-03-28T08:13:46.719959Z
FAME,0.086800,0.127300,0.017700,0.000500,0.011800,0.000000,P14_FAD_D02_M09_FAME_H3_S1,FAD_AMAZON_BEAUTY_FAME_H3_S1,amazon_beauty,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/FAME/amazon_beauty_FAME_p14_fad_d02_m09_fame_h3_s1_20260328_081133_555197_pid334193.json,2026-03-28T08:14:21.821637Z
FEARec,0.086800,0.127300,0.076600,0.125200,0.076500,0.125200,P14_FAD_D02_M07_FEAREC_H2_S1,FAD_AMAZON_BEAUTY_FEAREC_H2_S1,amazon_beauty,H2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/amazon_beauty/FEARec/amazon_beauty_FEARec_p14_fad_d02_m07_fearec_h2_s1_20260328_080904_062176_pid333818.json,2026-03-28T08:14:58.918255Z
