dataset,model,best_valid_mrr20,test_mrr20_at_best_valid,mrr_stage,mrr_run_phase,mrr_hparam_id,mrr_seed_id,mrr_lr,best_valid_hr10,test_hr10_at_best_valid,hr_stage,hr_run_phase,hr_hparam_id,hr_seed_id,hr_lr
amazon_beauty,FEARec,0.1156,0.0899,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M07_C01_FEAREC_FAD_H2_R2_S1,FAD_H2_R2,1,0.0003524787454913093,0.1504,0.1053,StageG_Cross6x9_anchor2_core5,P22_SG_D02_M07_C01_FEAREC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0005522415761075619
amazon_beauty,DIF-SR,0.1062,0.0702,StageD_MicroWide_anchor2_core5,P19_SC_D01_M03_P02_DIFSR_C8_D1_S1,C8_D1,1,0.003165642567049155,0.1239,0.0789,StageC_Focus_anchor2_core5,P18_SC_D01_M03_P02_DIFSR_B7_C8_S1,B7_C8,1,0.00769464466411971
amazon_beauty,FAME,0.0265,0.0,StageD_MicroWide_anchor2_core5,P19_SC_D01_M04_P01_FAME_C7_D3_S1,C7_D3,1,0.00501940634180262,0.0442,0.0,StageC_Focus_anchor2_core5,P18_SC_D01_M05_P01_FAME_B1_C4_S1,B1_C4,1,0.005443543319052538
amazon_beauty,FeaturedMoE_N3,0.1101,0.0726,P14_A6_Final_all_datasets,P14_FAD_A6_AMAZON_BEAUTY_H14_S2,H14,2,0.00097694637787655,0.1327,0.0877,P14_A6_Final_all_datasets,P14_FAD_A6_AMAZON_BEAUTY_H14_S1,H14,1,0.0009515028136280779
foursquare,SASRec,0.1214,0.1166,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M01_C01_SASREC_FAD_H3_R1_S1,FAD_H3_R1,1,0.0004767965831180687,0.2152,0.2115,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M01_C02_SASREC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0004201989966304874
foursquare,GRU4Rec,0.0846,0.0755,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M02_C02_GRU4REC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0038152884080661495,0.1343,0.1335,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M02_C02_GRU4REC_FAD_H2_R2_S2,FAD_H2_R2,2,0.0038152884080661495
foursquare,TiSASRec,0.1131,0.107,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M03_C01_TISASREC_FAD_H3_R1_S1,FAD_H3_R1,1,0.0007919145603490546,0.1932,0.191,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M03_C01_TISASREC_FAD_H3_R1_S1,FAD_H3_R1,1,0.0007919145603490546
foursquare,DuoRec,0.1153,0.1074,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M04_C01_DUOREC_FAD_H2_R1_S3,FAD_H2_R1,3,0.0005753710486578212,0.2087,0.2063,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M04_C01_DUOREC_FAD_H2_R1_S3,FAD_H2_R1,3,0.0005753710486578212
foursquare,SIGMA,0.0813,0.0729,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M05_C01_SIGMA_FAD_H2_R1_S1,FAD_H2_R1,1,0.0005073906167157192,0.133,0.1256,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M05_C02_SIGMA_FAD_H4_R2_S2,FAD_H4_R2,2,0.0006393579981387121
foursquare,BSARec,0.0858,0.0758,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M06_C01_BSAREC_FAD_H4_R1_S2,FAD_H4_R1,2,0.0009453917878408424,0.1445,0.1327,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M06_C01_BSAREC_FAD_H4_R1_S2,FAD_H4_R1,2,0.0009453917878408424
foursquare,FEARec,0.1058,0.0997,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M07_C01_FEAREC_FAD_H1_R1_S1,FAD_H1_R1,1,0.0005509748757385354,0.1961,0.191,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M07_C02_FEAREC_FAD_H2_R2_S1,FAD_H2_R2,1,0.00066002733464268
foursquare,DIF-SR,0.0987,0.0917,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M08_C01_DIFSR_FAD_H3_R1_S1,FAD_H3_R1,1,0.0008748217705651188,0.1742,0.1763,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M08_C02_DIFSR_FAD_H4_R2_S2,FAD_H4_R2,2,0.001377533529289561
foursquare,FAME,0.0988,0.0915,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M09_C02_FAME_FAD_H1_R1_S3,FAD_H1_R1,3,0.0006583533108099731,0.1598,0.1561,StageG_Cross6x9_anchor2_core5,P22_SG_D03_M09_C02_FAME_FAD_H1_R1_S2,FAD_H1_R1,2,0.0006593450595989259
foursquare,FeaturedMoE_N3,0.1169,0.116,P14_A6_Final_all_datasets,P14_FAD_A6_FOURSQUARE_H15_S1,H15,1,0.00046861435289748403,0.2142,0.2126,P14_A6_Final_all_datasets,P14_FAD_A6_FOURSQUARE_H15_S2,H15,2,0.000553395645904987
movielens1m,SASRec,0.0778,0.0668,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M01_C02_SASREC_XFER_FOURSQUARE_FAD_H3_R1_C2_S2,XFER_FOURSQUARE_FAD_H3_R1_C2,2,0.0006278684293782982,0.1898,0.185,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M01_C02_SASREC_XFER_FOURSQUARE_FAD_H3_R1_C2_S1,XFER_FOURSQUARE_FAD_H3_R1_C2,1,0.00041989232121857544
movielens1m,GRU4Rec,0.0761,0.0739,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M02_C02_GRU4REC_XFER_FOURSQUARE_FAD_H3_R1_C2_S2,XFER_FOURSQUARE_FAD_H3_R1_C2,2,0.0018275985468161056,0.1768,0.1694,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M02_C02_GRU4REC_XFER_FOURSQUARE_FAD_H3_R1_C2_S2,XFER_FOURSQUARE_FAD_H3_R1_C2,2,0.0018275985468161056
movielens1m,TiSASRec,0.087,0.0743,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M03_C01_TISASREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S2,XFER_LASTFM0_03_FAD_H2_R1_C1,2,0.00036227249699384583,0.1939,0.1874,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M03_C01_TISASREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S3,XFER_LASTFM0_03_FAD_H2_R1_C1,3,0.0003307707463435334
movielens1m,DuoRec,0.0747,0.0661,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M04_C02_DUOREC_XFER_FOURSQUARE_FAD_H2_R1_C2_S3,XFER_FOURSQUARE_FAD_H2_R1_C2,3,0.0005788058176123251,0.1828,0.1786,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M04_C01_DUOREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S2,XFER_LASTFM0_03_FAD_H2_R1_C1,2,0.00026614031710261294
movielens1m,SIGMA,0.0847,0.074,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M05_C02_SIGMA_XFER_FOURSQUARE_FAD_H2_R1_C2_S2,XFER_FOURSQUARE_FAD_H2_R1_C2,2,0.0006532883507234941,0.1805,0.1855,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M05_C02_SIGMA_XFER_FOURSQUARE_FAD_H2_R1_C2_S3,XFER_FOURSQUARE_FAD_H2_R1_C2,3,0.0006501989532941254
movielens1m,BSARec,0.0876,0.0782,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M06_C01_BSAREC_XFER_LASTFM0_03_FAD_H3_R1_C1_S1,XFER_LASTFM0_03_FAD_H3_R1_C1,1,0.0005467377561033836,0.1828,0.1832,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M06_C01_BSAREC_XFER_LASTFM0_03_FAD_H3_R1_C1_S3,XFER_LASTFM0_03_FAD_H3_R1_C1,3,0.0005131701330638156
movielens1m,FEARec,0.0679,0.0623,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M07_C02_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,XFER_FOURSQUARE_FAD_H1_R1_C2,1,0.0006667404661427107,0.1754,0.1689,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M07_C01_FEAREC_XFER_LASTFM0_03_FAD_H2_R1_C1_S2,XFER_LASTFM0_03_FAD_H2_R1_C1,2,0.0001559128227078009
movielens1m,DIF-SR,0.085,0.0791,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M08_C02_DIFSR_XFER_FOURSQUARE_FAD_H3_R1_C2_S3,XFER_FOURSQUARE_FAD_H3_R1_C2,3,0.0011448277973165853,0.1944,0.1786,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M08_C02_DIFSR_XFER_FOURSQUARE_FAD_H3_R1_C2_S1,XFER_FOURSQUARE_FAD_H3_R1_C2,1,0.0007001776329855678
movielens1m,FAME,0.0831,0.0766,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M09_C01_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S2,XFER_LASTFM0_03_FAD_H3_R1_C1,2,0.00025280324116270023,0.1791,0.1781,StageG_Cross6x9_anchor2_core5,P22_SG_D04_M09_C01_FAME_XFER_LASTFM0_03_FAD_H3_R1_C1_S1,XFER_LASTFM0_03_FAD_H3_R1_C1,1,0.00024019889445246493
movielens1m,FeaturedMoE_N3,0.0835,0.075,P14_A6_Final_all_datasets,P14_FAD_A6_MOVIELENS1M_H9_S3,H9,3,0.0025610336699164018,0.1934,0.1864,P14_A6_Final_all_datasets,P14_FAD_A6_MOVIELENS1M_H9_S3,H9,3,0.0025610336699164018
retail_rocket,SASRec,0.2629,0.2635,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M01_C01_SASREC_XFER_FOURSQUARE_FAD_H3_R1_C2_S3,XFER_FOURSQUARE_FAD_H3_R1_C2,3,0.0007010020137119544,0.4201,0.4249,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M01_C02_SASREC_XFER_AMAZON_BEAUTY_FAD_H3_R1_C1_S3,XFER_AMAZON_BEAUTY_FAD_H3_R1_C1,3,0.0006897477789928707
retail_rocket,GRU4Rec,0.2378,0.2373,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M02_C01_GRU4REC_AGGR_SPARSE_GRU_G2_S2,AGGR_SPARSE_GRU_G2,2,0.009830175677575485,0.3795,0.3786,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M02_C01_GRU4REC_AGGR_SPARSE_GRU_G2_S1,AGGR_SPARSE_GRU_G2,1,0.00969891975000059
retail_rocket,TiSASRec,0.2601,0.2627,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M03_C01_TISASREC_XFER_FOURSQUARE_FAD_H3_R1_C2_S1,XFER_FOURSQUARE_FAD_H3_R1_C2,1,0.0005595929293111832,0.4211,0.4234,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M03_C02_TISASREC_XFER_AMAZON_BEAUTY_FAD_H2_R1_C1_S3,XFER_AMAZON_BEAUTY_FAD_H2_R1_C1,3,0.0004304940468124969
retail_rocket,DuoRec,0.273,0.2729,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M04_C02_DUOREC_XFER_AMAZON_BEAUTY_FAD_H2_R1_C1_S1,XFER_AMAZON_BEAUTY_FAD_H2_R1_C1,1,0.0004309560872163285,0.4313,0.4337,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M04_C02_DUOREC_XFER_AMAZON_BEAUTY_FAD_H2_R1_C1_S3,XFER_AMAZON_BEAUTY_FAD_H2_R1_C1,3,0.0004799845387945416
retail_rocket,SIGMA,0.3548,0.3534,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M05_C02_SIGMA_XFER_AMAZON_BEAUTY_FAD_H2_R1_C1_S1,XFER_AMAZON_BEAUTY_FAD_H2_R1_C1,1,0.0001917045342381459,0.4168,0.4158,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M05_C02_SIGMA_XFER_AMAZON_BEAUTY_FAD_H2_R1_C1_S2,XFER_AMAZON_BEAUTY_FAD_H2_R1_C1,2,0.00016203650907549682
retail_rocket,BSARec,0.3652,0.364,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M06_C02_BSAREC_XFER_AMAZON_BEAUTY_FAD_H3_R1_C1_S1,XFER_AMAZON_BEAUTY_FAD_H3_R1_C1,1,0.0003915194123253627,0.4343,0.4327,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M06_C02_BSAREC_XFER_AMAZON_BEAUTY_FAD_H3_R1_C1_S1,XFER_AMAZON_BEAUTY_FAD_H3_R1_C1,1,0.0003915194123253627
retail_rocket,FEARec,0.2797,0.2799,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M07_C01_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S2,XFER_FOURSQUARE_FAD_H1_R1_C2,2,0.0007046296323284741,0.4367,0.4375,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M07_C01_FEAREC_XFER_FOURSQUARE_FAD_H1_R1_C2_S1,XFER_FOURSQUARE_FAD_H1_R1_C2,1,0.0006753205554969663
retail_rocket,DIF-SR,0.3726,0.3709,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M08_C01_DIFSR_XFER_FOURSQUARE_FAD_H3_R1_C2_S2,XFER_FOURSQUARE_FAD_H3_R1_C2,2,0.0006579795688885792,0.4422,0.44,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M08_C01_DIFSR_XFER_FOURSQUARE_FAD_H3_R1_C2_S2,XFER_FOURSQUARE_FAD_H3_R1_C2,2,0.0006579795688885792
retail_rocket,FAME,0.3547,0.353,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M09_C01_FAME_XFER_AMAZON_BEAUTY_FAD_H1_R1_C1_S1,XFER_AMAZON_BEAUTY_FAD_H1_R1_C1,1,0.0005594696428355421,0.4084,0.407,StageG_Cross6x9_anchor2_core5,P22_SG_D05_M09_C01_FAME_XFER_AMAZON_BEAUTY_FAD_H1_R1_C1_S2,XFER_AMAZON_BEAUTY_FAD_H1_R1_C1,2,0.00050211623338493
retail_rocket,FeaturedMoE_N3,0.2987,0.2994,P14_A6_Final_all_datasets,P14_FAD_A6_RETAIL_ROCKET_H2_S2,H2,2,,0.4604,0.4608,P14_A6_Final_all_datasets,P14_FAD_A6_RETAIL_ROCKET_H2_S2,H2,2,
