best_mrr20_seen,best_run_result_file,combo_id,dataset,latest_best_mrr20,latest_result_file,latest_test_mrr20,model,run_count
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c3_20260316_222925_452831_pid12463.json,K_4e_top1_C3,KuaiRecLargeStrictPosV2_0.2,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c3_20260316_222925_452831_pid12463.json,0.1617,FeaturedMoE_N3,1
0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c4_20260316_214511_870682_pid12240.json,K_4e_top1_C4,KuaiRecLargeStrictPosV2_0.2,0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top1_c4_20260316_214511_870682_pid12240.json,0.1618,FeaturedMoE_N3,1
0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c1_20260316_220215_215739_pid12366.json,K_4e_top2_C1,KuaiRecLargeStrictPosV2_0.2,0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c1_20260316_220215_215739_pid12366.json,0.1601,FeaturedMoE_N3,1
0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c2_20260316_214912_743250_pid12304.json,K_4e_top2_C2,KuaiRecLargeStrictPosV2_0.2,0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c2_20260316_214912_743250_pid12304.json,0.1622,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c3_20260316_225245_106307_pid12555.json,K_4e_top2_C3,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c3_20260316_225245_106307_pid12555.json,0.1619,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c4_20260316_221843_540306_pid12431.json,K_4e_top2_C4,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_4e_top2_c4_20260316_221843_540306_pid12431.json,0.1618,FeaturedMoE_N3,1
0.0809,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c1_20260317_002002_960923_pid13040.json,K_group_dense_C1,KuaiRecLargeStrictPosV2_0.2,0.0809,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c1_20260317_002002_960923_pid13040.json,0.1615,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c2_20260316_235953_930175_pid12892.json,K_group_dense_C2,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c2_20260316_235953_930175_pid12892.json,0.1622,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c3_20260317_011749_736867_pid17811.json,K_group_dense_C3,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c3_20260317_011749_736867_pid17811.json,0.1623,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c4_20260317_003856_349993_pid13086.json,K_group_dense_C4,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c4_20260317_003856_349993_pid13086.json,0.1618,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c1_20260317_005805_538658_pid13425.json,K_group_top1_C1,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c1_20260317_005805_538658_pid13425.json,0.1607,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c2_20260317_004302_905987_pid13131.json,K_group_top1_C2,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c2_20260317_004302_905987_pid13131.json,0.1615,FeaturedMoE_N3,1
