global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,architecture_id,architecture_name,tuning_stage,family_id,family_group,variant_id,capacity_anchor,search_algo,setting_tier,setting_id,setting_key,setting_group,setting_detail,base_dataset,base_rank,base_key,base_run_phase,base_result_json,base_source,base_test_mrr20,base_valid_mrr20,base_setting_id,base_capacity_anchor,source_feature_mode,runtime_feature_mode,runtime_eval_mode,lr_mode,phase_kind,hparam_preset,pair_id,source_dataset,target_dataset,transfer_mode
0.018900,0.018900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_01_S2,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,2,1,run_complete_no_result,0.337200,,,False,False,,2026-04-16T23:40:44.045544Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-01,transfer_target,TR-01,shared_a,random,essential,TR-01,SCRATCH,transfer,Native target training with the shared hyperparameter preset.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_02_S1,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.337200,,,False,False,,2026-04-16T23:41:05.622583Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-02,transfer_target,TR-02,shared_a,random,essential,TR-02,FEATURE_ENCODER_INIT,transfer,Initialize all stage feature encoders from the source dataset.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_feature_encoder
0.018900,0.018900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_01_S3,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,3,2,run_complete_no_result,0.337200,,,False,False,,2026-04-16T23:41:30.197072Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-01,transfer_target,TR-01,shared_a,random,essential,TR-01,SCRATCH,transfer,Native target training with the shared hyperparameter preset.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,none
0.018900,0.018900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_02_S3,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,3,5,run_complete_no_result,0.337200,,,False,False,,2026-04-16T23:42:09.852002Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-02,transfer_target,TR-02,shared_a,random,essential,TR-02,FEATURE_ENCODER_INIT,transfer,Initialize all stage feature encoders from the source dataset.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_feature_encoder
0.018900,0.018700,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_05_S1,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.325500,9,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p45_tgt_beauty_to_kuairec_shared_a_tr_05_s1_20260417_003237_631904_pid1410797.json,2026-04-17T01:06:45.229746Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-05,transfer_target,TR-05,shared_a,random,essential,TR-05,FULL_MODEL_INIT,transfer,Initialize every compatible tensor from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,full_model
0.018900,0.018700,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_05_S3,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,3,6,run_complete,0.325500,9,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p45_tgt_beauty_to_kuairec_shared_a_tr_05_s3_20260417_003237_448162_pid1410799.json,2026-04-17T01:06:46.407467Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-05,transfer_target,TR-05,shared_a,random,essential,TR-05,FULL_MODEL_INIT,transfer,Initialize every compatible tensor from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,full_model
0.018900,0.018700,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_05_S2,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,2,5,run_complete,0.325500,8,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p45_tgt_beauty_to_kuairec_shared_a_tr_05_s2_20260417_003237_457477_pid1410798.json,2026-04-17T01:07:41.697597Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-05,transfer_target,TR-05,shared_a,random,essential,TR-05,FULL_MODEL_INIT,transfer,Initialize every compatible tensor from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,full_model
0.018900,0.017900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_04_S1,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.336900,8,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p45_tgt_beauty_to_kuairec_shared_a_tr_04_s1_20260417_003237_435362_pid1410794.json,2026-04-17T01:09:16.003925Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-04,transfer_target,TR-04,shared_a,random,essential,TR-04,ALL_ROUTER_INIT,transfer,Initialize all router blocks from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_full_router
0.018900,0.017900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_04_S3,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,3,3,run_complete,0.336900,7,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p45_tgt_beauty_to_kuairec_shared_a_tr_04_s3_20260417_003237_440589_pid1410796.json,2026-04-17T01:10:38.304396Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-04,transfer_target,TR-04,shared_a,random,essential,TR-04,ALL_ROUTER_INIT,transfer,Initialize all router blocks from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_full_router
0.018900,0.017900,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_04_S2,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,2,2,run_complete,0.336900,7,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p45_tgt_beauty_to_kuairec_shared_a_tr_04_s2_20260417_003237_400940_pid1410795.json,2026-04-17T01:11:27.584361Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-04,transfer_target,TR-04,shared_a,random,essential,TR-04,ALL_ROUTER_INIT,transfer,Initialize all router blocks from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_full_router
0.018900,0.017800,P45_TGT_BEAUTY_TO_KUAIREC_SHARED_A_TR_03_S3,transfer target beauty_to_kuairec,transfer_pairwise,run_complete,KuaiRecLargeStrictPosV2_0.2,3,0,run_complete,0.337100,6,False,True,True,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p45_tgt_beauty_to_kuairec_shared_a_tr_03_s3_20260417_003237_501920_pid1410793.json,2026-04-17T01:19:59.354893Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,transfer_pairwise,beauty_to_kuairec_shared_a_TR-03,transfer_target,TR-03,shared_a,random,essential,TR-03,GROUP_ROUTER_INIT,transfer,Initialize group routers only from the source checkpoint.,,,,,,,,,,,,,,,target_transfer,shared_a,beauty_to_kuairec,beauty,KuaiRecLargeStrictPosV2_0.2,all_stage_group_router
