dataset,model,model_label,pair_id,combo_id,best_valid_mrr20,test_mrr20,test_unseen_mrr20,test_main_seen_count,test_main_unseen_count,result_path
foursquare,fearec,FEARec,P036,C2,0.1788,0.1505,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_FEARec_pair60_v4_dfoursquare_mfearec_p036_c2_s1_20260415_073553_656811_pid1163407.json
foursquare,featured_moe_n3,FeaturedMoE_N3,P040,C1,0.2084,0.163,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_FeaturedMoE_N3_pair60_v4_dfoursquare_mfeatured_moe_n3_p040_c1_s1_20260415_074204_393194_pid1164965.json
foursquare,gru4rec,GRU4Rec,P032,C1,0.1507,0.1072,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_GRU4Rec_pair60_v4_dfoursquare_mgru4rec_p032_c1_s1_20260415_071646_960338_pid1161203.json
foursquare,sasrec,SASRec,P031,C1,0.2034,0.1675,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_SASRec_pair60_v4_dfoursquare_msasrec_p031_c1_s1_20260415_071248_935966_pid1160730.json
foursquare,tisasrec,TiSASRec,P033,C2,0.205,0.1636,0.0,2502,1059,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/foursquare_TiSASRec_pair60_v4_dfoursquare_mtisasrec_p033_c2_s1_20260415_072339_046022_pid1161998.json
lastfm0.03,bsarec,BSARec,P055,C1,0.2893,0.2839,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_BSARec_pair60_v4_dlastfm0_03_mbsarec_p055_c1_s1_20260415_095357_375945_pid1176857.json
lastfm0.03,difsr,DIFSR,P057,C1,0.3067,0.302,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_DIFSR_pair60_v4_dlastfm0_03_mdifsr_p057_c1_s1_20260415_101024_612560_pid1177286.json
lastfm0.03,duorec,DuoRec,P054,C1,0.2755,0.2743,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_DuoRec_pair60_v4_dlastfm0_03_mduorec_p054_c1_s1_20260415_094802_087786_pid1176817.json
lastfm0.03,fame,FAME,P058,C2,0.2529,0.2483,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_FAME_pair60_v4_dlastfm0_03_mfame_p058_c2_s1_20260415_101809_740083_pid1179590.json
lastfm0.03,fdsa,FDSA,P059,C1,0.2997,0.2923,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_FDSA_pair60_v4_dlastfm0_03_mfdsa_p059_c1_s1_20260415_103557_386490_pid1181160.json
lastfm0.03,fearec,FEARec,P056,C1,0.3001,0.2911,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_FEARec_pair60_v4_dlastfm0_03_mfearec_p056_c1_s1_20260415_100331_546410_pid1176901.json
lastfm0.03,featured_moe_n3,FeaturedMoE_N3,P060,C2,0.3074,0.303,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_FeaturedMoE_N3_pair60_v4_dlastfm0_03_mfeatured_moe_n3_p060_c2_s1_20260415_104212_340700_pid1181678.json
lastfm0.03,gru4rec,GRU4Rec,P052,C1,0.2528,0.2338,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_GRU4Rec_pair60_v4_dlastfm0_03_mgru4rec_p052_c1_s1_20260415_092553_808223_pid1176728.json
lastfm0.03,sasrec,SASRec,P051,C2,0.3063,0.3009,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_SASRec_pair60_v4_dlastfm0_03_msasrec_p051_c2_s1_20260415_092514_720089_pid1176710.json
lastfm0.03,tisasrec,TiSASRec,P053,C1,0.3077,0.3027,0.0,2754,685,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/lastfm0.03_TiSASRec_pair60_v4_dlastfm0_03_mtisasrec_p053_c1_s1_20260415_093803_230486_pid1176758.json
movielens1m,bsarec,BSARec,P045,C2,0.0984,0.0678,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_BSARec_pair60_v4_dmovielens1m_mbsarec_p045_c2_s1_20260415_080346_716525_pid1168030.json
movielens1m,difsr,DIFSR,P047,C1,0.09,0.0595,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_DIFSR_pair60_v4_dmovielens1m_mdifsr_p047_c1_s1_20260415_084007_021725_pid1172793.json
movielens1m,duorec,DuoRec,P044,C2,0.0846,0.0574,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_DuoRec_pair60_v4_dmovielens1m_mduorec_p044_c2_s1_20260415_075659_767196_pid1166835.json
movielens1m,fame,FAME,P048,C2,0.0914,0.0687,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_FAME_pair60_v4_dmovielens1m_mfame_p048_c2_s1_20260415_084958_454771_pid1176569.json
movielens1m,fdsa,FDSA,P049,C1,0.1036,0.0658,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_FDSA_pair60_v4_dmovielens1m_mfdsa_p049_c1_s1_20260415_085230_922466_pid1176589.json
movielens1m,fearec,FEARec,P046,C1,0.0789,0.0577,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_FEARec_pair60_v4_dmovielens1m_mfearec_p046_c1_s1_20260415_080823_088037_pid1168524.json
movielens1m,featured_moe_n3,FeaturedMoE_N3,P050,C2,0.0966,0.0575,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_FeaturedMoE_N3_pair60_v4_dmovielens1m_mfeatured_moe_n3_p050_c2_s1_20260415_091200_407966_pid1176658.json
movielens1m,gru4rec,GRU4Rec,P042,C2,0.0933,0.0587,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_GRU4Rec_pair60_v4_dmovielens1m_mgru4rec_p042_c2_s1_20260415_075251_860190_pid1166247.json
movielens1m,sasrec,SASRec,P041,C2,0.0868,0.0572,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_SASRec_pair60_v4_dmovielens1m_msasrec_p041_c2_s1_20260415_074827_074684_pid1165650.json
movielens1m,tisasrec,TiSASRec,P043,C1,0.0907,0.06,0.0,2152,7,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/movielens1m_TiSASRec_pair60_v4_dmovielens1m_mtisasrec_p043_c1_s1_20260415_075337_684661_pid1166460.json
retail_rocket,bsarec,BSARec,P015,C2,0.3709,0.3717,0.04510278114654854,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_BSARec_pair60_v4_dretail_rocket_mbsarec_p015_c2_s1_20260415_053335_879812_pid1149174.json
retail_rocket,difsr,DIFSR,P017,C1,0.0,0.0,0.0,0,0,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_DIFSR_pair60_v4_dretail_rocket_mdifsr_p017_c1_s1_20260415_054920_453562_pid1151651.json
retail_rocket,duorec,DuoRec,P014,C2,0.3487,0.3432,0.0,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_DuoRec_pair60_v4_dretail_rocket_mduorec_p014_c2_s1_20260415_051725_051432_pid1147186.json
retail_rocket,fame,FAME,P018,C2,0.3693,0.3733,0.04417586646649757,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_FAME_pair60_v4_dretail_rocket_mfame_p018_c2_s1_20260415_055957_024733_pid1152967.json
retail_rocket,fdsa,FDSA,P019,C1,0.0,0.0,0.0,0,0,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_FDSA_pair60_v4_dretail_rocket_mfdsa_p019_c1_s1_20260415_061349_128501_pid1154730.json
retail_rocket,fearec,FEARec,P016,C2,0.3569,0.3515,0.0,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_FEARec_pair60_v4_dretail_rocket_mfearec_p016_c2_s1_20260415_054832_537058_pid1151531.json
retail_rocket,featured_moe_n3,FeaturedMoE_N3,P020,C2,0.3622,0.361,0.001924968448477688,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_FeaturedMoE_N3_pair60_v4_dretail_rocket_mfeatured_moe_n3_p020_c2_s1_20260415_061520_965705_pid1155099.json
retail_rocket,gru4rec,GRU4Rec,P012,C1,0.2998,0.2944,0.002117057460413158,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_GRU4Rec_pair60_v4_dretail_rocket_mgru4rec_p012_c1_s1_20260415_051445_070995_pid1146670.json
retail_rocket,sasrec,SASRec,P011,C1,0.3711,0.3673,0.004729895619393981,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_SASRec_pair60_v4_dretail_rocket_msasrec_p011_c1_s1_20260415_051352_253514_pid1146508.json
retail_rocket,tisasrec,TiSASRec,P013,C1,0.3375,0.3346,0.0,17672,3308,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/retail_rocket_TiSASRec_pair60_v4_dretail_rocket_mtisasrec_p013_c1_s1_20260415_051642_266030_pid1147058.json
