dataset,model_option,model_label,pair_id,combo_id,combo_rank,combo_source,hparam_id,architecture_id,lr_lo,lr_hi,params_json
beauty,fearec,FEARec,P006,C2,2,baseline_p14:amazon_beauty:FEARec:H2,H2,,0.00014788509052639484,0.0005915403621055793,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""global_ratio"": 0.85, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}"
beauty,difsr,DIFSR,P007,C1,1,baseline_p14:amazon_beauty:DIFSR:H4,H4,,0.00013402991457133742,0.0008041794874280243,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}"
beauty,difsr,DIFSR,P007,C2,2,baseline_p14:amazon_beauty:DIFSR:H3,H3,,0.000148922127301486,0.0008935327638089159,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
beauty,fame,FAME,P008,C1,1,baseline_p14:amazon_beauty:FAME:H1,H1,,0.00016979399282660148,0.0006791759713064059,"{""dropout"": 0.1, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}"
beauty,fame,FAME,P008,C2,2,baseline_p14:amazon_beauty:FAME:H3,H3,,0.00015281459354394135,0.0006112583741757654,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 28, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0002}"
beauty,fdsa,FDSA,P009,C1,1,baseline_p14:amazon_beauty:DIFSR:H4,H4,,0.00014285424179911492,0.0007142712089955747,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0005}"
beauty,fdsa,FDSA,P009,C2,2,baseline_p14:amazon_beauty:DIFSR:H3,H3,,0.0001587269353323499,0.0007936346766617497,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
beauty,featured_moe_n3,FeaturedMoE_N3,P010,C1,1,fmoe_p14:amazon_beauty:A12:H14,H14,A12,0.0002409979253022731,0.0009639917012090924,"{""d_expert_hidden"": 256, ""d_feat_emb"": 16, ""d_ff"": 512, ""d_router_hidden"": 128, ""dropout"": 0.1, ""embedding_size"": 256, ""expert_scale"": 3, ""fmoe_architecture_id"": ""A12"", ""fmoe_stage_execution_mode"": ""serial"", ""fmoe_v2_layout_id"": 0, ""hidden_size"": 256, ""max_len"": 20, ""num_heads"": 4, ""router_impl"": ""learned"", ""router_use_feature"": true, ""router_use_hidden"": true, ""weight_decay"": 5e-07}"
beauty,featured_moe_n3,FeaturedMoE_N3,P010,C2,2,fmoe_p14:amazon_beauty:A12:H13,H13,A12,0.00021689813277204578,0.0008675925310881831,"{""d_expert_hidden"": 176, ""d_feat_emb"": 12, ""d_ff"": 352, ""d_router_hidden"": 88, ""dropout"": 0.16, ""embedding_size"": 176, ""expert_scale"": 3, ""fmoe_architecture_id"": ""A12"", ""fmoe_stage_execution_mode"": ""serial"", ""fmoe_v2_layout_id"": 0, ""hidden_size"": 176, ""max_len"": 20, ""num_heads"": 4, ""router_impl"": ""learned"", ""router_use_feature"": true, ""router_use_hidden"": true, ""weight_decay"": 1e-06}"
retail_rocket,sasrec,SASRec,P011,C1,1,baseline2_stageA:retail_rocket:sasrec:A013,A013,,0.0002173706511928416,0.0013042239071570493,"{""dropout"": 0.1, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 50, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 1e-06}"
retail_rocket,sasrec,SASRec,P011,C2,2,baseline2_stageA:retail_rocket:sasrec:A017,A017,,0.0002173706511928416,0.0013042239071570493,"{""dropout"": 0.1, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 1e-06}"
retail_rocket,gru4rec,GRU4Rec,P012,C1,1,baseline2_stageA:retail_rocket:gru4rec:A009,A009,,0.00031518744422962035,0.0018911246653777218,"{""dropout"": 0.3, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 20, ""num_layers"": 1, ""weight_decay"": 1e-06}"
retail_rocket,gru4rec,GRU4Rec,P012,C2,2,baseline2_stageA:retail_rocket:gru4rec:A006,A006,,0.0002553018298259925,0.001531810978955955,"{""dropout"": 0.3, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 50, ""num_layers"": 1, ""weight_decay"": 1e-05}"
retail_rocket,tisasrec,TiSASRec,P013,C1,1,baseline2_stageA:retail_rocket:tisasrec:A007,A007,,0.00020264994448555864,0.0008511297668393464,"{""dropout"": 0.2, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 0.0001}"
retail_rocket,tisasrec,TiSASRec,P013,C2,2,baseline2_stageA:retail_rocket:tisasrec:A018,A018,,0.00018238495003700277,0.0007660167901554118,"{""dropout"": 0.15, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 50, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 64, ""weight_decay"": 1e-05}"
retail_rocket,duorec,DuoRec,P014,C1,1,fallback_baseline:retail_rocket:duorec:H1,H1,,0.00016269219403523946,0.0006507687761409578,"{""contrast"": ""un"", ""dropout"": 0.1, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.0001}"
retail_rocket,duorec,DuoRec,P014,C2,2,fallback_baseline:retail_rocket:duorec:H2,H2,,0.00014642297463171553,0.0005856918985268621,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}"
retail_rocket,bsarec,BSARec,P015,C1,1,fallback_baseline:retail_rocket:bsarec:H4,H4,,0.00018585190676987957,0.0011151114406192772,"{""dropout"": 0.25, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0005}"
retail_rocket,bsarec,BSARec,P015,C2,2,fallback_baseline:retail_rocket:bsarec:H3,H3,,0.00020650211863319952,0.001239012711799197,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 0.0002}"
retail_rocket,fearec,FEARec,P016,C1,1,fallback_baseline:retail_rocket:fearec:H1,H1,,0.00017748239349298848,0.0007099295739719539,"{""contrast"": ""un"", ""dropout"": 0.1, ""embedding_size"": 112, ""global_ratio"": 0.85, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.0001}"
retail_rocket,fearec,FEARec,P016,C2,2,fallback_baseline:retail_rocket:fearec:H2,H2,,0.00015973415414368965,0.0006389366165747586,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""global_ratio"": 0.85, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}"
retail_rocket,difsr,DIFSR,P017,C1,1,fallback_baseline:retail_rocket:difsr:H3,H3,,0.0001787269798696698,0.0010723618792180185,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
retail_rocket,difsr,DIFSR,P017,C2,2,fallback_baseline:retail_rocket:difsr:H4,H4,,0.0001302919683249893,0.0007817518099499356,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}"
retail_rocket,fame,FAME,P018,C1,1,fallback_baseline:retail_rocket:fame:H1,H1,,0.00018339847327608811,0.0007335938931043525,"{""dropout"": 0.1, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}"
retail_rocket,fame,FAME,P018,C2,2,fallback_baseline:retail_rocket:fame:H3,H3,,0.00016505862594847932,0.0006602345037939173,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 28, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0002}"
retail_rocket,fdsa,FDSA,P019,C1,1,fallback_baseline:retail_rocket:fdsa:H3,H3,,0.00019049409439665053,0.0009524704719832527,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
retail_rocket,fdsa,FDSA,P019,C2,2,fallback_baseline:retail_rocket:fdsa:H4,H4,,0.00013887019481515826,0.0006943509740757913,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0005}"
retail_rocket,featured_moe_n3,FeaturedMoE_N3,P020,C1,1,fmoe_p14:retail_rocket:A12:H2,H2,A12,0.00026030751045638315,0.0010412300418255326,"{""d_expert_hidden"": 160, ""d_feat_emb"": 12, ""d_ff"": 320, ""d_router_hidden"": 80, ""dropout"": 0.12, ""embedding_size"": 160, ""expert_scale"": 2, ""fmoe_architecture_id"": ""A12"", ""fmoe_stage_execution_mode"": ""serial"", ""fmoe_v2_layout_id"": 0, ""hidden_size"": 160, ""max_len"": 20, ""num_heads"": 4, ""router_impl"": ""learned"", ""router_use_feature"": true, ""router_use_hidden"": true, ""weight_decay"": 5e-07}"
retail_rocket,featured_moe_n3,FeaturedMoE_N3,P020,C2,2,fmoe_p14:retail_rocket:A2:H2,H2,A2,0.00023427675941074485,0.0009371070376429794,"{""d_expert_hidden"": 160, ""d_feat_emb"": 12, ""d_ff"": 320, ""d_router_hidden"": 80, ""dropout"": 0.12, ""embedding_size"": 160, ""expert_scale"": 2, ""fmoe_architecture_id"": ""A2"", ""fmoe_stage_execution_mode"": ""serial"", ""fmoe_v2_layout_id"": 0, ""hidden_size"": 160, ""max_len"": 20, ""num_heads"": 4, ""router_impl"": ""learned"", ""router_use_feature"": true, ""router_use_hidden"": true, ""weight_decay"": 5e-07}"
KuaiRecLargeStrictPosV2_0.2,sasrec,SASRec,P021,C1,1,baseline2_stageA:KuaiRecLargeStrictPosV2_0.2:sasrec:A013,A013,,0.00046475800154489015,0.00278854800926934,"{""dropout"": 0.1, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 50, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 1e-06}"
KuaiRecLargeStrictPosV2_0.2,sasrec,SASRec,P021,C2,2,baseline2_stageA:KuaiRecLargeStrictPosV2_0.2:sasrec:A002,A002,,0.00041828220139040117,0.0025096932083424066,"{""dropout"": 0.15, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 50, ""num_heads"": 1, ""num_layers"": 2, ""weight_decay"": 1e-05}"
KuaiRecLargeStrictPosV2_0.2,gru4rec,GRU4Rec,P022,C1,1,baseline2_stageA:KuaiRecLargeStrictPosV2_0.2:gru4rec:A014,A014,,0.0006065091920160815,0.003639055152096488,"{""dropout"": 0.2, ""hidden_size"": 96, ""inner_size"": 192, ""max_len"": 100, ""num_layers"": 1, ""weight_decay"": 1e-05}"
KuaiRecLargeStrictPosV2_0.2,gru4rec,GRU4Rec,P022,C2,2,baseline2_stageA:KuaiRecLargeStrictPosV2_0.2:gru4rec:A015,A015,,0.0005458582728144734,0.00327514963688684,"{""dropout"": 0.3, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 100, ""num_layers"": 1, ""weight_decay"": 0.0001}"
KuaiRecLargeStrictPosV2_0.2,tisasrec,TiSASRec,P023,C1,1,baseline2_stageA:KuaiRecLargeStrictPosV2_0.2:tisasrec:A017,A017,,0.00043328380669355415,0.0018197919881129277,"{""dropout"": 0.1, ""hidden_size"": 96, ""inner_size"": 192, ""max_len"": 50, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 1024, ""weight_decay"": 1e-06}"
KuaiRecLargeStrictPosV2_0.2,tisasrec,TiSASRec,P023,C2,2,baseline2_stageA:KuaiRecLargeStrictPosV2_0.2:tisasrec:A007,A007,,0.0003899554260241987,0.001637812789301635,"{""dropout"": 0.2, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""time_span"": 256, ""weight_decay"": 0.0001}"
KuaiRecLargeStrictPosV2_0.2,duorec,DuoRec,P024,C1,1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DuoRec:H2,H2,,0.00034785054261852176,0.001391402170474087,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}"
KuaiRecLargeStrictPosV2_0.2,duorec,DuoRec,P024,C2,2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DuoRec:H1,H1,,0.00031306548835666957,0.0012522619534266783,"{""contrast"": ""un"", ""dropout"": 0.1, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.0001}"
KuaiRecLargeStrictPosV2_0.2,bsarec,BSARec,P025,C1,1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:BSARec:H4,H4,,0.00039736809132088103,0.0023842085479252855,"{""dropout"": 0.25, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0005}"
KuaiRecLargeStrictPosV2_0.2,bsarec,BSARec,P025,C2,2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:BSARec:H3,H3,,0.0004415201014676456,0.002649120608805873,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 0.0002}"
KuaiRecLargeStrictPosV2_0.2,fearec,FEARec,P026,C1,1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:FEARec:H1,H1,,0.0003794733192202055,0.001517893276880822,"{""contrast"": ""un"", ""dropout"": 0.1, ""embedding_size"": 112, ""global_ratio"": 0.85, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 20, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.0001}"
KuaiRecLargeStrictPosV2_0.2,fearec,FEARec,P026,C2,2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:FEARec:H2,H2,,0.00034152598729818496,0.0013661039491927398,"{""contrast"": ""un"", ""dropout"": 0.12, ""embedding_size"": 128, ""global_ratio"": 0.85, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.0, ""max_len"": 22, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.2, ""weight_decay"": 0.00015}"
KuaiRecLargeStrictPosV2_0.2,difsr,DIFSR,P027,C1,1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H4,H4,,0.00030952882902889685,0.0018571729741733807,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}"
KuaiRecLargeStrictPosV2_0.2,difsr,DIFSR,P027,C2,2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H3,H3,,0.00034392092114321867,0.002063525526859312,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
KuaiRecLargeStrictPosV2_0.2,fame,FAME,P028,C1,1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:FAME:H3,H3,,0.00039212242986087905,0.0015684897194435162,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 28, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0002}"
KuaiRecLargeStrictPosV2_0.2,fame,FAME,P028,C2,2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:FAME:H1,H1,,0.00035291018687479115,0.0014116407474991646,"{""dropout"": 0.1, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}"
KuaiRecLargeStrictPosV2_0.2,fdsa,FDSA,P029,C1,1,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H4,H4,,0.0003299077398303956,0.0016495386991519782,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0005}"
KuaiRecLargeStrictPosV2_0.2,fdsa,FDSA,P029,C2,2,baseline_p14:KuaiRecLargeStrictPosV2_0.2:DIFSR:H3,H3,,0.0003665641553671062,0.0018328207768355314,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,FeaturedMoE_N3,P030,C1,1,fmoe_p14:KuaiRecLargeStrictPosV2_0.2:A9:H14,H14,A9,0.0005565608681896348,0.002226243472758539,"{""d_expert_hidden"": 256, ""d_feat_emb"": 16, ""d_ff"": 512, ""d_router_hidden"": 128, ""dropout"": 0.1, ""embedding_size"": 256, ""expert_scale"": 3, ""fmoe_architecture_id"": ""A9"", ""fmoe_stage_execution_mode"": ""serial"", ""fmoe_v2_layout_id"": 0, ""hidden_size"": 256, ""max_len"": 20, ""num_heads"": 4, ""router_impl"": ""learned"", ""router_use_feature"": true, ""router_use_hidden"": true, ""weight_decay"": 5e-07}"
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,FeaturedMoE_N3,P030,C2,2,fmoe_p14:KuaiRecLargeStrictPosV2_0.2:A8:H14,H14,A8,0.0005009047813706713,0.0020036191254826853,"{""d_expert_hidden"": 256, ""d_feat_emb"": 16, ""d_ff"": 512, ""d_router_hidden"": 128, ""dropout"": 0.1, ""embedding_size"": 256, ""expert_scale"": 3, ""fmoe_architecture_id"": ""A8"", ""fmoe_stage_execution_mode"": ""serial"", ""fmoe_v2_layout_id"": 0, ""hidden_size"": 256, ""max_len"": 20, ""num_heads"": 4, ""router_impl"": ""learned"", ""router_use_feature"": true, ""router_use_hidden"": true, ""weight_decay"": 5e-07}"
foursquare,sasrec,SASRec,P031,C1,1,baseline2_stageA:foursquare:sasrec:A008,A008,,0.00019563358607355746,0.0011738015164413445,"{""dropout"": 0.25, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0005}"
foursquare,sasrec,SASRec,P031,C2,2,baseline2_stageA:foursquare:sasrec:A004,A004,,0.00017607022746620173,0.0010564213647972101,"{""dropout"": 0.25, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 50, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 0.0005}"
foursquare,gru4rec,GRU4Rec,P032,C1,1,baseline2_stageA:foursquare:gru4rec:A006,A006,,0.00028366869980665836,0.0017020121988399499,"{""dropout"": 0.3, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 50, ""num_layers"": 1, ""weight_decay"": 1e-05}"
