phase,pair_id,triplet_id,comparison_role,source_dataset,target_dataset,hparam_id,seed,transfer_mode,policy,valid_mrr20,test_mrr20,baseline_test_mrr20,gain_mrr20,test_ndcg20,test_recall20,test_hit10,epochs_run,early_stopped,avg_epoch_time_sec,loaded_tensors,init_changed_tensors,train_changed_tensors,loaded_lr_scale,loaded_lr,route_entropy_macro,route_neff_macro,route_top1_macro,route_knn_js_macro,group_knn_js_macro,result_path
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,2,full_model_init,std,0.0186,0.34,0.3374,0.0026000000000000467,0.3493,0.383,0.3606,17,True,16.691517254885504,198,158,125,1.0,,1.226883989336446,3.199793409334362,0.6269536659676335,0.004090396088509943,0.008383562442880932,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_full_mod_20260506_004821_572287_pid520860.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,2,feature_encoder_a12_router_init,loaded_lr_0.35,0.3732,0.3682,0.3687,-0.0005000000000000004,0.4285,0.6309,0.5617,16,True,46.14506343007088,102,75,48,0.35,0.000199381,1.3436768084354382,3.987033100480163,0.7324662268300346,0.0006985739867628902,0.0012307419124755973,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_feature_encoder_a1_20260506_005021_430040_pid520897.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_a12_router_init,loaded_lr_0.35,0.0191,0.3357,0.3374,-0.0016999999999999793,0.347,0.3886,0.3606,21,True,16.956796543938772,102,75,48,0.35,0.00019166,1.2926086973993987,3.488899175709572,0.7963439243461401,0.001953925565843345,0.005528186722870178,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_feature__20260506_005346_808643_pid520917.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,2,feature_encoder_a12_router_init,loaded_lr_0.35,0.0188,0.3381,0.3374,0.0007000000000000339,0.3458,0.374,0.3561,24,True,16.955822239319485,102,75,48,0.35,0.00019166,1.264314853672892,3.3369246032219593,0.806512879357417,0.0022008367932568485,0.004889900188985706,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_feature__20260506_005421_812390_pid520938.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,2,full_model_init,loaded_lr_0.35,0.3668,0.367,0.3687,-0.0017000000000000348,0.4268,0.6278,0.5585,19,True,45.315710732811375,198,158,125,0.35,0.000199381,1.3439874676013195,3.987353855452025,0.7324662268300346,0.0007024024032592066,0.0012191838914151541,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_full_model_init_lo_20260506_005531_740428_pid520974.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,2,full_model_init,loaded_lr_0.35,0.0176,0.323,0.3374,-0.014399999999999968,0.3364,0.3841,0.3595,21,True,16.78001418567839,198,158,125,0.35,0.00019166,1.3456107740968624,3.8168551902374213,0.9205080520713805,0.0013496925504454956,0.004348181322255316,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_full_mod_20260506_010022_438477_pid520994.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,2,full_model_init,loaded_lr_0.35,0.018,0.3345,0.3374,-0.002899999999999958,0.3427,0.3718,0.3527,20,True,16.574709403514863,198,158,125,0.35,0.00019166,1.2578209236388636,3.3160931126876037,0.6312665690658015,0.0029105224347721,0.006153619095201865,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_full_mod_20260506_010152_351596_pid521014.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,3,feature_encoder_a12_router_init,std,0.3724,0.3722,0.3707,0.0015000000000000013,0.4318,0.6323,0.5635,17,True,45.5415256023407,102,75,48,1.0,,1.3004371551504084,3.9297157475059556,0.7331448319195727,0.0022561304033730453,0.004900603845792845,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_feature_encoder_a1_20260506_010512_614973_pid521051.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_a12_router_init,std,0.0192,0.3382,0.3394,-0.0011999999999999789,0.3479,0.3852,0.3539,23,True,16.69991986647896,102,75,48,1.0,,1.2087623077864718,3.2502646363671586,0.7577256360542872,0.004224881338166932,0.010668755259027341,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_feature__20260506_010657_929710_pid521071.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_a12_router_init,std,0.0187,0.3348,0.3394,-0.004599999999999993,0.342,0.3684,0.3516,22,True,16.328870404850353,102,75,48,1.0,,1.1531622726699442,2.7468877901697493,0.9721441854944012,0.00468020835717292,0.008867447088022985,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_feature__20260506_010802_844800_pid521091.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,3,full_model_init,std,0.3767,0.3732,0.3707,0.0025000000000000022,0.4319,0.6282,0.5648,17,True,47.10432368166306,198,158,125,1.0,,1.293510887920201,3.954296957585131,0.7427709707822808,0.002582623925007565,0.005660544067422402,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_full_model_init_st_20260506_011222_826684_pid521128.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,3,full_model_init,std,0.0185,0.3354,0.3394,-0.0040000000000000036,0.344,0.3751,0.3561,20,True,16.389638769626618,198,158,125,1.0,,1.1898337343706722,3.166913662743233,0.5633284532900724,0.003959814798290234,0.010143282618581244,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_full_mod_20260506_011403_251833_pid521148.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,3,full_model_init,std,0.0178,0.3336,0.3394,-0.005799999999999972,0.341,0.3684,0.3471,22,True,16.42769367044622,198,158,125,1.0,,0.9282262498207079,2.0503585881537436,0.9812448067107189,0.006924778299694165,0.012627637737238191,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_full_mod_20260506_011443_039104_pid521168.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,3,feature_encoder_a12_router_init,loaded_lr_0.35,0.3732,0.3723,0.3707,0.0016000000000000458,0.4318,0.6318,0.5621,17,True,46.01674346362843,102,75,48,0.35,0.000199381,1.3182437153923185,3.9333420000002346,0.7331950989632422,0.0020074556168138405,0.0045945799907460925,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_feature_encoder_a1_20260506_012013_351579_pid521193.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_a12_router_init,loaded_lr_0.35,0.019,0.338,0.3394,-0.0013999999999999568,0.3487,0.3886,0.3606,18,True,16.624701115820145,102,75,48,0.35,0.00019166,1.256733810538915,3.3134737474723903,0.8969651406639497,0.0023805609291776583,0.00481713053225517,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_feature__20260506_012043_289319_pid521220.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,3,feature_encoder_a12_router_init,loaded_lr_0.35,0.0182,0.3351,0.3394,-0.0042999999999999705,0.3428,0.3707,0.3572,22,True,16.136357946829364,102,75,48,0.35,0.00019166,1.1956887816296047,2.949311244401004,0.9725002967593875,0.0026527031655650918,0.004676924803898177,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_feature__20260506_012128_472148_pid521248.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,3,full_model_init,loaded_lr_0.35,0.367,0.3663,0.3707,-0.0043999999999999595,0.4268,0.6299,0.5614,19,True,46.0744074018378,198,158,125,0.35,0.000199381,1.3379745670358152,3.9903891298794645,0.7377568331762488,0.0015517738768575456,0.003401901918132717,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_full_model_init_lo_20260506_012653_545646_pid521286.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,3,full_model_init,loaded_lr_0.35,0.0194,0.3293,0.3394,-0.010099999999999998,0.3392,0.374,0.3583,30,True,17.1833003282547,198,158,125,0.35,0.00019166,1.2297522770100502,3.3086375587747923,0.8105883749455941,0.0036929413467586022,0.008882804542447744,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_full_mod_20260506_012748_736016_pid521301.json
multihop,retail_rocket_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,b_to_c_direct,retail_rocket,KuaiRecLargeStrictPosV2_0.2,shared_3,3,full_model_init,loaded_lr_0.35,0.0172,0.3341,0.3394,-0.005299999999999971,0.341,0.3662,0.3494,24,True,16.849597682555515,198,158,125,0.35,0.00019166,1.030321970024829,2.288476346145426,0.9862699323388596,0.004175469888282116,0.007521674373416296,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_b_to_c_direct_shared_3_full_mod_20260506_012804_177702_pid521317.json
multihop_bridge,beauty_to_retail_rocket,beauty_to_retail_rocket_to_KuaiRec,a_to_b_bridge,beauty,retail_rocket,shared_3,4,feature_encoder_a12_router_init,std,0.3719,0.3692,0.3686,0.0005999999999999894,0.4277,0.6247,0.5546,18,True,44.89839665095011,102,75,48,1.0,,1.2417519095585925,3.9446036837614535,0.7356456173421301,0.0024405143343138643,0.005177071706023898,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/retail_rocket_FeaturedMoE_N3_ai502_real_bridge_beauty_to_retail_rocket_to_kuairec_shared_3_feature_encoder_a1_20260506_013529_509977_pid521357.json
multihop,beauty_to_KuaiRec,beauty_to_retail_rocket_to_KuaiRec,a_to_c_direct,beauty,KuaiRecLargeStrictPosV2_0.2,shared_3,4,feature_encoder_a12_router_init,std,0.0188,0.3389,0.3372,0.0016999999999999793,0.3474,0.3785,0.3572,28,True,16.58912512234279,102,75,48,1.0,,1.2065982440499743,3.2527376824043155,0.6486764531318008,0.006054369372345782,0.014566464845232708,/workspace/FeaturedMoE/experiments/run/AI502_transfer/artifacts_real/hyperopt_results/ai502_transfer_real/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_ai502_real_mh_beauty_to_retail_rocket_to_kuairec_a_to_c_direct_shared_3_feature__20260506_013549_368983_pid521374.json
