phase,unit,comparison_role,transfer_mode,policy,n,mean_gain,min_gain,max_gain,wins,mean_epochs
transfer,beauty_to_retail_rocket,pair,feature_encoder_a12_router_init,global_lr_0.5,10,-0.0009499999999999897,-0.00489999999999996,0.002599999999999991,2,21.8
transfer,beauty_to_retail_rocket,pair,feature_encoder_a12_router_init,loaded_lr_0.35,10,-0.0002599999999999936,-0.002599999999999991,0.0016000000000000458,4,16.4
transfer,beauty_to_retail_rocket,pair,feature_encoder_a12_router_init,std,10,-0.0004400000000000015,-0.0023999999999999577,0.0015000000000000013,4,16.5
transfer,beauty_to_retail_rocket,pair,feature_encoder_group_router_init,loaded_lr_0.35,10,-0.0002599999999999936,-0.002599999999999991,0.0016000000000000458,4,16.4
transfer,beauty_to_retail_rocket,pair,feature_encoder_group_router_init,std,10,-0.0004400000000000015,-0.0023999999999999577,0.0015000000000000013,4,16.5
transfer,beauty_to_retail_rocket,pair,feature_encoder_init,loaded_lr_0.35,10,0.0011400000000000078,-0.0014000000000000123,0.0044999999999999485,5,16.4
transfer,beauty_to_retail_rocket,pair,feature_encoder_init,std,10,0.0008300000000000141,-0.0015000000000000013,0.0041999999999999815,5,16.4
transfer,beauty_to_retail_rocket,pair,full_except_feature_router_init,global_lr_0.5,10,0.002720000000000006,0.00040000000000001146,0.006799999999999973,10,21.6
transfer,beauty_to_retail_rocket,pair,full_except_feature_router_init,loaded_lr_0.35,10,-0.004349999999999998,-0.008199999999999985,0.00019999999999997797,1,18.8
transfer,beauty_to_retail_rocket,pair,full_except_feature_router_init,std,10,0.0017599999999999949,-0.00030000000000002247,0.005299999999999971,9,16.1
transfer,beauty_to_retail_rocket,pair,full_model_init,global_lr_0.5,10,0.0016699999999999992,-0.0022999999999999687,0.005799999999999972,7,21.2
transfer,beauty_to_retail_rocket,pair,full_model_init,loaded_lr_0.35,10,-0.0051699999999999914,-0.009299999999999975,-0.0017000000000000348,0,18.7
transfer,beauty_to_retail_rocket,pair,full_model_init,std,10,0.0017199999999999882,-0.0023000000000000242,0.005699999999999983,7,15.9
transfer,beauty_to_retail_rocket,pair,group_router_init,loaded_lr_0.35,10,0.0005800000000000027,-0.0011999999999999789,0.003500000000000003,6,16.3
transfer,beauty_to_retail_rocket,pair,group_router_init,std,10,0.00045000000000000595,-0.0013999999999999568,0.00379999999999997,5,16.4
transfer,foursquare_to_KuaiRec,pair,feature_encoder_a12_router_init,global_lr_0.5,10,-0.00010999999999999899,-0.004999999999999949,0.005400000000000016,4,25.2
transfer,foursquare_to_KuaiRec,pair,feature_encoder_a12_router_init,loaded_lr_0.35,10,-0.0009899999999999965,-0.006099999999999994,0.005299999999999971,2,21.7
transfer,foursquare_to_KuaiRec,pair,feature_encoder_a12_router_init,std,10,0.0010600000000000054,-0.005700000000000038,0.007699999999999985,5,20.7
transfer,foursquare_to_KuaiRec,pair,feature_encoder_group_router_init,loaded_lr_0.35,10,-0.0009899999999999965,-0.006099999999999994,0.005299999999999971,2,21.7
transfer,foursquare_to_KuaiRec,pair,feature_encoder_group_router_init,std,10,0.0010600000000000054,-0.005700000000000038,0.007699999999999985,5,20.7
transfer,foursquare_to_KuaiRec,pair,feature_encoder_init,loaded_lr_0.35,10,-0.0003999999999999948,-0.009000000000000008,0.005900000000000016,6,20.0
transfer,foursquare_to_KuaiRec,pair,feature_encoder_init,std,10,0.001589999999999997,-0.004100000000000048,0.005900000000000016,8,20.0
transfer,foursquare_to_KuaiRec,pair,full_except_feature_router_init,global_lr_0.5,10,-0.0012000000000000066,-0.006700000000000039,0.003400000000000014,4,24.0
transfer,foursquare_to_KuaiRec,pair,full_except_feature_router_init,loaded_lr_0.35,10,-0.004209999999999997,-0.01100000000000001,0.0025000000000000022,1,23.0
transfer,foursquare_to_KuaiRec,pair,full_except_feature_router_init,std,10,-0.0012400000000000132,-0.005900000000000016,0.0030000000000000027,4,17.2
transfer,foursquare_to_KuaiRec,pair,full_model_init,global_lr_0.5,10,-0.0004799999999999971,-0.007800000000000029,0.003899999999999959,5,19.7
transfer,foursquare_to_KuaiRec,pair,full_model_init,loaded_lr_0.35,10,-0.005259999999999998,-0.012300000000000033,-0.0020000000000000018,0,23.6
transfer,foursquare_to_KuaiRec,pair,full_model_init,std,10,3.0000000000002247e-05,-0.006800000000000028,0.006000000000000005,6,19.5
transfer,foursquare_to_KuaiRec,pair,group_router_init,loaded_lr_0.35,10,0.0015800000000000037,-0.0030000000000000027,0.006700000000000039,7,19.8
transfer,foursquare_to_KuaiRec,pair,group_router_init,std,10,0.0021100000000000064,-0.0012999999999999678,0.006700000000000039,8,20.5
transfer,lastfm_to_KuaiRec,pair,feature_encoder_a12_router_init,global_lr_0.5,10,7.00000000000034e-05,-0.0030000000000000027,0.005800000000000027,4,23.2
transfer,lastfm_to_KuaiRec,pair,feature_encoder_a12_router_init,loaded_lr_0.35,10,-0.0009799999999999865,-0.00720000000000004,0.003400000000000014,4,23.2
transfer,lastfm_to_KuaiRec,pair,feature_encoder_a12_router_init,std,10,-0.0012499999999999955,-0.016600000000000004,0.0050000000000000044,3,24.7
transfer,lastfm_to_KuaiRec,pair,feature_encoder_group_router_init,loaded_lr_0.35,10,-0.0009799999999999865,-0.00720000000000004,0.003400000000000014,4,23.2
transfer,lastfm_to_KuaiRec,pair,feature_encoder_group_router_init,std,10,-0.0012499999999999955,-0.016600000000000004,0.0050000000000000044,3,24.7
transfer,lastfm_to_KuaiRec,pair,feature_encoder_init,loaded_lr_0.35,10,-0.0010699999999999933,-0.0050000000000000044,0.0049000000000000155,3,20.3
transfer,lastfm_to_KuaiRec,pair,feature_encoder_init,std,10,-0.0005899999999999905,-0.006400000000000017,0.005600000000000049,4,19.8
transfer,lastfm_to_KuaiRec,pair,full_except_feature_router_init,global_lr_0.5,10,0.0010800000000000143,-0.00379999999999997,0.004400000000000015,6,22.7
transfer,lastfm_to_KuaiRec,pair,full_except_feature_router_init,loaded_lr_0.35,10,-0.0020499999999999963,-0.008599999999999997,0.0046000000000000485,3,19.1
transfer,lastfm_to_KuaiRec,pair,full_except_feature_router_init,std,10,0.00017000000000000348,-0.0033999999999999586,0.004100000000000048,6,16.6
transfer,lastfm_to_KuaiRec,pair,full_model_init,global_lr_0.5,10,0.0020400000000000027,-0.0020000000000000018,0.008700000000000041,7,20.7
transfer,lastfm_to_KuaiRec,pair,full_model_init,loaded_lr_0.35,10,-0.0012499999999999955,-0.007799999999999974,0.005300000000000027,3,17.8
transfer,lastfm_to_KuaiRec,pair,full_model_init,std,10,0.0015800000000000091,-0.008900000000000019,0.00770000000000004,8,16.3
transfer,lastfm_to_KuaiRec,pair,group_router_init,loaded_lr_0.35,10,0.0003100000000000047,-0.02190000000000003,0.00720000000000004,9,18.9
transfer,lastfm_to_KuaiRec,pair,group_router_init,std,10,0.00040000000000001146,-0.018600000000000005,0.007000000000000006,8,16.8
transfer,retail_rocket_to_beauty,pair,feature_encoder_a12_router_init,global_lr_0.5,10,0.003540000000000004,-0.010099999999999998,0.013800000000000007,7,61.5
transfer,retail_rocket_to_beauty,pair,feature_encoder_a12_router_init,loaded_lr_0.35,10,0.0035200000000000023,-0.00399999999999999,0.0162,7,44.8
transfer,retail_rocket_to_beauty,pair,feature_encoder_a12_router_init,std,10,0.005170000000000003,-0.002999999999999989,0.0172,7,45.0
transfer,retail_rocket_to_beauty,pair,feature_encoder_group_router_init,loaded_lr_0.35,10,0.0035200000000000023,-0.00399999999999999,0.0162,7,44.8
transfer,retail_rocket_to_beauty,pair,feature_encoder_group_router_init,std,10,0.005170000000000003,-0.002999999999999989,0.0172,7,45.0
transfer,retail_rocket_to_beauty,pair,feature_encoder_init,loaded_lr_0.35,10,0.003700000000000001,-0.006499999999999992,0.007400000000000004,9,41.7
transfer,retail_rocket_to_beauty,pair,feature_encoder_init,std,10,0.004450000000000002,-0.0077999999999999875,0.015,8,42.2
transfer,retail_rocket_to_beauty,pair,full_except_feature_router_init,global_lr_0.5,10,-0.008509999999999997,-0.02339999999999999,0.009999999999999995,3,51.3
transfer,retail_rocket_to_beauty,pair,full_except_feature_router_init,loaded_lr_0.35,10,-0.00832,-0.026199999999999994,0.009999999999999995,4,42.1
transfer,retail_rocket_to_beauty,pair,full_except_feature_router_init,std,10,-0.00802,-0.022899999999999997,0.008800000000000002,3,37.3
transfer,retail_rocket_to_beauty,pair,full_model_init,global_lr_0.5,10,-0.003589999999999998,-0.01809999999999999,0.010200000000000008,4,51.6
transfer,retail_rocket_to_beauty,pair,full_model_init,loaded_lr_0.35,10,-0.0030200000000000005,-0.019299999999999998,0.015300000000000001,5,43.1
transfer,retail_rocket_to_beauty,pair,full_model_init,std,10,0.003080000000000002,-0.017199999999999993,0.022700000000000005,5,41.8
transfer,retail_rocket_to_beauty,pair,group_router_init,loaded_lr_0.35,10,0.0011600000000000026,-0.02029999999999999,0.013899999999999996,7,38.4
transfer,retail_rocket_to_beauty,pair,group_router_init,std,10,0.00031000000000000195,-0.020099999999999993,0.013999999999999999,7,36.4
