run_phase,setting_id,setting_label,seed_id,best_valid_mrr20,test_mrr20,diag_raw_best_valid_file,result_json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S2,,unknown,0,-1.0,0.0566,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s2_20260417_074448_388871_pid1507807.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S3,,unknown,0,-1.0,0.0566,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s3_20260417_074448_474844_pid1507808.json
P4R_BEAUTY_B01_B25_LR_H8_SEEN_ANCHOR_RI_02_S4,,unknown,0,-1.0,0.0565,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b01_b25_lr_h8_seen_anchor_ri_02_s4_20260417_074448_493161_pid1507809.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S1,,unknown,0,-1.0,0.0471,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s1_20260417_071752_680696_pid1501375.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S1,,unknown,0,-1.0,0.0471,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s1_20260417_072524_149866_pid1503697.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S1,,unknown,0,-1.0,0.0471,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s1_20260417_073052_421087_pid1505314.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S2,,unknown,0,-1.0,0.0471,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s2_20260417_071752_610505_pid1501376.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S2,,unknown,0,-1.0,0.0471,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s2_20260417_074724_678753_pid1508355.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S3,,unknown,0,-1.0,0.0471,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s3_20260417_074727_816833_pid1508371.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_00_S4,,unknown,0,-1.0,0.0471,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_00_s4_20260417_074736_835608_pid1508430.json
