global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,source_phase,source_axis,axis_id,axis_desc,setting_uid,setting_idx,setting_key,setting_short,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.079900,0.079900,P10_13_2_AP10_00_H1_S4,P10-00_FULL | group_subset | All 4 families,deep,trial_new_best,KuaiRecLargeStrictPosV2_0.2,4,3,running,0.160700,,,,,,2026-03-24T15:26:07.760937Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H1,AP10_00_H1_S4
0.081400,0.081300,P10_13_2_AP10_00_H3_S4,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,7,run_complete,0.161500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h3_s4_20260324_152253_368032_pid57034.json,2026-03-24T16:08:25.158648Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S4
0.081400,0.081400,P10_13_2_AP10_00_H3_S2,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,5,run_complete,0.161700,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h3_s2_20260324_152253_437384_pid57032.json,2026-03-24T16:14:38.082910Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S2
0.081400,0.081300,P10_13_2_AP10_00_H3_S3,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,6,run_complete,0.161500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h3_s3_20260324_152253_402420_pid57033.json,2026-03-24T16:16:23.665220Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S3
0.081400,0.081400,P10_13_2_AP10_00_H3_S1,P10-00_FULL | group_subset | All 4 families,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.161800,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_00_h3_s1_20260324_152253_431472_pid57031.json,2026-03-24T16:18:15.288476Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_00,0,P10-00_FULL,FULL,All 4 families,group_subset,All 4 families,H3,AP10_00_H3_S1
0.081400,0.080300,P10_13_2_AP10_21_H1_S1,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h1_s1_20260324_155935_745226_pid57372.json,2026-03-24T16:45:26.728269Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H1,AP10_21_H1_S1
0.081400,0.080300,P10_13_2_AP10_21_H1_S3,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,2,run_complete,0.161900,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h1_s3_20260324_160245_411978_pid57396.json,2026-03-24T16:45:36.215224Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H1,AP10_21_H1_S3
0.081400,0.080300,P10_13_2_AP10_21_H1_S4,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,3,run_complete,0.161600,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h1_s4_20260324_160340_085771_pid57419.json,2026-03-24T16:51:49.170084Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H1,AP10_21_H1_S4
0.081400,0.081000,P10_13_2_AP10_21_H3_S4,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,7,run_complete,0.162000,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h3_s4_20260324_160832_479482_pid57468.json,2026-03-24T16:52:28.711565Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H3,AP10_21_H3_S4
0.081400,0.080900,P10_13_2_AP10_21_H3_S2,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,5,run_complete,0.162200,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h3_s2_20260324_161445_304500_pid57500.json,2026-03-24T16:58:38.656455Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H3,AP10_21_H3_S2
0.081400,0.080900,P10_13_2_AP10_21_H3_S3,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,6,run_complete,0.162100,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h3_s3_20260324_161630_724650_pid57525.json,2026-03-24T16:59:24.197720Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H3,AP10_21_H3_S3
0.081400,0.080400,P10_13_2_AP10_21_H1_S2,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,1,run_complete,0.161800,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h1_s2_20260324_160743_778067_pid57447.json,2026-03-24T16:59:54.701199Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H1,AP10_21_H1_S2
0.081400,0.081000,P10_13_2_AP10_21_H3_S1,P10-21_FEATURE_DROPOUT | stochastic | Train-time element-wise feature dropout,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.162200,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_21_h3_s1_20260324_161822_457309_pid57553.json,2026-03-24T17:06:10.612581Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_21,21,P10-21_FEATURE_DROPOUT,FEATURE_DROPOUT,Train-time element-wise feature dropout,stochastic,Train-time element-wise feature dropout,H3,AP10_21_H3_S1
0.081400,0.081000,P10_13_2_AP10_15_H1_S4,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,3,run_complete,0.161700,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h1_s4_20260324_165156_601275_pid57674.json,2026-03-24T17:33:40.075045Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H1,AP10_15_H1_S4
0.081400,0.081000,P10_13_2_AP10_15_H1_S1,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161700,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h1_s1_20260324_164533_841089_pid57622.json,2026-03-24T17:33:52.618527Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H1,AP10_15_H1_S1
0.081400,0.081000,P10_13_2_AP10_15_H1_S3,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,2,run_complete,0.161500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h1_s3_20260324_164543_355782_pid57634.json,2026-03-24T17:38:35.469258Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H1,AP10_15_H1_S3
0.081400,0.080600,P10_13_2_AP10_15_H3_S4,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,7,run_complete,0.162400,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h3_s4_20260324_165235_767778_pid57694.json,2026-03-24T17:41:03.172408Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H3,AP10_15_H3_S4
0.081400,0.080700,P10_13_2_AP10_15_H1_S2,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,1,run_complete,0.161700,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h1_s2_20260324_170001_993852_pid57765.json,2026-03-24T17:45:21.994168Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H1,AP10_15_H1_S2
0.081400,0.080500,P10_13_2_AP10_15_H3_S2,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,5,run_complete,0.162100,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h3_s2_20260324_165845_937804_pid57727.json,2026-03-24T17:46:52.583520Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H3,AP10_15_H3_S2
0.081400,0.080600,P10_13_2_AP10_15_H3_S3,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,6,run_complete,0.162200,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h3_s3_20260324_165931_288181_pid57749.json,2026-03-24T17:54:17.610558Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H3,AP10_15_H3_S3
0.081400,0.080600,P10_13_2_AP10_15_H3_S1,P10-15_TOP2_PER_GROUP | compactness | Keep top-2 representative features per family/stage,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.162000,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_15_h3_s1_20260324_170617_852429_pid57799.json,2026-03-24T18:03:15.801868Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_15,15,P10-15_TOP2_PER_GROUP,TOP2_PER_GROUP,Keep top-2 representative features per family/stage,compactness,Keep top-2 representative features per family/stage,H3,AP10_15_H3_S1
0.081400,0.080800,P10_13_2_AP10_18_H3_S4,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,7,run_complete,0.162200,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h3_s4_20260324_174110_459293_pid57948.json,2026-03-24T18:12:13.956038Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H3,AP10_18_H3_S4
0.081400,0.080600,P10_13_2_AP10_18_H1_S4,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,3,run_complete,0.161800,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h1_s4_20260324_173347_284060_pid57872.json,2026-03-24T18:13:14.533263Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H1,AP10_18_H1_S4
0.081400,0.080700,P10_13_2_AP10_18_H1_S3,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,2,run_complete,0.161600,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h1_s3_20260324_173842_699841_pid57922.json,2026-03-24T18:16:21.282217Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H1,AP10_18_H1_S3
0.081400,0.080600,P10_13_2_AP10_18_H1_S1,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h1_s1_20260324_173359_804552_pid57884.json,2026-03-24T18:18:57.975208Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H1,AP10_18_H1_S1
0.081400,0.080700,P10_13_2_AP10_18_H3_S2,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,5,run_complete,0.161600,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h3_s2_20260324_174659_836911_pid58000.json,2026-03-24T18:19:13.477770Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H3,AP10_18_H3_S2
0.081400,0.080700,P10_13_2_AP10_18_H1_S2,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,2,1,run_complete,0.161600,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h1_s2_20260324_174529_207814_pid57976.json,2026-03-24T18:25:41.436541Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H1,AP10_18_H1_S2
0.081400,0.081000,P10_13_2_AP10_18_H3_S3,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,6,run_complete,0.161900,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h3_s3_20260324_175424_755171_pid58035.json,2026-03-24T18:35:21.673970Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H3,AP10_18_H3_S3
0.081400,0.080900,P10_13_2_AP10_18_H3_S1,P10-18_NO_CATEGORY | availability | Drop category/theme-derived columns,deep,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.161800,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_18_h3_s1_20260324_180323_016287_pid58072.json,2026-03-24T18:45:34.914467Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_18,18,P10-18_NO_CATEGORY,NO_CATEGORY,Drop category/theme-derived columns,availability,Drop category/theme-derived columns,H3,AP10_18_H3_S1
0.081400,0.080900,P10_13_2_AP10_20_H3_S4,P10-20_FAMILY_DROPOUT | stochastic | Train-time family dropout (session scope),deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,7,run_complete,0.162400,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_20_h3_s4_20260324_181221_101372_pid58110.json,2026-03-24T18:56:06.161057Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_20,20,P10-20_FAMILY_DROPOUT,FAMILY_DROPOUT,Train-time family dropout (session scope),stochastic,Train-time family dropout (session scope),H3,AP10_20_H3_S4
0.081400,0.080300,P10_13_2_AP10_20_H1_S3,P10-20_FAMILY_DROPOUT | stochastic | Train-time family dropout (session scope),deep,run_complete,KuaiRecLargeStrictPosV2_0.2,3,2,run_complete,0.161500,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_20_h1_s3_20260324_181628_564571_pid58161.json,2026-03-24T18:59:39.871737Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_20,20,P10-20_FAMILY_DROPOUT,FAMILY_DROPOUT,Train-time family dropout (session scope),stochastic,Train-time family dropout (session scope),H1,AP10_20_H1_S3
0.081400,0.080200,P10_13_2_AP10_20_H1_S4,P10-20_FAMILY_DROPOUT | stochastic | Train-time family dropout (session scope),deep,run_complete,KuaiRecLargeStrictPosV2_0.2,4,3,run_complete,0.161000,10,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p10_13_2_ap10_20_h1_s4_20260324_181321_721022_pid58135.json,2026-03-24T19:01:58.560526Z,P10_13_2,P10,phase10_feature_portability_v1,A,verification_wrapper,P10_20,20,P10-20_FAMILY_DROPOUT,FAMILY_DROPOUT,Train-time family dropout (session scope),stochastic,Train-time family dropout (session scope),H1,AP10_20_H1_S4
