dataset,model,rank,score,a,l,test_mrr20,test_ndcg20,test_hr20,file
beauty,GRU4Rec,5,0.02521673775912282,29,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/GRU4Rec/beauty_GRU4Rec_abcd_v1_a_dbeauty_mgru4rec_a029_l06_s1_20260413_170342_931626_pid758813_special_metrics.json
beauty,SASRec,1,0.06518109521844931,1,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/SASRec/beauty_SASRec_abcd_v1_a_dbeauty_msasrec_a001_l06_s1_20260413_170424_094127_pid759376_special_metrics.json
beauty,SASRec,2,0.06517615615489761,14,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/SASRec/beauty_SASRec_abcd_v1_a_dbeauty_msasrec_a014_l06_s1_20260413_170802_345430_pid762340_special_metrics.json
beauty,SASRec,3,0.06505711228130727,23,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/SASRec/beauty_SASRec_abcd_v1_a_dbeauty_msasrec_a023_l06_s1_20260413_171035_113614_pid764442_special_metrics.json
beauty,SASRec,4,0.06445035333054487,29,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/SASRec/beauty_SASRec_abcd_v1_a_dbeauty_msasrec_a029_l06_s1_20260413_171219_659654_pid765942_special_metrics.json
beauty,SASRec,5,0.06381324222950084,2,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/SASRec/beauty_SASRec_abcd_v1_a_dbeauty_msasrec_a002_l06_s1_20260413_170440_819860_pid759560_special_metrics.json
beauty,TiSASRec,1,0.07493411370536737,22,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/TiSASRec/beauty_TiSASRec_abcd_v1_a_dbeauty_mtisasrec_a022_l06_s1_20260413_171610_449595_pid769960_special_metrics.json
beauty,TiSASRec,2,0.06201779646902944,22,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/TiSASRec/beauty_TiSASRec_abcd_v1_a_dbeauty_mtisasrec_a022_l05_s1_20260413_171610_211604_pid769959_special_metrics.json
beauty,TiSASRec,3,0.054192264250923765,22,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/TiSASRec/beauty_TiSASRec_abcd_v1_a_dbeauty_mtisasrec_a022_l04_s1_20260413_171610_290684_pid769958_special_metrics.json
beauty,TiSASRec,4,0.053675646826838765,7,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/TiSASRec/beauty_TiSASRec_abcd_v1_a_dbeauty_mtisasrec_a007_l06_s1_20260413_171341_503151_pid767286_special_metrics.json
beauty,TiSASRec,5,0.05270615306220937,21,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/TiSASRec/beauty_TiSASRec_abcd_v1_a_dbeauty_mtisasrec_a021_l06_s1_20260413_171547_610908_pid769703_special_metrics.json
foursquare,GRU4Rec,1,0.11030233904690546,6,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/GRU4Rec/foursquare_GRU4Rec_abcd_v1_a_dfoursquare_mgru4rec_a006_l06_s1_20260413_165149_962406_pid742599_special_metrics.json
foursquare,GRU4Rec,2,0.10722564954338433,9,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/GRU4Rec/foursquare_GRU4Rec_abcd_v1_a_dfoursquare_mgru4rec_a009_l06_s1_20260413_165303_958153_pid743388_special_metrics.json
foursquare,GRU4Rec,3,0.10340680876524039,25,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/GRU4Rec/foursquare_GRU4Rec_abcd_v1_a_dfoursquare_mgru4rec_a025_l06_s1_20260413_171949_561997_pid773054_special_metrics.json
foursquare,GRU4Rec,4,0.10304965902180574,1,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/GRU4Rec/foursquare_GRU4Rec_abcd_v1_a_dfoursquare_mgru4rec_a001_l06_s1_20260413_164951_506093_pid741321_special_metrics.json
foursquare,GRU4Rec,5,0.10124335141512479,3,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/GRU4Rec/foursquare_GRU4Rec_abcd_v1_a_dfoursquare_mgru4rec_a003_l06_s1_20260413_165038_839942_pid741872_special_metrics.json
foursquare,SASRec,1,0.14769209336280592,20,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/SASRec/foursquare_SASRec_abcd_v1_a_dfoursquare_msasrec_a020_l06_s1_20260413_173740_129152_pid782557_special_metrics.json
foursquare,SASRec,2,0.14611762756514174,24,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/SASRec/foursquare_SASRec_abcd_v1_a_dfoursquare_msasrec_a024_l06_s1_20260413_174031_378903_pid783968_special_metrics.json
foursquare,SASRec,3,0.1460129591937027,8,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/SASRec/foursquare_SASRec_abcd_v1_a_dfoursquare_msasrec_a008_l06_s1_20260413_172944_965512_pid778174_special_metrics.json
foursquare,SASRec,4,0.14445449543247002,16,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/SASRec/foursquare_SASRec_abcd_v1_a_dfoursquare_msasrec_a016_l06_s1_20260413_173539_169160_pid781333_special_metrics.json
foursquare,SASRec,5,0.14310944650823226,4,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/SASRec/foursquare_SASRec_abcd_v1_a_dfoursquare_msasrec_a004_l06_s1_20260413_172647_054359_pid776654_special_metrics.json
foursquare,TiSASRec,1,0.1512603645980177,20,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/TiSASRec/foursquare_TiSASRec_abcd_v1_a_dfoursquare_mtisasrec_a020_l06_s1_20260413_174909_358244_pid789945_special_metrics.json
foursquare,TiSASRec,2,0.14838156424353743,21,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/TiSASRec/foursquare_TiSASRec_abcd_v1_a_dfoursquare_mtisasrec_a021_l05_s1_20260413_175017_954852_pid790385_special_metrics.json
foursquare,TiSASRec,3,0.1479874413673455,22,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/TiSASRec/foursquare_TiSASRec_abcd_v1_a_dfoursquare_mtisasrec_a022_l05_s1_20260413_175129_790636_pid790746_special_metrics.json
foursquare,TiSASRec,4,0.1458048401979148,7,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/TiSASRec/foursquare_TiSASRec_abcd_v1_a_dfoursquare_mtisasrec_a007_l06_s1_20260413_174632_637231_pid787681_special_metrics.json
foursquare,TiSASRec,5,0.14508368187239076,21,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/foursquare/TiSASRec/foursquare_TiSASRec_abcd_v1_a_dfoursquare_mtisasrec_a021_l04_s1_20260413_175017_896707_pid790379_special_metrics.json
lastfm0.03,GRU4Rec,1,0.22963695796985498,14,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_abcd_v1_a_dlastfm0.03_mgru4rec_a014_l06_s1_20260413_233508_073030_pid844210_special_metrics.json
lastfm0.03,GRU4Rec,2,0.2292706270933267,6,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_abcd_v1_a_dlastfm0.03_mgru4rec_a006_l06_s1_20260413_232354_718061_pid843344_special_metrics.json
lastfm0.03,GRU4Rec,3,0.2279844112915773,2,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_abcd_v1_a_dlastfm0.03_mgru4rec_a002_l06_s1_20260413_231920_743045_pid842904_special_metrics.json
lastfm0.03,GRU4Rec,4,0.22419671364445326,3,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_abcd_v1_a_dlastfm0.03_mgru4rec_a003_l06_s1_20260413_232031_105253_pid843019_special_metrics.json
lastfm0.03,GRU4Rec,5,0.22280004052080424,9,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_abcd_v1_a_dlastfm0.03_mgru4rec_a009_l06_s1_20260413_232908_740089_pid843669_special_metrics.json
lastfm0.03,SASRec,1,0.2654219960903055,17,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/SASRec/lastfm0.03_SASRec_abcd_v1_a_dlastfm0.03_msasrec_a017_l04_s1_20260414_010801_782402_pid854069_special_metrics.json
