ratio	score	dataset	model	run_phase	path
0.647520	0.049600	beauty	FEARec	PAIR60_V4_DBEAUTY_MFEAREC_P006_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_FEARec_pair60_v4_dbeauty_mfearec_p006_c1_s1_20260415_051111_103524_pid1145760.json
0.651436	0.049900	beauty	DuoRec	PAIR60_V4_DBEAUTY_MDUOREC_P004_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_DuoRec_pair60_v4_dbeauty_mduorec_p004_c2_s1_20260415_050911_926268_pid1145323.json
0.658693	0.112900	foursquare	BSARec	PAIR60_V4_REVISED_DFOURSQUARE_MBSAREC_P035_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/foursquare_BSARec_pair60_v4_revised_dfoursquare_mbsarec_p035_c2_s1_rev1_20260415_115055_650988_pid1191106.json
0.690601	0.052900	beauty	FeaturedMoE_N3	PAIR60_V4_DBEAUTY_MFEATURED_MOE_N3_P010_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_FeaturedMoE_N3_pair60_v4_dbeauty_mfeatured_moe_n3_p010_c2_s1_20260415_051330_080946_pid1146369.json
0.691949	0.118600	foursquare	BSARec	PAIR60_V4_DFOURSQUARE_MBSAREC_P035_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_BSARec_pair60_v4_dfoursquare_mbsarec_p035_c2_s1_20260415_073107_342668_pid1162552.json
0.717036	0.122900	foursquare	DIFSR	PAIR60_V4_DFOURSQUARE_MDIFSR_P037_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_DIFSR_pair60_v4_dfoursquare_mdifsr_p037_c1_s1_20260415_073707_455494_pid1163725.json
0.726364	0.239700	KuaiRecLargeStrictPosV2_0.2	TiSASRec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MTISASREC_P023_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_TiSASRec_pair60_v4_dkuaireclargestrictposv2_0_2_mtisasrec_p023_c2_s1_20260415_064739_762169_pid1158431.json
0.733681	0.056200	beauty	SASRec	PAIR60_V4_DBEAUTY_MSASREC_P001_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_SASRec_pair60_v4_dbeauty_msasrec_p001_c2_s1_20260415_050911_990850_pid1145314.json
0.742727	0.245100	KuaiRecLargeStrictPosV2_0.2	TiSASRec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MTISASREC_P023_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_TiSASRec_pair60_v4_dkuaireclargestrictposv2_0_2_mtisasrec_p023_c1_s1_20260415_064547_964776_pid1158240.json
0.742764	0.228400	lastfm0.03	FAME	PAIR60_V4_DLASTFM0_03_MFAME_P058_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FAME_pair60_v4_dlastfm0_03_mfame_p058_c1_s1_20260415_101607_243450_pid1179461.json
