dataset,model,job_id,gpu_id,status,valid_mrr20,test_mrr20,valid_hr10,test_hr10,valid_ndcg10,test_ndcg10,result_path,log_path,elapsed_sec,error,timestamp_utc
KuaiRec,fearec,KuaiRec_fearec,0,ok,0.0155,0.2777,0.0285,0.3308,0.0177,0.2895,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FEARec_p0_20260508_203830_534087_pid686551.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_fearec.log,58004.6,,2026-05-09T12:45:11Z
KuaiRec,fame,KuaiRec_fame,1,ok,0.0152,0.3458,0.0301,0.3783,0.0177,0.3529,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FAME_p0_20260509_033019_554135_pid701015.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_fame.log,36658.2,,2026-05-09T13:41:14Z
lastfm,tisasrec,lastfm_tisasrec,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_tisasrec.log,404.3,rc=-9,2026-05-09T13:47:58Z
lastfm,duorec,lastfm_duorec,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_duorec.log,376.2,rc=-9,2026-05-09T13:54:14Z
lastfm,sasrec,lastfm_sasrec,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_sasrec.log,36072.8,rc=-9,2026-05-09T13:54:14Z
lastfm,fearec,lastfm_fearec,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_fearec.log,293.7,rc=-9,2026-05-09T13:59:08Z
lastfm,bsarec,lastfm_bsarec,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_bsarec.log,294.5,rc=-9,2026-05-09T13:59:09Z
lastfm,fame,lastfm_fame,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_fame.log,303.1,rc=-9,2026-05-09T14:04:12Z
lastfm,difsr,lastfm_difsr,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_difsr.log,497.2,rc=-9,2026-05-09T14:07:25Z
lastfm,fdsa,lastfm_fdsa,1,completed,0.0,0.0,0.0,0.0,0.0,0.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/lastfm_FDSA_p0_20260509_140419_429697_pid721172.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_fdsa.log,718.8,,2026-05-09T14:16:11Z
lastfm,gru4rec,lastfm_gru4rec,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_gru4rec.log,6567.6,rc=-15,2026-05-09T14:34:38Z
lastfm,sasrec,lastfm_sasrec,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_sasrec.log,62354.3,rc=143,2026-05-09T14:34:41Z
