dataset,model,rank,enabled,tag,result_json,notes,config_rank,seed_count,mean_valid_score,mean_test_score,routing_mode,rank_total,rank_topk,rank_dense,use_for_default,use_for_topk_ablation,source_run_phase
lastfm0.03,featured_moe_n3,3,true,lastfm0_03_top06_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/lastfm0.03_FeaturedMoE_N3_s3_lastfm0_03_topk_g3k2_c2_seed2_20260419_121748_561613_pid396536.json,auto top6 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.309900,3,1,0.339217446567,0.344245828604,topk,6,3,,true,true,S3_LASTFM0_03_TOPK_G3K2_C2_SEED2
lastfm0.03,featured_moe_n3,4,true,lastfm0_03_top07_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/lastfm0.03_FeaturedMoE_N3_s3_lastfm0_03_topk_g3k2_c2_seed2_20260419_121856_151301_pid397243.json,auto top7 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.309900,4,1,0.339217446567,0.344245828604,topk,7,4,,true,true,S3_LASTFM0_03_TOPK_G3K2_C2_SEED2
lastfm0.03,featured_moe_n3,5,true,lastfm0_03_top08_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/lastfm0.03_FeaturedMoE_N3_s3_lastfm0_03_topk_g3k2_c2_seed3_20260419_121802_699534_pid396668.json,auto top8 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.309900,5,1,0.339217446567,0.344245828604,topk,8,5,,true,true,S3_LASTFM0_03_TOPK_G3K2_C2_SEED3
movielens1m,featured_moe_n3,1,true,movielens1m_top02_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/movielens1m_FeaturedMoE_N3_s3_movielens1m_topk_g3k2_c2_seed3_20260419_125452_751248_pid410989.json,auto top2 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.061500,1,1,0.136365504050,0.100433333333,topk,2,1,,true,true,S3_MOVIELENS1M_TOPK_G3K2_C2_SEED3
movielens1m,featured_moe_n3,2,true,movielens1m_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/movielens1m_FeaturedMoE_N3_topk_movielens1m_featured_moe_n3_pg1_20260419_075626_756853_pid332674.json,auto top4 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.062100,2,1,0.132444444444,0.099777777778,topk,4,2,,true,true,TOPK_MOVIELENS1M_FEATURED_MOE_N3_PG1
movielens1m,featured_moe_n3,3,true,movielens1m_top05_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/movielens1m_FeaturedMoE_N3_s2_movielens1m_topk_g3k2_20260419_112103_954258_pid378919.json,auto top5 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.063200,3,1,0.142774305003,0.099588888889,topk,5,3,,true,true,S2_MOVIELENS1M_TOPK_G3K2
movielens1m,featured_moe_n3,4,true,movielens1m_top06_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/movielens1m_FeaturedMoE_N3_s2_movielens1m_topk_g3k2_20260419_112038_841615_pid378572.json,auto top6 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.062700,4,1,0.143651019438,0.099375962206,topk,6,4,,true,true,S2_MOVIELENS1M_TOPK_G3K2
movielens1m,featured_moe_n3,5,true,movielens1m_top08_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/movielens1m_FeaturedMoE_N3_s3_movielens1m_topk_g3k2_c2_seed3_20260419_125307_746053_pid409701.json,auto top8 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.060600,5,1,0.137638633349,0.098744444444,topk,8,5,,true,true,S3_MOVIELENS1M_TOPK_G3K2_C2_SEED3
retail_rocket,featured_moe_n3,1,true,retail_rocket_top01_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_pg1_20260419_083920_955173_pid340636.json,auto top1 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.374200,1,1,0.452077859145,0.446455555556,topk,1,1,,true,true,TOPK_RETAIL_ROCKET_FEATURED_MOE_N3_PG1
retail_rocket,featured_moe_n3,2,true,retail_rocket_top02_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_glb4_20260419_084144_008453_pid341289.json,auto top2 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.373300,2,1,0.450833333333,0.446097478435,topk,2,2,,true,true,TOPK_RETAIL_ROCKET_FEATURED_MOE_N3_GLB4
retail_rocket,featured_moe_n3,3,true,retail_rocket_top03_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/normal/topk_stage1_short/S1/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_s1_retail_rocket_topk_g4k2_20260419_105339_063708_pid370816.json,auto top3 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.373000,3,1,0.451966666667,0.445826617510,topk,3,3,,true,true,S1_RETAIL_ROCKET_TOPK_G4K2
retail_rocket,featured_moe_n3,4,true,retail_rocket_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/normal/topk_stage1_short/S1/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_s1_retail_rocket_topk_g4k2_20260419_105523_593308_pid371499.json,auto top4 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.373000,4,1,0.451966666667,0.445826617510,topk,4,4,,true,true,S1_RETAIL_ROCKET_TOPK_G4K2
retail_rocket,featured_moe_n3,5,true,retail_rocket_top05_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/normal/topk_stage1_short/S1/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_s1_retail_rocket_topk_g3k2_20260419_105228_460962_pid370320.json,auto top5 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.373100,5,1,0.452156230849,0.445735267131,topk,5,5,,true,true,S1_RETAIL_ROCKET_TOPK_G3K2
retail_rocket,featured_moe_n3,6,true,retail_rocket_top06_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/normal/topk_stage1_short/S1/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_s1_retail_rocket_topk_g3k2_20260419_105452_420548_pid371281.json,auto top6 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.373100,6,1,0.452156230849,0.445735267131,topk,6,6,,true,true,S1_RETAIL_ROCKET_TOPK_G3K2
retail_rocket,featured_moe_n3,7,true,retail_rocket_top07_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/normal/topk_stage3_seed_confirm/S3/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_s3_retail_rocket_topk_g3k2_c2_seed2_20260419_130844_120539_pid416160.json,auto top7 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.372700,7,1,0.451700000000,0.445655555556,topk,7,7,,true,true,S3_RETAIL_ROCKET_TOPK_G3K2_C2_SEED2
retail_rocket,featured_moe_n3,8,true,retail_rocket_top08_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/normal/topk_stage3_seed_confirm/S3/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_s3_retail_rocket_topk_g3k2_c2_seed3_20260419_130948_209508_pid416574.json,auto top8 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.372700,8,1,0.451700000000,0.445655555556,topk,8,8,,true,true,S3_RETAIL_ROCKET_TOPK_G3K2_C2_SEED3
