global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,pass_tag,setting_id,setting_key,setting_desc,wrapper_combo,bias_mode,source_profile,topk_profile,trigger,dataset,seed_id,gpu_id,test_mrr20,best_valid_hr10,test_hr10,n_completed,interrupted,result_path,timestamp_utc
0.082600,0.080700,P8_SCR_B_ALL_W5_BIAS_GROUP_FEAT_S1,"B:all_w5__bias_group_feat | w=all_w5, b=bias_group_feat, s=default, k=dense",B,SCR,B_ALL_W5_BIAS_GROUP_FEAT,all_w5__bias_group_feat,bias_aug::all_w5::bias_group_feat,all_w5,bias_group_feat,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,0.161600,0.114400,0.188400,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w5_bias_group_feat_s1_20260320_143556_985802_pid184470.json,2026-03-20T16:11:11.580123Z
0.082600,0.080700,P8_SCR_B_MIXED_1_BIAS_FEAT_S1,"B:mixed_1__bias_feat | w=mixed_1, b=bias_feat, s=default, k=dense",B,SCR,B_MIXED_1_BIAS_FEAT,mixed_1__bias_feat,bias_aug::mixed_1::bias_feat,mixed_1,bias_feat,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,0.161400,0.114800,0.188800,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_1_bias_feat_s1_20260320_144531_838258_pid184945.json,2026-03-20T16:24:03.824281Z
0.082600,0.080900,P8_SCR_B_MIXED_1_BIAS_RULE_S1,"B:mixed_1__bias_rule | w=mixed_1, b=bias_rule, s=default, k=dense",B,SCR,B_MIXED_1_BIAS_RULE,mixed_1__bias_rule,bias_aug::mixed_1::bias_rule,mixed_1,bias_rule,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,0.160100,0.113700,0.184500,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_1_bias_rule_s1_20260320_145250_244379_pid185228.json,2026-03-20T16:27:28.317507Z
0.082600,0.080700,P8_SCR_B_MIXED_1_BIAS_OFF_S1,"B:mixed_1__bias_off | w=mixed_1, b=bias_off, s=default, k=dense",B,SCR,B_MIXED_1_BIAS_OFF,mixed_1__bias_off,bias_aug::mixed_1::bias_off,mixed_1,bias_off,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,0.161400,0.114000,0.188600,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_1_bias_off_s1_20260320_145417_790877_pid185342.json,2026-03-20T16:30:19.779837Z
0.082600,0.082100,P8_SCR_B_ALL_W5_BIAS_RULE_S1,"B:all_w5__bias_rule | w=all_w5, b=bias_rule, s=default, k=dense",B,SCR,B_ALL_W5_BIAS_RULE,all_w5__bias_rule,bias_aug::all_w5::bias_rule,all_w5,bias_rule,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,0.160500,0.114200,0.187300,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w5_bias_rule_s1_20260320_150254_960328_pid185707.json,2026-03-20T16:31:47.126424Z
0.082600,0.080800,P8_SCR_B_MIXED_1_BIAS_GROUP_FEAT_S1,"B:mixed_1__bias_group_feat | w=mixed_1, b=bias_group_feat, s=default, k=dense",B,SCR,B_MIXED_1_BIAS_GROUP_FEAT,mixed_1__bias_group_feat,bias_aug::mixed_1::bias_group_feat,mixed_1,bias_group_feat,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,0.161800,0.114300,0.189300,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_1_bias_group_feat_s1_20260320_145606_116621_pid185430.json,2026-03-20T16:55:28.074820Z
0.082600,0.080300,P8_SCR_B_MIXED_2_BIAS_OFF_S1,"B:mixed_2__bias_off | w=mixed_2, b=bias_off, s=default, k=dense",B,SCR,B_MIXED_2_BIAS_OFF,mixed_2__bias_off,bias_aug::mixed_2::bias_off,mixed_2,bias_off,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,0.161900,0.113500,0.188600,1,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_2_bias_off_s1_20260320_124106_541717_pid174679.json,2026-03-20T17:45:14.040156Z
0.082600,0.081500,P8_SCR_B_MIXED_1_BIAS_GROUP_FEAT_RULE_S1,"B:mixed_1__bias_group_feat_rule | w=mixed_1, b=bias_group_feat_rule, s=default, k=dense",B,SCR,B_MIXED_1_BIAS_GROUP_FEAT_RULE,mixed_1__bias_group_feat_rule,bias_aug::mixed_1::bias_group_feat_rule,mixed_1,bias_group_feat_rule,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,0.159300,0.113800,0.184300,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_1_bias_group_feat_rule_s1_20260320_163154_598720_pid188522.json,2026-03-20T17:56:03.075694Z
0.082600,0.081000,P8_SCR_B_MIXED_2_BIAS_GROUP_FEAT_RULE_S1,"B:mixed_2__bias_group_feat_rule | w=mixed_2, b=bias_group_feat_rule, s=default, k=dense",B,SCR,B_MIXED_2_BIAS_GROUP_FEAT_RULE,mixed_2__bias_group_feat_rule,bias_aug::mixed_2::bias_group_feat_rule,mixed_2,bias_group_feat_rule,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,0.160800,0.112700,0.187400,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_2_bias_group_feat_rule_s1_20260320_162735_386609_pid188473.json,2026-03-20T17:56:39.368524Z
0.082600,0.080200,P8_SCR_B_MIXED_2_BIAS_FEAT_S1,"B:mixed_2__bias_feat | w=mixed_2, b=bias_feat, s=default, k=dense",B,SCR,B_MIXED_2_BIAS_FEAT,mixed_2__bias_feat,bias_aug::mixed_2::bias_feat,mixed_2,bias_feat,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,0.161400,0.112200,0.188300,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_mixed_2_bias_feat_s1_20260320_160329_485125_pid187735.json,2026-03-20T17:56:54.652591Z
