best_mrr20_seen,best_run_result_file,combo_id,dataset,early_family_exposure_route_change_under_shuffle,early_family_exposure_route_change_under_zero,early_family_exposure_shuffle_delta_mrr,early_family_exposure_zero_delta_mrr,early_family_focus_route_change_under_shuffle,early_family_focus_route_change_under_zero,early_family_focus_shuffle_delta_mrr,early_family_focus_zero_delta_mrr,early_family_memory_route_change_under_shuffle,early_family_memory_route_change_under_zero,early_family_memory_shuffle_delta_mrr,early_family_memory_zero_delta_mrr,early_family_tempo_route_change_under_shuffle,early_family_tempo_route_change_under_zero,early_family_tempo_shuffle_delta_mrr,early_family_tempo_zero_delta_mrr,early_feature_shuffle_delta_mrr,early_feature_zero_delta_mrr,early_route_change_under_feature_shuffle,early_route_change_under_feature_zero,family_exposure_route_change_under_shuffle,family_exposure_route_change_under_zero,family_exposure_shuffle_delta_mrr,family_exposure_zero_delta_mrr,family_focus_route_change_under_shuffle,family_focus_route_change_under_zero,family_focus_shuffle_delta_mrr,family_focus_zero_delta_mrr,family_memory_route_change_under_shuffle,family_memory_route_change_under_zero,family_memory_shuffle_delta_mrr,family_memory_zero_delta_mrr,family_tempo_route_change_under_shuffle,family_tempo_route_change_under_zero,family_tempo_shuffle_delta_mrr,family_tempo_zero_delta_mrr,feature_shuffle_delta_mrr,feature_zero_delta_mrr,latest_best_mrr20,latest_result_file,latest_test_mrr20,model,route_change_under_feature_shuffle,route_change_under_feature_zero,run_count
0.0796,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e41_20260313_184257_959350_pid232879.json,E41,KuaiRecLargeStrictPosV2_0.2,0.011027601787053518,0.04485692989357739,0.0,0.0,0.023594259711697287,0.11198301286917796,0.0,0.0,0.005742128728587804,0.026834559517072254,0.0,0.0,0.02441670002438565,0.11233154351917034,0.0,0.0,0.0,0.0,0.03498419534280234,0.16735107503876398,0.07184562507764296,0.3039164262610368,0.0011000000000000038,0.002700000000000008,0.07244836455155725,0.33044041391177914,-9.999999999998899e-05,0.0,0.0559708016435003,0.2924402206670624,0.0015000000000000013,0.0021000000000000046,0.0411783786768258,0.13672178742160937,0.00010000000000000286,0.000899999999999998,0.0025000000000000022,0.0034000000000000002,0.0796,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e41_20260313_184257_959350_pid232879.json,0.1606,FeaturedMoE_N3,0.09600811627810678,0.5239554432895772,1
0.0797,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e42_20260313_184048_783859_pid232859.json,E42,KuaiRecLargeStrictPosV2_0.2,0.017902742694659562,0.07880933648046161,0.0,-9.99999999999994e-05,0.018100588476173376,0.0894274435104283,0.0,0.0,0.014989118482016716,0.07072756635885545,0.0,0.0,0.01711366010094735,0.09574125452629738,0.0,0.0,0.0,-0.0001999999999999988,0.03680391642626101,0.1805020681785765,0.07736000110425552,0.40549413134199247,0.0007999999999999952,0.0020999999999999908,0.04725408459517535,0.23627272350821982,0.0,-0.00010000000000000286,0.07792018072982088,0.3248466695193268,0.001799999999999996,0.0030999999999999917,0.04519510814802544,0.24423371568180874,0.0002999999999999947,0.0010999999999999899,0.0032999999999999974,0.003699999999999995,0.0797,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e42_20260313_184048_783859_pid232859.json,0.1605,FeaturedMoE_N3,0.11019664950469536,0.5185756484050409,1
0.0783,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_m20_20260313_175457_597792_pid232724.json,M20,KuaiRecLargeStrictPosV2_0.2,0.009765759796817014,0.020501193976286126,-0.00010000000000000286,-0.00010000000000000286,0.010890720112634075,0.052869684044888,0.0,9.999999999999593e-05,0.010569795850759909,0.02847944014244895,0.0,9.999999999999593e-05,0.03338647563046091,0.1758388891189421,0.0,9.999999999999593e-05,0.0,0.0001999999999999988,0.04720002208511054,0.25673940949935814,0.08462738277637447,0.3197199331925408,0.00019999999999999185,0.000899999999999998,0.025111460792027293,0.1613489861553964,0.0,-0.00010000000000000286,0.019897304236200272,0.14652780653443206,9.999999999998899e-05,-0.00010000000000000286,0.04226883100749512,0.22357723577235772,0.00019999999999999185,0.0005999999999999894,0.00019999999999999185,0.0010000000000000009,0.0783,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_m20_20260313_175457_597792_pid232724.json,0.1589,FeaturedMoE_N3,0.09096649964801855,0.32186978066724636,1
0.0792,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_m21_20260313_175030_283588_pid232700.json,M21,KuaiRecLargeStrictPosV2_0.2,0.027264759065247692,0.14035432799149725,0.0,-0.0003999999999999976,0.017637031209021763,0.07911818294753402,0.0,0.00010000000000000286,0.026179482932350562,0.1516832995155079,0.00010000000000000286,-0.00010000000000000286,0.017084903446657553,0.08179427719574309,0.00010000000000000286,0.0,0.00010000000000000286,-0.0001999999999999988,0.043493864480240736,0.23571714494734083,0.10025604924979642,0.5507681477493892,0.0009000000000000119,0.0033000000000000113,0.06437119549463746,0.3219560506301158,0.0,0.0009000000000000119,0.04669793090121056,0.36310509751956604,0.0007000000000000062,0.0011000000000000038,0.02000600438941573,0.12178213038497109,0.00010000000000000286,0.00040000000000001146,0.0019000000000000128,0.0025000000000000022,0.0792,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_m21_20260313_175030_283588_pid232700.json,0.1606,FeaturedMoE_N3,0.081811531188317,0.5097191740168675,1
0.0798,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_m22_20260313_174153_727619_pid232671.json,M22,KuaiRecLargeStrictPosV2_0.2,0.01923935198604959,0.09474512402169864,0.0,-0.00030000000000000165,0.02417859492686608,0.10942367063738549,9.99999999999994e-05,9.99999999999994e-05,0.058518641213576805,0.19873953832916938,0.000499999999999997,0.0,0.015938088073580225,0.07126244012864578,0.0,0.0,0.0003999999999999976,-0.00030000000000000165,0.07436585825960129,0.24683216696343535,0.08268228268021222,0.3725378552597071,0.0015000000000000013,0.003599999999999992,0.043449004099548626,0.21591646306955428,0.0,0.0007999999999999952,0.05337004982953055,0.35581643592327267,0.0020000000000000018,0.002699999999999994,0.02196893361123764,0.10146152819762494,0.0003999999999999976,0.00019999999999999185,0.003599999999999992,0.003699999999999995,0.0798,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_m22_20260313_174153_727619_pid232671.json,0.1603,FeaturedMoE_N3,0.10076561716381167,0.6658603300803806,1
0.0778,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p00_20260313_164019_772211_pid232389.json,P00,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p00_20260313_164019_772211_pid232389.json,0.158,FeaturedMoE_N3,0.0,0.0,1
0.0785,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p01_20260313_164019_907407_pid232388.json,P01,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p01_20260313_164019_907407_pid232388.json,0.1595,FeaturedMoE_N3,0.0,0.0,1
0.0784,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r30_20260313_181435_062396_pid232779.json,R30,KuaiRecLargeStrictPosV2_0.2,0.10004209974188026,0.3146633631022218,0.00020000000000000226,0.0005999999999999998,0.08743863329974556,0.291674143396782,9.99999999999994e-05,-9.99999999999994e-05,0.02205175277559226,0.046868745427691955,0.00020000000000000226,0.00040000000000000105,0.11465968225047275,0.34679374807330415,-9.99999999999994e-05,-0.0002999999999999982,0.0005000000000000004,0.00030000000000000165,0.10103823024647907,0.6532062519266958,0.10139596302584418,0.3146633631022218,0.0005000000000000004,0.001899999999999999,0.08764683147680374,0.291674143396782,0.00010000000000000286,-0.00020000000000000573,0.02218633391766854,0.046868745427691955,0.00019999999999999185,0.00019999999999999185,0.11524401746564154,0.34679374807330415,0.00010000000000000286,0.0006000000000000033,0.0003999999999999976,0.0010000000000000009,0.0784,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r30_20260313_181435_062396_pid232779.json,0.1591,FeaturedMoE_N3,0.10114520500043707,0.6532062519266958,1
0.0783,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r31_20260313_181920_245309_pid232804.json,R31,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r31_20260313_181920_245309_pid232804.json,0.1599,FeaturedMoE_N3,0.0,0.0,1
0.0611,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r32_20260313_184315_956474_pid232894.json,R32,KuaiRecLargeStrictPosV2_0.2,0.12179018224817222,0.6620644517141266,-9.999999999999593e-05,-9.999999999999593e-05,0.04555859225824855,0.26833294224283505,-9.999999999999593e-05,-0.00030000000000000165,0.048488320197293676,0.22000795984190744,0.0,-9.999999999999593e-05,0.046804330522082806,0.19240617278838323,0.0,0.0,-0.0005000000000000004,-0.0006999999999999992,0.06246060338362298,0.913141100850737,0.12072503577327794,0.6620644517141266,0.00010000000000000286,-9.999999999999593e-05,0.045176703889279975,0.26833294224283505,0.0,-0.00030000000000000165,0.048756332215274624,0.22000795984190744,-9.999999999999593e-05,-9.999999999999593e-05,0.047212675012998,0.19240617278838323,0.0,0.0,-0.0003999999999999976,-0.0006999999999999992,0.0611,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r32_20260313_184315_956474_pid232894.json,0.1243,FeaturedMoE_N3,0.06288850239945522,0.913141100850737,1
0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r33_20260313_181343_995460_pid232758.json,R33,KuaiRecLargeStrictPosV2_0.2,0.0030102465710565435,0.015740242292066383,-0.00010000000000000286,-0.0007000000000000062,0.0010674470072374782,0.004959947731905158,0.0021999999999999936,-0.0017000000000000001,0.0018208713496303125,0.0071719095798767896,0.004799999999999999,0.0032999999999999974,0.0012744949181240685,0.006056151393432445,0.0001999999999999988,-0.0020000000000000018,0.009799999999999996,-0.0019000000000000059,0.004978351990650641,0.022431340612217677,0.038904302455588215,0.18561155051278866,0.0012000000000000066,0.003500000000000003,0.007965593238275344,0.04621999530691403,0.00010000000000000286,0.00040000000000001146,0.021335136950690392,0.09681330259822124,0.0012000000000000066,0.001700000000000007,0.00417316567053617,0.010847009998113543,0.0006000000000000033,0.000800000000000009,0.0034000000000000002,0.0039000000000000007,0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r33_20260313_181343_995460_pid232758.json,0.1606,FeaturedMoE_N3,0.029343290037314618,0.14779539985552656,1
0.0786,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r34_20260313_183142_284252_pid232839.json,R34,KuaiRecLargeStrictPosV2_0.2,0.0488909133573509,0.18690444968965822,9.99999999999994e-05,0.0002999999999999982,0.07334787269774225,0.2661589391785259,9.99999999999994e-05,-0.0005000000000000004,0.019105921110144863,0.045972688080021695,0.0003999999999999976,0.0006999999999999992,0.08833354038124423,0.30805393368025363,0.0,-9.99999999999994e-05,0.0003999999999999976,0.0002999999999999982,0.09126556885263254,0.4877899245885498,0.068723802687942,0.3022703953694885,0.00020000000000000573,0.0012000000000000066,0.08358754215725517,0.33620669822997035,0.00010000000000000286,0.00020000000000000573,0.03805770655329644,0.1578291716703245,0.00020000000000000573,0.0007000000000000062,0.10717835107043767,0.3866240147970241,0.0003000000000000086,0.0011000000000000038,0.0003000000000000086,0.0012000000000000066,0.0786,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r34_20260313_183142_284252_pid232839.json,0.1598,FeaturedMoE_N3,0.10409448746439925,0.5774543229303261,1
0.0793,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_t50_20260313_190526_677162_pid232952.json,T50,KuaiRecLargeStrictPosV2_0.2,0.029821800764696954,0.1518857463617081,-0.00030000000000000165,-0.0017000000000000001,0.04780046102668156,0.19943774989532578,0.0011000000000000038,-0.0010000000000000009,0.0493855278111355,0.2409784624162031,0.0039000000000000007,0.0006999999999999992,0.018981692363612926,0.07971459595750455,0.00030000000000000165,-0.00030000000000000165,0.004900000000000002,-0.0022000000000000006,0.08512544802867383,0.38661826346616607,0.09417114120207415,0.42345783814374655,0.0013999999999999985,0.0032999999999999974,0.04756810726001998,0.237936008392342,9.999999999998899e-05,0.0005999999999999894,0.06608854288882447,0.30492175889500833,0.0023999999999999994,0.0023999999999999994,0.02116489755729478,0.11498635784320492,0.00019999999999999185,9.999999999998899e-05,0.003599999999999992,0.0030999999999999917,0.0793,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_t50_20260313_190526_677162_pid232952.json,0.1613,FeaturedMoE_N3,0.10842178880192876,0.5223140134627152,1
0.0792,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_t51_20260313_192530_988047_pid233041.json,T51,KuaiRecLargeStrictPosV2_0.2,0.017731353035092327,0.09315315564021516,0.0,-0.00010000000000000286,0.03690283931701797,0.1527173888037692,0.0006000000000000033,-0.000899999999999998,0.03971639037273226,0.17612875619418336,0.002100000000000001,0.0011000000000000038,0.012850773669027017,0.05844502417859493,0.0,-0.0001999999999999988,0.0023,-0.0005000000000000004,0.061899273491886043,0.31194413387257813,0.08024601892878012,0.4435207807086559,0.0009000000000000119,0.002800000000000011,0.0501562061461022,0.2408473320726416,-9.999999999998899e-05,-0.00019999999999999185,0.05659999723936119,0.27309159339471156,0.0020000000000000018,0.0021000000000000046,0.01827427866808379,0.0995290810293502,-9.999999999998899e-05,0.0,0.0034000000000000002,0.0030000000000000027,0.0792,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_t51_20260313_192530_988047_pid233041.json,0.161,FeaturedMoE_N3,0.10002024468462001,0.5346264625634373,1
