file,phase,run_id,best_valid_mrr20,best_valid_hr10,best_valid_test_mrr20,best_valid_test_hr10,n_trials
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c3_20260317_004017_076083_pid13107.json,P4,k_12e_top6_c3_20260317_004017_076083_pid13107,0.0812,0.1158,0.1619,0.1885,7
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468.json,P6,p6_cand_a_s3_20260317_175227_353265_pid289468,0.0812,0.1165,0.1621,0.1883,15
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466.json,P6,p6_cand_a_s1_20260317_175227_351911_pid289466,0.0812,0.1161,0.1619,0.1885,15
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_sta_gat_20260317_215921_810654_pid290011.json,P6,p6_rxi_x1_sta_gat_20260317_215921_810654_pid290011,0.0812,0.1159,0.162,0.188,5
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m0_20260317_224806_746454_pid290200.json,P6,p6_spec_a_m0_20260317_224806_746454_pid290200,0.0812,0.1161,0.1622,0.1893,5
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454.json,P1,a05_20260314_065556_106453_pid264454,0.0811,0.1146,0.162,0.1889,20
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pa05_20260314_180138_932669_pid385345.json,P2,pa05_20260314_180138_932669_pid385345,0.0811,0.1151,0.162,0.1895,20
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_02_20260315_145121_507105_pid408315.json,P3,p3s2_02_20260315_145121_507105_pid408315,0.0811,0.1157,0.1618,0.1891,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_03_20260316_013929_141101_pid441204.json,P3,p3s1_03_20260316_013929_141101_pid441204,0.0811,0.1161,0.162,0.1901,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_02_20260316_044229_423310_pid501601.json,P3,p3s2_02_20260316_044229_423310_pid501601,0.0811,0.1157,0.1618,0.1891,17
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_base_c2_20260316_164842_145981_pid10181.json,P1,r_base_c2_20260316_164842_145981_pid10181,0.0811,0.1156,0.1622,0.1891,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c4_20260316_235818_256675_pid12871.json,P1,k_12e_top6_c4_20260316_235818_256675_pid12871,0.0811,0.1157,0.1607,0.1874,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467.json,P6,p6_cand_a_s2_20260317_175227_263467_pid289467,0.0811,0.1152,0.162,0.1901,15
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m1_20260317_223930_151780_pid290149.json,P6,p6_spec_a_m1_20260317_223930_151780_pid290149,0.0811,0.1166,0.1618,0.1895,5
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m2_20260317_231729_627901_pid290332.json,P6,p6_spec_a_m2_20260317_231729_627901_pid290332,0.0811,0.1163,0.162,0.1894,5
experiments/run/artifacts/results/fmoe_n3/normal/phase1_upgrade_v1/A05/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454.json,P1,a05_20260314_065556_106453_pid264454,0.0811,0.1146,0.162,0.1889,20
experiments/run/artifacts/results/fmoe_n3/normal/phase2_router_v1/PA05/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pa05_20260314_180138_932669_pid385345.json,P2,pa05_20260314_180138_932669_pid385345,0.0811,0.1151,0.162,0.1895,20
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_02_20260315_145121_507105_pid408315.json,P3,p3s2_02_20260315_145121_507105_pid408315,0.0811,0.1157,0.1618,0.1891,30
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_02_20260316_044229_423310_pid501601.json,P3,p3s2_02_20260316_044229_423310_pid501601,0.0811,0.1157,0.1618,0.1891,17
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_03_20260316_013929_141101_pid441204.json,P3,p3s1_03_20260316_013929_141101_pid441204,0.0811,0.1161,0.162,0.1901,30
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/R/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_base_c2_20260316_164842_145981_pid10181.json,P4,r_base_c2_20260316_164842_145981_pid10181,0.0811,0.1156,0.1622,0.1891,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c4_20260316_235818_256675_pid12871.json,P4,k_12e_top6_c4_20260316_235818_256675_pid12871,0.0811,0.1157,0.1607,0.1874,7
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467.json,P6,p6_cand_a_s2_20260317_175227_263467_pid289467,0.0811,0.1152,0.162,0.1901,15
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m1_20260317_223930_151780_pid290149.json,P6,p6_spec_a_m1_20260317_223930_151780_pid290149,0.0811,0.1166,0.1618,0.1895,5
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m2_20260317_231729_627901_pid290332.json,P6,p6_spec_a_m2_20260317_231729_627901_pid290332,0.0811,0.1163,0.162,0.1894,5
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_01_20260315_145121_365803_pid408316.json,P3,p3s1_01_20260315_145121_365803_pid408316,0.081,0.1147,0.1619,0.1891,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_01_20260315_145121_680436_pid408314.json,P3,p3s2_01_20260315_145121_680436_pid408314,0.081,0.1147,0.162,0.1891,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_02_20260316_013929_472790_pid441203.json,P3,p3s1_02_20260316_013929_472790_pid441203,0.081,0.1156,0.1618,0.189,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_01_20260316_013929_255441_pid441202.json,P3,p3s1_01_20260316_013929_255441_pid441202,0.081,0.1147,0.1619,0.1891,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_03_20260316_040012_100569_pid486307.json,P3,p3s2_03_20260316_040012_100569_pid486307,0.081,0.1159,0.1619,0.189,28
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_01_20260315_145121_680436_pid408314.json,P3,p3s2_01_20260315_145121_680436_pid408314,0.081,0.1147,0.162,0.1891,30
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_03_20260316_040012_100569_pid486307.json,P3,p3s2_03_20260316_040012_100569_pid486307,0.081,0.1159,0.1619,0.189,28
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_01_20260315_145121_365803_pid408316.json,P3,p3s1_01_20260315_145121_365803_pid408316,0.081,0.1147,0.1619,0.1891,30
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_02_20260316_013929_472790_pid441203.json,P3,p3s1_02_20260316_013929_472790_pid441203,0.081,0.1156,0.1618,0.189,30
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_01_20260316_013929_255441_pid441202.json,P3,p3s1_01_20260316_013929_255441_pid441202,0.081,0.1147,0.1619,0.1891,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pa_fs_20260314_203001_795095_pid388439.json,P2,pa_fs_20260314_203001_795095_pid388439,0.0809,0.1147,0.1617,0.188,20
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pa_mx1_20260314_213135_425130_pid388775.json,P2,pa_mx1_20260314_213135_425130_pid388775,0.0809,0.1158,0.1605,0.1865,20
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pd04_20260315_042023_366143_pid398944.json,P2,pd04_20260315_042023_366143_pid398944,0.0809,0.1149,0.1623,0.1907,15
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s3_01_20260315_145121_618681_pid408317.json,P3,p3s3_01_20260315_145121_618681_pid408317,0.0809,0.1151,0.1621,0.1892,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_04_20260316_013929_207585_pid441205.json,P3,p3s1_04_20260316_013929_207585_pid441205,0.0809,0.1162,0.1619,0.1888,30
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_01_20260316_042348_778421_pid492679.json,P3,p3s2_01_20260316_042348_778421_pid492679,0.0809,0.1147,0.162,0.189,21
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_shared_moe_fixed05_c1_20260316_182807_182671_pid11134.json,P1,r_shared_moe_fixed05_c1_20260316_182807_182671_pid11134,0.0809,0.1153,0.1613,0.1898,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_shared_moe_stage_c1_20260316_193448_679113_pid11645.json,P1,r_shared_moe_stage_c1_20260316_193448_679113_pid11645,0.0809,0.1149,0.1613,0.1887,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_dense_c1_20260316_223226_113061_pid12489.json,P1,k_12e_dense_c1_20260316_223226_113061_pid12489,0.0809,0.1149,0.1619,0.1884,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_dense_c1_20260317_002002_960923_pid13040.json,P1,k_group_dense_c1_20260317_002002_960923_pid13040,0.0809,0.1148,0.1615,0.1893,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s3_20260317_193715_847967_pid289652.json,P6,p6_cand_b_s3_20260317_193715_847967_pid289652,0.0809,0.1145,0.1619,0.1898,15
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m4_20260317_230947_086647_pid290281.json,P6,p6_spec_a_m4_20260317_230947_086647_pid290281,0.0809,0.1155,0.1609,0.1884,5
experiments/run/artifacts/results/fmoe_n3/normal/phase2_router_v1/PA/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pa_fs_20260314_203001_795095_pid388439.json,P2,pa_fs_20260314_203001_795095_pid388439,0.0809,0.1147,0.1617,0.188,20
experiments/run/artifacts/results/fmoe_n3/normal/phase2_router_v1/PA/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pa_mx1_20260314_213135_425130_pid388775.json,P2,pa_mx1_20260314_213135_425130_pid388775,0.0809,0.1158,0.1605,0.1865,20
experiments/run/artifacts/results/fmoe_n3/normal/phase2_router_v1/PD04/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pd04_20260315_042023_366143_pid398944.json,P2,pd04_20260315_042023_366143_pid398944,0.0809,0.1149,0.1623,0.1907,15
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S3/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s3_01_20260315_145121_618681_pid408317.json,P3,p3s3_01_20260315_145121_618681_pid408317,0.0809,0.1151,0.1621,0.1892,30
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s2_01_20260316_042348_778421_pid492679.json,P3,p3s2_01_20260316_042348_778421_pid492679,0.0809,0.1147,0.162,0.189,21
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_04_20260316_013929_207585_pid441205.json,P3,p3s1_04_20260316_013929_207585_pid441205,0.0809,0.1162,0.1619,0.1888,30
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/R/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_shared_moe_fixed05_c1_20260316_182807_182671_pid11134.json,P4,r_shared_moe_fixed05_c1_20260316_182807_182671_pid11134,0.0809,0.1153,0.1613,0.1898,7
