phase,run_name,run_phase,best_valid_mrr20,best_valid_test_mrr20,topk_scope_mode,moe_top_k,group_top_k,expert_scale,expert_count,n_eff_ratio_topkaware,cv_usage_mean,top1_over_uniform_mean,knn_score_mean,group_knn_score_mean,intra_group_knn_mean_score_mean,balance_loss_lambda,z_loss_lambda,route_smoothness_lambda,route_sharpness_lambda,route_prior_lambda,route_monopoly_lambda,route_consistency_lambda,group_prior_align_lambda,factored_group_balance_lambda
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s2_20260317_195243_809834_pid289704,P6_CAND_C_S2,0.0801,0.1587,group_dense,0.0,0.0,3.0,12.0,3.633528676687036,0.3106689547873355,2.97915506,0.9814465007158276,0.9907354644702917,0.9907479606695558,0.002,0.0001,0.01,,0.005,,0.01,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s3_20260317_203219_288991_pid289792,P6_CAND_C_S3,0.08,0.1587,group_dense,0.0,0.0,3.0,12.0,3.733600303795839,0.2586163958082435,2.54406254,0.9810777255172004,0.9901956973170303,0.9907504602687092,0.002,0.0001,0.01,,0.005,,0.01,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_exp_20260318_041026_723950_pid371841,P6_FEAT_W10_EXP,0.0792,0.16,group_dense,0.0,0.0,3.0,12.0,0.987538530823408,0.1112024333125468,1.22710178,0.9800574657309424,0.999999999459573,0.9800574659282526,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_foc_20260318_040405_363307_pid367968,P6_FEAT_W10_FOC,0.0794,0.1615,group_dense,0.0,0.0,3.0,12.0,0.915069913535141,0.277620687257627,1.59736401,0.9780115255793764,0.9999999991429924,0.9780115246583547,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_foc_exp_20260318_041739_105038_pid376102,P6_FEAT_W10_FOC_EXP,0.0798,0.1613,group_dense,0.0,0.0,3.0,12.0,1.902449334981482,0.22140085485845706,1.97683050,0.9771968651093239,0.9928265047039879,0.9842188272087934,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_20260318_004244_033219_pid290718,P6_FEAT_W10_MEM,0.0795,0.1619,group_dense,0.0,0.0,3.0,12.0,0.9348564136746065,0.22920400338757027,1.39645432,0.9814310199639852,0.9999999996859733,0.9814310207798297,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_20260318_033951_791226_pid354503,P6_FEAT_W10_MEM,0.0794,0.1619,group_dense,0.0,0.0,3.0,12.0,0.9627749624817524,0.15641571254906914,1.39645432,0.9811591523263974,0.9999999995443176,0.9811591524222314,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_exp_20260318_041800_188691_pid376196,P6_FEAT_W10_MEM_EXP,0.0801,0.1613,group_dense,0.0,0.0,3.0,12.0,1.8919070562011475,0.23090455035787893,2.40523797,0.979328366257168,0.9945624991727583,0.9849754457379934,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_mem_foc_20260318_042915_956793_pid380787,P6_FEAT_W10_MEM_FOC,0.0798,0.1615,group_dense,0.0,0.0,3.0,12.0,1.790438835921136,0.32832099287837757,2.23861269,0.9757114102412675,0.9946582207807396,0.982640665954295,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_20260318_004702_225640_pid290742,P6_FEAT_W10_TEM,0.0793,0.1613,group_dense,0.0,0.0,3.0,12.0,0.9398393156732731,0.24974786592127893,1.43047473,0.9739574175595518,1.0000000000122466,0.973957417073634,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_20260318_033554_474044_pid353014,P6_FEAT_W10_TEM,0.0793,0.1611,group_dense,0.0,0.0,3.0,12.0,0.9483201063380189,0.2303473284737072,1.43047473,0.9763242253567879,0.9999999999434162,0.9763242260534412,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_exp_20260318_042257_498641_pid378128,P6_FEAT_W10_TEM_EXP,0.0801,0.1608,group_dense,0.0,0.0,3.0,12.0,1.8218174205942677,0.2560602832472169,1.86360962,0.9773102469803204,0.9941428443746885,0.9827156950112593,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_foc_20260318_005935_945321_pid291470,P6_FEAT_W10_TEM_FOC,0.0797,0.1617,group_dense,0.0,0.0,3.0,12.0,1.7558258770309474,0.3500236775407911,1.96055190,0.9752176069301947,0.992843006517576,0.983404715893763,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_foc_20260318_035625_657689_pid364926,P6_FEAT_W10_TEM_FOC,0.0797,0.1617,group_dense,0.0,0.0,3.0,12.0,1.7417513763186019,0.3578352150966163,1.96055190,0.9728832576563681,0.992633657559454,0.9813252707619247,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_mem_20260318_011504_048455_pid293317,P6_FEAT_W10_TEM_MEM,0.0797,0.1618,group_dense,0.0,0.0,3.0,12.0,1.7789969998383364,0.32202019158464157,2.17501068,0.9788139657253252,0.9943148905992087,0.9851837983007349,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_tem_mem_20260318_035701_932857_pid365013,P6_FEAT_W10_TEM_MEM,0.0798,0.1615,group_dense,0.0,0.0,3.0,12.0,1.7800251138294354,0.3213972912312361,2.17501068,0.9739170663301736,0.993609374066746,0.9810051727843352,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_exp_20260317_235820_105038_pid290507,P6_FEAT_W5_EXP,0.0794,0.1604,group_dense,0.0,0.0,3.0,12.0,0.9954893337919944,0.061349937708138846,1.28006766,0.9752163991873462,0.9999999993754178,0.9752164000482139,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_exp_20260318_025118_675592_pid335693,P6_FEAT_W5_EXP,0.0794,0.1605,group_dense,0.0,0.0,3.0,12.0,0.9881379518425754,0.10800742222346597,1.28006766,0.9768569809878896,0.9999999994614722,0.9768569816841978,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_foc_20260318_000741_758427_pid290539,P6_FEAT_W5_FOC,0.0794,0.1614,group_dense,0.0,0.0,3.0,12.0,0.94114709581719,0.2204043054460196,1.62799267,0.9780676612239853,0.999999999434883,0.9780676616019214,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_foc_20260318_025118_742663_pid335692,P6_FEAT_W5_FOC,0.0793,0.1609,group_dense,0.0,0.0,3.0,12.0,0.889393268609597,0.32550906795996176,1.62799267,0.9736144933309685,0.99999999904253,0.9736144930185121,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_foc_exp_20260318_034139_837745_pid355377,P6_FEAT_W5_FOC_EXP,0.0798,0.1614,group_dense,0.0,0.0,3.0,12.0,1.898673200650039,0.2242367871333126,2.00686404,0.9734997353540571,0.9918264753946175,0.9809943730028274,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_20260318_025118_643183_pid335691,P6_FEAT_W5_MEM,0.0796,0.1616,group_dense,0.0,0.0,3.0,12.0,0.9725910405930311,0.14418785961902558,1.34125562,0.9797368388890834,0.9999999994158909,0.9797368390361058,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_exp_20260318_033824_645514_pid354105,P6_FEAT_W5_MEM_EXP,0.08,0.1617,group_dense,0.0,0.0,3.0,12.0,1.9534803480966605,0.1542749369085566,2.08215372,0.979899190375759,0.9943776323743068,0.985593812599265,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_foc_20260318_002415_727927_pid290617,P6_FEAT_W5_MEM_FOC,0.0797,0.1618,group_dense,0.0,0.0,3.0,12.0,1.839755942871714,0.2722296931675168,2.07617565,0.9744184914178335,0.9938561612043265,0.9818871988010099,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_mem_foc_20260318_031022_794926_pid344157,P6_FEAT_W5_MEM_FOC,0.08,0.1617,group_dense,0.0,0.0,3.0,12.0,1.8019732693217616,0.31169169734015356,2.07617565,0.9758591397423235,0.9943809044816284,0.9827012356486265,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_20260318_001630_281603_pid290587,P6_FEAT_W5_TEM,0.0792,0.161,group_dense,0.0,0.0,3.0,12.0,0.9540876212592001,0.21585729819961494,1.45868711,0.9768377830565874,0.9999999998631248,0.9768377835335917,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_20260318_025118_672622_pid335690,P6_FEAT_W5_TEM,0.0793,0.1608,group_dense,0.0,0.0,3.0,12.0,0.9425665232987616,0.2431703211912417,1.45868711,0.9743293273723274,0.9999999998893211,0.9743293277777341,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_exp_20260318_002603_847174_pid290639,P6_FEAT_W5_TEM_EXP,0.0799,0.1609,group_dense,0.0,0.0,3.0,12.0,1.841230625795732,0.24857868388100143,1.73439650,0.976397977367959,0.9939070319240364,0.9819020182922967,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_exp_20260318_031158_880852_pid344554,P6_FEAT_W5_TEM_EXP,0.08,0.1611,group_dense,0.0,0.0,3.0,12.0,1.8035985610732232,0.2858089570460034,1.73439650,0.9761639721501336,0.9936811004680709,0.9817362192670483,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_foc_20260318_031347_115143_pid345295,P6_FEAT_W5_TEM_FOC,0.08,0.162,group_dense,0.0,0.0,3.0,12.0,1.7547433605789944,0.3486217640751074,2.20452517,0.9760328662489142,0.9923830650707322,0.9838254775575378,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_mem_20260318_004058_775554_pid290696,P6_FEAT_W5_TEM_MEM,0.0799,0.1617,group_dense,0.0,0.0,3.0,12.0,1.7658571096221256,0.335597968933397,2.27739856,0.9767208195564244,0.9940686835866832,0.9830796859793418,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w5_tem_mem_20260318_031956_650589_pid347426,P6_FEAT_W5_TEM_MEM,0.0799,0.1619,group_dense,0.0,0.0,3.0,12.0,1.7469706938668759,0.35301195747309405,2.27739856,0.9747101203875468,0.9939991276155079,0.9808604059989563,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_fac_gat_20260317_221910_986953_pid290071,P6_RXI_X1_FAC_GAT,0.0808,0.1614,global_flat,1.0,0.0,3.0,12.0,9.62724484874636,0.4963572037140521,3.01907747,0.9296194589367592,0.9727304934308694,0.9183412088854888,0.002,0.0001,0.01,,0.0,,0.0,0.0,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_fac_gro_20260317_231359_320399_pid290306,P6_RXI_X1_FAC_GRO,0.0808,0.1618,global_flat,1.0,0.0,3.0,12.0,9.17669903296289,0.5524105952224332,2.77020004,0.9387348481061938,0.9766171152872588,0.9308997567505716,0.002,0.0001,0.01,,0.0,,0.0,0.0,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_sta_gat_20260317_215921_810654_pid290011,P6_RXI_X1_STA_GAT,0.0812,0.162,global_flat,1.0,0.0,3.0,12.0,9.666161225702483,0.48832348862879704,2.99667761,0.9350809488099734,0.9679776238543826,0.9255144331157509,0.002,0.0001,0.01,,0.0,,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_sta_gro_20260317_214608_947938_pid289957,P6_RXI_X1_STA_GRO,0.0802,0.1618,global_flat,1.0,0.0,3.0,12.0,7.943338894652061,0.718194663870147,3.57297966,0.9508340685450393,0.9792139963661649,0.9374156569513051,0.002,0.0001,0.01,,0.0,,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_fac_gat_20260317_224557_758408_pid290177,P6_RXI_X2_FAC_GAT,0.0799,0.1581,group_top2_pergroup,2.0,0.0,3.0,12.0,3.2299246515207747,0.48403435768024183,3.20604429,0.9289724983274197,0.9742241509293252,0.9220780625404824,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_fac_gro_20260317_234413_229436_pid290395,P6_RXI_X2_FAC_GRO,0.0796,0.1584,group_top2_pergroup,2.0,0.0,3.0,12.0,3.1551871101187055,0.5157521445825709,2.89077270,0.934426387632715,0.974522379491307,0.9289910942193005,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_sta_gat_20260317_222559_324538_pid290119,P6_RXI_X2_STA_GAT,0.0798,0.1579,group_top2_pergroup,2.0,0.0,3.0,12.0,2.9906500217079817,0.580949463071494,2.62465014,0.9139058579764422,0.9610872033772726,0.9134431611350995,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x2_sta_gro_20260317_221410_557534_pid290042,P6_RXI_X2_STA_GRO,0.0792,0.1584,group_top2_pergroup,2.0,0.0,3.0,12.0,2.4296499585899625,0.8219896319286609,3.10831896,0.9467173174570442,0.9777996200458122,0.9444188993746284,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m0_20260317_224806_746454_pid290200,P6_SPEC_A_M0,0.0812,0.1622,global_flat,0.0,0.0,3.0,12.0,0.8966713881125807,0.3365334434815208,2.75589026,0.961327029067927,0.9826934153665923,0.9754783272244589,0.002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m1_20260317_223930_151780_pid290149,P6_SPEC_A_M1,0.0811,0.1618,global_flat,0.0,0.0,3.0,12.0,0.8523108811678525,0.40711354178802783,2.86226052,0.9575283507165007,0.9793784537046009,0.9746803860232445,0.002,0.0001,0.04,,0.0,,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m2_20260317_231729_627901_pid290332,P6_SPEC_A_M2,0.0811,0.162,global_flat,0.0,0.0,3.0,12.0,0.9490944673055374,0.2197543669529334,3.21198657,0.9783731566741556,0.9911269284682084,0.9869833508145648,0.002,0.0001,0.01,,0.0,,0.04,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m3_20260318_000741_770063_pid290538,P6_SPEC_A_M3,0.0813,0.1619,global_flat,0.0,0.0,3.0,12.0,0.2598544325195363,1.7923530700101533,6.70325997,0.9576371248953633,0.9778206102262094,0.9719986373194067,0.002,0.0001,0.01,0.01,0.0,0.04,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m4_20260317_230947_086647_pid290281,P6_SPEC_A_M4,0.0809,0.1609,global_flat,0.0,0.0,3.0,12.0,0.8267748884695957,0.44267304631452054,2.68625648,0.9708827686173861,0.9858500652573704,0.9827653626863054,0.002,0.0001,0.02,,0.01,,0.03,0.001,0.002
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m0_20260317_230637_854572_pid290257,P6_SPEC_B_M0,0.0807,0.162,group_dense,0.0,0.0,3.0,12.0,3.331586153090474,0.42681395855357424,3.69428616,0.9767887953999368,0.9903680750418384,0.9874453444046263,0.002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m1_20260317_234737_524461_pid290437,P6_SPEC_B_M1,0.0806,0.1619,group_dense,0.0,0.0,3.0,12.0,3.5303048057232638,0.3487489300742864,3.08735097,0.9791763053590226,0.9911837188729505,0.9883882849492063,0.002,0.0001,0.04,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m2_20260318_003655_647173_pid290670,P6_SPEC_B_M2,0.0805,0.1618,group_dense,0.0,0.0,3.0,12.0,3.6617645554243805,0.2895778550272947,3.71605063,0.9839341578336366,0.9926063034321714,0.9923012506600191,0.002,0.0001,0.01,,0.0,,0.04,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m3_20260317_234455_352619_pid290415,P6_SPEC_B_M3,0.0803,0.1617,group_dense,0.0,0.0,3.0,12.0,1.0196499832423709,1.7508834335577153,7.48805169,0.9644736400819344,0.9831439226491969,0.9776737774605527,0.002,0.0001,0.01,0.01,0.0,0.04,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_b_m4_20260317_232918_327533_pid290362,P6_SPEC_B_M4,0.0803,0.1607,group_dense,0.0,0.0,3.0,12.0,3.221980465644994,0.4848279808512932,3.81690818,0.9775709439793437,0.9891290754376917,0.9891810113518558,0.002,0.0001,0.02,,0.01,,0.03,0.001,0.002
