phase,run_phase,log_file,best_valid_mrr20,test_mrr20,balance_loss_lambda,z_loss_lambda,gate_entropy_lambda,group_prior_align_lambda,factored_group_balance_lambda,feature_group_bias_lambda,feature_group_prior_temperature,route_smoothness_lambda,route_consistency_lambda,route_sharpness_lambda,route_monopoly_lambda,route_prior_lambda,route_prior_bias_scale,route_consistency_pairs
P5,P5_M2_C7,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/024_consistency_C7_20260317_092407.log,0.0813,0.162,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,4.0
P5,P5_M3_C0,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/025_sharp_mono_C0_20260317_093043.log,0.0805,0.1612,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M3_C1,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/026_sharp_mono_C1_20260317_094620.log,0.0807,0.1618,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M3_C2,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/027_sharp_mono_C2_20260317_095612.log,0.0796,0.1577,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M3_C3,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/028_sharp_mono_C3_20260317_095642.log,0.0797,0.1584,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M3_C4,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/029_sharp_mono_C4_20260317_095353.log,0.0813,0.1622,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M3_C5,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/030_sharp_mono_C5_20260317_101446.log,0.08,0.1572,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M3_C6,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/031_sharp_mono_C6_20260317_103220.log,0.0809,0.1616,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M3_C7,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/032_sharp_mono_C7_20260317_103144.log,0.0811,0.1622,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,,
P5,P5_M4_C0,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/033_soft_prior_C0_20260317_101610.log,0.0804,0.1618,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P5,P5_M4_C1,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/034_soft_prior_C1_20260317_104047.log,0.0804,0.1614,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P5,P5_M4_C2,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/035_soft_prior_C2_20260317_110401.log,0.0804,0.159,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P5,P5_M4_C3,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/036_soft_prior_C3_20260317_105415.log,0.0801,0.1587,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P5,P5_M4_C4,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/037_soft_prior_C4_20260317_104153.log,0.0812,0.162,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P5,P5_M4_C5,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/038_soft_prior_C5_20260317_110431.log,0.0804,0.1577,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P5,P5_M4_C6,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/039_soft_prior_C6_20260317_114233.log,0.0807,0.1617,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P5,P5_M4_C7,experiments/run/artifacts/logs/fmoe_n3/phase5_specialization_v1/P5/KuaiRecLargeStrictPosV2_0.2/FMoEN3/040_soft_prior_C7_20260317_113038.log,0.0813,0.1619,0.002,0.0,0.0,0.0005,0.001,0.001,0.8,0.0,0.0,0.0,0.0,0.0,0.5,
P6,P6_CAND_A_S1,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/001_cand3x_CAND_A_S1_20260317_175223.log,0.0812,0.1619,0.002,0.0001,,0.0,0.0,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_TEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/001_feature_ablation_FEAT_W5_tem_20260318_025115.log,0.0793,0.1608,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_A_S2,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/002_cand3x_CAND_A_S2_20260317_175223.log,0.0811,0.162,0.002,0.0001,,0.0,0.0,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_MEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/002_feature_ablation_FEAT_W5_mem_20260318_025115.log,0.0796,0.1616,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_A_S3,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/003_cand3x_CAND_A_S3_20260317_175223.log,0.0812,0.1621,0.002,0.0001,,0.0,0.0,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/003_feature_ablation_FEAT_W5_foc_20260318_025115.log,0.0793,0.1609,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_B_S1,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/004_cand3x_CAND_B_S1_20260317_175223.log,0.0807,0.1619,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/004_feature_ablation_FEAT_W5_exp_20260318_025115.log,0.0794,0.1605,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_B_S2,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/005_cand3x_CAND_B_S2_20260317_192502.log,0.0807,0.1621,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_TEM_MEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/005_feature_ablation_FEAT_W5_tem_mem_20260318_031952.log,0.0799,0.1619,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_B_S3,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/006_cand3x_CAND_B_S3_20260317_193712.log,0.0809,0.1619,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_TEM_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/006_feature_ablation_FEAT_W5_tem_foc_20260318_031343.log,0.08,0.162,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_C_S1,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/007_cand3x_CAND_C_S1_20260317_194727.log,0.0818,0.1586,0.002,0.0001,,0.0005,0.001,,,0.01,0.01,,,0.005,,
P6,P6_FEAT_W5_TEM_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/007_feature_ablation_FEAT_W5_tem_exp_20260318_031155.log,0.08,0.1611,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_C_S2,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/008_cand3x_CAND_C_S2_20260317_195240.log,0.0803,0.1587,0.002,0.0001,,0.0005,0.001,,,0.01,0.01,,,0.005,,
P6,P6_FEAT_W5_MEM_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/008_feature_ablation_FEAT_W5_mem_foc_20260318_031019.log,0.08,0.1617,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_CAND_C_S3,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/009_cand3x_CAND_C_S3_20260317_203215.log,0.0802,0.1587,0.002,0.0001,,0.0005,0.001,,,0.01,0.01,,,0.005,,
P6,P6_FEAT_W5_MEM_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/009_feature_ablation_FEAT_W5_mem_exp_20260318_033821.log,0.08,0.1617,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B0,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/010_baseline_bridge_B0_20260318_015909.log,0.0782,0.1588,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W5_FOC_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/010_feature_ablation_FEAT_W5_foc_exp_20260318_034136.log,0.0798,0.1614,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B1,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/011_baseline_bridge_B1_20260318_015909.log,0.078,0.158,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W10_TEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/011_feature_ablation_FEAT_W10_tem_20260318_033550.log,0.0793,0.1611,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B2,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/012_baseline_bridge_B2_20260317_212940.log,0.0793,0.1601,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W10_MEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/012_feature_ablation_FEAT_W10_mem_20260318_033948.log,0.0794,0.1619,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B3,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/013_baseline_bridge_B3_20260317_222446.log,0.0798,0.1616,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W10_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/013_feature_ablation_FEAT_W10_foc_20260318_040401.log,0.0794,0.1615,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B4,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/014_baseline_bridge_B4_20260317_213849.log,0.0807,0.1617,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W10_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/014_feature_ablation_FEAT_W10_exp_20260318_041023.log,0.0792,0.16,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B5,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/015_baseline_bridge_B5_20260318_015909.log,0.0804,0.162,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W10_TEM_MEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/015_feature_ablation_FEAT_W10_tem_mem_20260318_035658.log,0.0798,0.1615,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B6,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/016_baseline_bridge_B6_20260317_214947.log,0.0813,0.1619,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W10_TEM_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/016_feature_ablation_FEAT_W10_tem_foc_20260318_035622.log,0.0797,0.1617,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_BASE_B7,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/017_baseline_bridge_B7_20260317_225115.log,0.0807,0.1617,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_FEAT_W10_TEM_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/017_feature_ablation_FEAT_W10_tem_exp_20260318_042253.log,0.0801,0.1608,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W10_MEM_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/018_feature_ablation_FEAT_W10_mem_foc_20260318_042912.log,0.0798,0.1615,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_RXI_X1_STA_GAT,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/018_router2x2_RXI_X1_standard_gated_bias_20260317_215918.log,0.0812,0.162,0.002,0.0001,,0.0,0.0,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W10_MEM_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/019_feature_ablation_FEAT_W10_mem_exp_20260318_041756.log,0.0801,0.1613,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_RXI_X1_STA_GRO,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/019_router2x2_RXI_X1_standard_group_gated_bias_20260317_214605.log,0.0802,0.1618,0.002,0.0001,,0.0,0.0,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W10_FOC_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/020_feature_ablation_FEAT_W10_foc_exp_20260318_041735.log,0.0798,0.1613,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_RXI_X1_FAC_GAT,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/020_router2x2_RXI_X1_factored_gated_bias_20260317_221907.log,0.0808,0.1614,0.002,0.0001,,0.0,0.001,,,0.01,0.0,,,0.0,,
P6,P6_RXI_X1_FAC_GRO,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/021_router2x2_RXI_X1_factored_group_gated_bias_20260317_231355.log,0.0808,0.1618,0.002,0.0001,,0.0,0.001,,,0.01,0.0,,,0.0,,
P6,P6_RXI_X2_STA_GAT,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/022_router2x2_RXI_X2_standard_gated_bias_20260317_222555.log,0.0802,0.1579,0.002,0.0001,,0.0005,0.0,,,0.01,0.0,,,0.0,,
P6,P6_RXI_X2_STA_GRO,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/023_router2x2_RXI_X2_standard_group_gated_bias_20260317_221407.log,0.0801,0.1584,0.002,0.0001,,0.0005,0.0,,,0.01,0.0,,,0.0,,
P6,P6_RXI_X2_FAC_GAT,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/024_router2x2_RXI_X2_factored_gated_bias_20260317_224554.log,0.0801,0.1581,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
