dataset,model,combo_id,combo_kind,priority,est_runtime_sec,runtime_class,max_evals,epochs,patience,seed,run_phase,space_yaml,base_params_json,search_json
beauty,fearec,K2,aggressive,critical,239.7,fast,14,100,7,2026041622,BASELINE2_ADDTUNE2_BEAUTY_FEAREC_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fearec_K2.yaml,"{""contrast"": ""su"", ""dropout"": 0.115, ""embedding_size"": 128, ""global_ratio"": 0.8075, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.02, ""max_len"": 27, ""n_heads"": 2, ""n_layers"": 2, ""num_heads"": 2, ""num_layers"": 2, ""semantic_sample_max_tries"": 2, ""tau"": 0.23, ""weight_decay"": 0.0001125}","{""MAX_ITEM_LIST_LENGTH"": [27, 31], ""contrast"": [""su"", ""un""], ""learning_rate"": [0.0001257, 0.00016267, 0.00021295, 0.00026028, 0.00029577, 0.00034014, 0.00039929, 0.00048802, 0.00059154], ""tau"": [0.23, 0.2645], ""weight_decay"": [9e-05, 0.0001575]}"
beauty,fearec,K3,conservative,critical,239.7,fast,14,100,7,2026041623,BASELINE2_ADDTUNE2_BEAUTY_FEAREC_K3,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fearec_K3.yaml,"{""contrast"": ""un"", ""dropout"": 0.15, ""embedding_size"": 128, ""global_ratio"": 0.765, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.04, ""lmd_sem"": 0.02, ""max_len"": 16, ""n_heads"": 2, ""n_layers"": 1, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.18, ""weight_decay"": 0.00027}","{""MAX_ITEM_LIST_LENGTH"": [12, 16], ""learning_rate"": [0.0001257, 0.00016267, 0.00021295, 0.00026028, 0.00029577, 0.00034014, 0.00039929, 0.00048802, 0.00059154], ""tau"": [0.162, 0.18], ""weight_decay"": [0.000216, 0.000378]}"
beauty,fearec,K4,shock,critical,239.7,fast,14,100,7,2026041624,BASELINE2_ADDTUNE2_BEAUTY_FEAREC_K4,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_fearec_K4.yaml,"{""contrast"": ""us_x"", ""dropout"": 0.17, ""embedding_size"": 128, ""global_ratio"": 0.85, ""hidden_size"": 128, ""inner_size"": 256, ""lmd"": 0.02, ""lmd_sem"": 0.02, ""max_len"": 16, ""n_heads"": 2, ""n_layers"": 1, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.3, ""weight_decay"": 0.000225}","{""MAX_ITEM_LIST_LENGTH"": [16, 20], ""contrast"": [""su"", ""un""], ""learning_rate"": [0.0001257, 0.00016267, 0.00021295, 0.00026028, 0.00029577, 0.00034014, 0.00039929, 0.00048802, 0.00059154], ""tau"": [0.3, 0.345], ""weight_decay"": [0.00018, 0.000315]}"
beauty,duorec,K1,test_best,critical,251.5,fast,15,100,7,2026041601,BASELINE2_ADDTUNE2_BEAUTY_DUOREC_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_duorec_K1.yaml,"{""contrast"": ""su"", ""dropout"": 0.13, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.0, ""lmd_sem"": 0.02, ""max_len"": 20, ""n_heads"": 2, ""n_layers"": 1, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.24, ""weight_decay"": 0.0001}","{""MAX_ITEM_LIST_LENGTH"": [20, 24], ""learning_rate"": [0.00012803, 0.00016569, 0.0002169, 0.0002651, 0.00030125, 0.00034643, 0.00040668, 0.00049706, 0.00060249], ""tau"": [0.24, 0.276], ""weight_decay"": [8e-05, 0.00014]}"
beauty,duorec,K2,aggressive,critical,251.5,fast,15,100,7,2026041602,BASELINE2_ADDTUNE2_BEAUTY_DUOREC_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_duorec_K2.yaml,"{""contrast"": ""su"", ""dropout"": 0.125, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.0, ""lmd_sem"": 0.04, ""max_len"": 25, ""n_heads"": 2, ""n_layers"": 1, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.276, ""weight_decay"": 7.5e-05}","{""MAX_ITEM_LIST_LENGTH"": [25, 29], ""contrast"": [""su"", ""un""], ""learning_rate"": [0.00012803, 0.00016569, 0.0002169, 0.0002651, 0.00030125, 0.00034643, 0.00040668, 0.00049706, 0.00060249], ""tau"": [0.276, 0.3174], ""weight_decay"": [6e-05, 0.000105]}"
beauty,duorec,K3,conservative,critical,251.5,fast,15,100,7,2026041603,BASELINE2_ADDTUNE2_BEAUTY_DUOREC_K3,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_duorec_K3.yaml,"{""contrast"": ""un"", ""dropout"": 0.16, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.0, ""lmd_sem"": 0.02, ""max_len"": 14, ""n_heads"": 2, ""n_layers"": 1, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.216, ""weight_decay"": 0.00018}","{""MAX_ITEM_LIST_LENGTH"": [10, 14], ""learning_rate"": [0.00012803, 0.00016569, 0.0002169, 0.0002651, 0.00030125, 0.00034643, 0.00040668, 0.00049706, 0.00060249], ""tau"": [0.1944, 0.216], ""weight_decay"": [0.000144, 0.000252]}"
beauty,duorec,K4,shock,critical,251.5,fast,15,100,7,2026041604,BASELINE2_ADDTUNE2_BEAUTY_DUOREC_K4,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_duorec_K4.yaml,"{""contrast"": ""us_x"", ""dropout"": 0.18, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.02, ""lmd_sem"": 0.02, ""max_len"": 16, ""n_heads"": 2, ""n_layers"": 1, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.36, ""weight_decay"": 0.00015}","{""MAX_ITEM_LIST_LENGTH"": [16, 20], ""contrast"": [""su"", ""un""], ""learning_rate"": [0.00012803, 0.00016569, 0.0002169, 0.0002651, 0.00030125, 0.00034643, 0.00040668, 0.00049706, 0.00060249], ""tau"": [0.36, 0.414], ""weight_decay"": [0.00012, 0.00021]}"
beauty,duorec,K5,micro_down,critical,251.5,fast,15,100,7,2026041605,BASELINE2_ADDTUNE2_BEAUTY_DUOREC_K5,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/beauty_duorec_K5.yaml,"{""contrast"": ""su"", ""dropout"": 0.12, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""lmd"": 0.0, ""lmd_sem"": 0.02, ""max_len"": 18, ""n_heads"": 2, ""n_layers"": 1, ""num_heads"": 2, ""num_layers"": 1, ""semantic_sample_max_tries"": 2, ""tau"": 0.2208, ""weight_decay"": 0.000125}","{""MAX_ITEM_LIST_LENGTH"": [18, 22], ""learning_rate"": [0.00012803, 0.00016569, 0.0002169, 0.0002651, 0.00030125, 0.00034643, 0.00040668, 0.00049706, 0.00060249], ""tau"": [0.2208, 0.2539], ""weight_decay"": [0.0001, 0.000175]}"
retail_rocket,fdsa,K1,test_best,high,87.1,very_fast,14,100,7,2026041781,BASELINE2_ADDTUNE2_RETAIL_ROCKET_FDSA_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/retail_rocket_fdsa_K1.yaml,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""n_heads"": 4, ""n_layers"": 3, ""num_heads"": 4, ""num_layers"": 3, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}","{""lambda_attr"": [0.15, 0.175], ""learning_rate"": [0.00023428, 0.00030669, 0.00037484, 0.00042596, 0.00048985, 0.00057504, 0.00068153]}"
retail_rocket,fdsa,K2,low_reg,high,87.1,very_fast,14,100,7,2026041782,BASELINE2_ADDTUNE2_RETAIL_ROCKET_FDSA_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING2/spaces/retail_rocket_fdsa_K2.yaml,"{""attribute_hidden_size"": 160, ""dropout"": 0.13, ""embedding_size"": 160, ""fusion_type"": ""concat"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.19, ""max_len"": 36, ""n_heads"": 4, ""n_layers"": 3, ""num_heads"": 4, ""num_layers"": 3, ""pooling_mode"": ""mean"", ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0001}","{""fusion_type"": [""concat"", ""gate""], ""lambda_attr"": [0.19, 0.215], ""learning_rate"": [0.00023428, 0.00030669, 0.00037484, 0.00042596, 0.00048985, 0.00057504, 0.00068153], ""weight_decay"": [8e-05, 0.00014]}"
