dataset,group,stage_name,routed_family,usage_share
beauty,exploration_plus,mid,exposure,0.2714
beauty,exploration_plus,micro,tempo,0.2707
beauty,exploration_plus,micro,focus,0.2352
beauty,exploration_plus,micro,memory,0.2148
beauty,exploration_plus,micro,exposure,0.2833
foursquare,memory_plus,macro,tempo,0.2604
foursquare,memory_plus,macro,focus,0.2149
foursquare,memory_plus,macro,memory,0.2973
foursquare,memory_plus,macro,exposure,0.2202
foursquare,memory_plus,mid,tempo,0.2456
foursquare,memory_plus,mid,focus,0.2238
foursquare,memory_plus,mid,memory,0.3076
foursquare,memory_plus,mid,exposure,0.2208
foursquare,memory_plus,micro,tempo,0.2587
foursquare,memory_plus,micro,focus,0.2336
foursquare,memory_plus,micro,memory,0.3041
foursquare,memory_plus,micro,exposure,0.2488
foursquare,focus_plus,macro,tempo,0.2223
foursquare,focus_plus,macro,focus,0.3176
foursquare,focus_plus,macro,memory,0.2022
foursquare,focus_plus,macro,exposure,0.235
foursquare,focus_plus,mid,tempo,0.2365
foursquare,focus_plus,mid,focus,0.3294
foursquare,focus_plus,mid,memory,0.2228
foursquare,focus_plus,mid,exposure,0.2087
foursquare,focus_plus,micro,tempo,0.2545
foursquare,focus_plus,micro,focus,0.3313
foursquare,focus_plus,micro,memory,0.2211
foursquare,focus_plus,micro,exposure,0.2273
foursquare,tempo_plus,macro,tempo,0.3148
foursquare,tempo_plus,macro,focus,0.2222
foursquare,tempo_plus,macro,memory,0.2221
foursquare,tempo_plus,macro,exposure,0.2447
foursquare,tempo_plus,mid,tempo,0.3288
foursquare,tempo_plus,mid,focus,0.2335
foursquare,tempo_plus,mid,memory,0.2459
foursquare,tempo_plus,mid,exposure,0.2349
foursquare,tempo_plus,micro,tempo,0.3001
foursquare,tempo_plus,micro,focus,0.2187
foursquare,tempo_plus,micro,memory,0.2306
foursquare,tempo_plus,micro,exposure,0.2509
foursquare,exploration_plus,macro,tempo,0.2531
foursquare,exploration_plus,macro,focus,0.2553
foursquare,exploration_plus,macro,memory,0.2084
foursquare,exploration_plus,macro,exposure,0.2757
foursquare,exploration_plus,mid,tempo,0.2599
foursquare,exploration_plus,mid,focus,0.2235
foursquare,exploration_plus,mid,memory,0.2182
foursquare,exploration_plus,mid,exposure,0.2807
foursquare,exploration_plus,micro,tempo,0.2571
foursquare,exploration_plus,micro,focus,0.227
foursquare,exploration_plus,micro,memory,0.2066
foursquare,exploration_plus,micro,exposure,0.2967
