question,dataset,setting_key,setting_label,variant_order,base_rank,seed_id,status,best_valid_seen_mrr20,test_seen_mrr20,test_seen_mean,retention_vs_full,result_path,test_ndcg20,test_hit10,test_ndcg_20,test_hr10
q4,KuaiRecLargeStrictPosV2_0.2,remove_time,No Time Cues,3,4,1,ok,0.0188897871407043,0.3385790722300731,0.3474266158853269,0.9981007679276054,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q4_portability_kuaireclargestrictposv2_0_2_remove_time_r04_s1_20260421_015511_134671_pid1430034.json,0.351911,0.364763,0.351911,0.364763
q4,KuaiRecLargeStrictPosV2_0.2,remove_time,No Time Cues,3,4,5,ok,0.0190599588490246,0.3361145698560312,0.3421855425695971,0.9990774186558408,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q4_portability_kuaireclargestrictposv2_0_2_remove_time_r04_s5_20260421_024507_397156_pid1437447.json,0.351911,0.364763,0.351911,0.364763
q4,KuaiRecLargeStrictPosV2_0.2,portable_core,Portable Core,4,1,1,ok,0.0186335098389402,0.3394803114001788,0.3470183944903686,1.003487045828137,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q4_portability_kuaireclargestrictposv2_0_2_portable_core_r01_s1_20260421_015511_159923_pid1430031.json,0.353596,0.365894,0.353596,0.365894
q4,KuaiRecLargeStrictPosV2_0.2,portable_core,Portable Core,4,1,5,ok,0.0190868997743812,0.3384262273152758,0.3459336221499927,1.0030480928067136,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q4_portability_kuaireclargestrictposv2_0_2_portable_core_r01_s5_20260421_024507_253947_pid1437444.json,0.353596,0.365894,0.353596,0.365894
q4,KuaiRecLargeStrictPosV2_0.2,portable_core,Portable Core,4,4,1,ok,0.0180515831081579,0.3387961862410636,0.3476524369653717,0.9987408005783838,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q4_portability_kuaireclargestrictposv2_0_2_portable_core_r04_s1_20260421_015511_299533_pid1430035.json,0.353596,0.365894,0.353596,0.365894
q4,KuaiRecLargeStrictPosV2_0.2,portable_core,Portable Core,4,4,5,ok,0.018304858932659,0.3339195137536873,0.3421151276288029,0.9925527655130928,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q4_portability_kuaireclargestrictposv2_0_2_portable_core_r04_s5_20260421_024507_496459_pid1437445.json,0.353596,0.365894,0.353596,0.365894
q4,foursquare,full,Full Cues,1,1,1,ok,0.2070339677867218,0.1715243341361018,0.2297470917989262,1.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_full_r01_s1_20260421_021120_318695_pid1432781.json,0.2184,0.3215,0.2184,0.3215
q4,foursquare,full,Full Cues,1,1,5,ok,0.2070055732115395,0.1714873619982116,0.2297268626680897,1.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_full_r01_s5_20260421_032531_283673_pid1440074.json,0.2184,0.3215,0.2184,0.3215
q4,foursquare,full,Full Cues,1,4,1,ok,0.200612051092615,0.1647304138890821,0.2214088233912239,1.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_full_r04_s1_20260421_021624_023639_pid1433273.json,0.2184,0.3215,0.2184,0.3215
q4,foursquare,full,Full Cues,1,4,5,ok,0.2006130355963915,0.1647308881980457,0.221408982241983,1.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_full_r04_s5_20260421_034115_468242_pid1440180.json,0.2184,0.3215,0.2184,0.3215
q4,foursquare,remove_category,No Group Cues,2,1,1,ok,0.2072295505627348,0.1712394014334411,0.2289069102792007,0.998338820528902,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_category_r01_s1_20260421_021125_694897_pid1432807.json,0.21666,0.320307,0.21666,0.320307
q4,foursquare,remove_category,No Group Cues,2,1,5,ok,0.2071990971242694,0.1712129520063253,0.2288211138955557,0.9983998238197334,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_category_r01_s5_20260421_032648_633170_pid1440096.json,0.21666,0.320307,0.21666,0.320307
q4,foursquare,remove_category,No Group Cues,2,4,1,ok,0.2021000982891786,0.1665115291721743,0.2243528879600894,1.0108123038183556,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_category_r04_s1_20260421_021841_453829_pid1433452.json,0.21666,0.320307,0.21666,0.320307
q4,foursquare,remove_category,No Group Cues,2,4,5,ok,0.2021051067601104,0.1665278797273894,0.2244297638510684,1.0109086495495812,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_category_r04_s5_20260421_034223_505845_pid1440201.json,0.21666,0.320307,0.21666,0.320307
q4,foursquare,remove_time,No Time Cues,3,1,1,ok,0.2039955657740634,0.1676062429822582,0.2254215040347477,0.9771572286021256,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_time_r01_s1_20260421_021159_311832_pid1432865.json,0.21293,0.31792,0.21293,0.31792
q4,foursquare,remove_time,No Time Cues,3,1,5,ok,0.2044172148748791,0.16708390706693,0.2236529262348492,0.9743219857138652,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_time_r01_s5_20260421_033122_698974_pid1440122.json,0.21293,0.31792,0.21293,0.31792
q4,foursquare,remove_time,No Time Cues,3,4,1,ok,0.2002373587533837,0.1664090784553953,0.2234636086665172,1.0101903742404454,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_time_r04_s1_20260421_022111_509445_pid1433630.json,0.21293,0.31792,0.21293,0.31792
q4,foursquare,remove_time,No Time Cues,3,4,5,ok,0.2002303677813484,0.1663890944437967,0.223451108833604,1.0100661525223944,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_remove_time_r04_s5_20260421_034629_724868_pid1440232.json,0.21293,0.31792,0.21293,0.31792
q4,foursquare,portable_core,Portable Core,4,1,1,ok,0.2043636996205652,0.1680922949006207,0.2253507479946875,0.9799909484985506,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_portable_core_r01_s1_20260421_021437_946453_pid1433100.json,0.213427,0.316926,0.213427,0.316926
q4,foursquare,portable_core,Portable Core,4,1,5,ok,0.2046415803126859,0.1676574564478594,0.2249708812847932,0.9776665434366404,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_portable_core_r01_s5_20260421_033701_614318_pid1440152.json,0.213427,0.316926,0.213427,0.316926
q4,foursquare,portable_core,Portable Core,4,4,1,ok,0.2006537479282629,0.1658525685910031,0.2236535194266968,1.0068120675194598,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_portable_core_r04_s1_20260421_022114_487276_pid1433670.json,0.213427,0.316926,0.213427,0.316926
q4,foursquare,portable_core,Portable Core,4,4,5,ok,0.20169642404296,0.1663551059433167,0.2243231342740979,1.0098598250943585,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation/foursquare_FeaturedMoE_N3_q4_portability_foursquare_portable_core_r04_s5_20260421_034759_888993_pid1440252.json,0.213427,0.316926,0.213427,0.316926
