model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,profile_id,concept_id,detail_id,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
SASRec,0.230300,0.230100,0.230300,0.230100,0.227700,0.225600,C3D2,C3,D2,P15_WS_D00_M01_SASREC_C3D2_S1,WS_LASTFM0_03_SASREC_C3D2_S1,lastfm0.03,C3D2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c3d2_s1_20260328_161912_043959_pid373763.json,2026-03-28T18:21:01.786446Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.230000,0.229600,C3D3,C3,D3,P15_WS_D00_M01_SASREC_C3D3_S1,WS_LASTFM0_03_SASREC_C3D3_S1,lastfm0.03,C3D3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c3d3_s1_20260328_164132_341734_pid373804.json,2026-03-28T18:26:51.212356Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.217100,0.222500,C3D4,C3,D4,P15_WS_D00_M01_SASREC_C3D4_S1,WS_LASTFM0_03_SASREC_C3D4_S1,lastfm0.03,C3D4,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c3d4_s1_20260328_165247_229025_pid373833.json,2026-03-28T18:36:26.865822Z
GRU4Rec,0.230300,0.230100,0.002400,0.001900,0.002400,0.001900,C1D1,C1,D1,P15_WS_D00_M02_GRU4REC_C1D1_S1,WS_LASTFM0_03_GRU4REC_C1D1_S1,lastfm0.03,C1D1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c1d1_s1_20260328_183631_954596_pid374016.json,2026-03-28T18:45:12.459587Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.211000,0.213400,C4D2,C4,D2,P15_WS_D00_M01_SASREC_C4D2_S1,WS_LASTFM0_03_SASREC_C4D2_S1,lastfm0.03,C4D2,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c4d2_s1_20260328_175338_377643_pid373920.json,2026-03-28T19:02:44.592979Z
GRU4Rec,0.230300,0.230100,0.089200,0.085100,0.089200,0.085100,C1D2,C1,D2,P15_WS_D00_M02_GRU4REC_C1D2_S1,WS_LASTFM0_03_GRU4REC_C1D2_S1,lastfm0.03,C1D2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c1d2_s1_20260328_184517_397454_pid374053.json,2026-03-28T19:05:45.839085Z
GRU4Rec,0.230300,0.230100,0.089200,0.085100,0.002400,0.002100,C1D4,C1,D4,P15_WS_D00_M02_GRU4REC_C1D4_S1,WS_LASTFM0_03_GRU4REC_C1D4_S1,lastfm0.03,C1D4,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c1d4_s1_20260328_190551_082678_pid374136.json,2026-03-28T19:11:58.286474Z
GRU4Rec,0.230300,0.230100,0.089200,0.085100,0.002400,0.002200,C2D1,C2,D1,P15_WS_D00_M02_GRU4REC_C2D1_S1,WS_LASTFM0_03_GRU4REC_C2D1_S1,lastfm0.03,C2D1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c2d1_s1_20260328_191203_350543_pid374172.json,2026-03-28T19:19:33.822538Z
GRU4Rec,0.230300,0.230100,0.171000,0.170400,0.171000,0.170400,C1D3,C1,D3,P15_WS_D00_M02_GRU4REC_C1D3_S1,WS_LASTFM0_03_GRU4REC_C1D3_S1,lastfm0.03,C1D3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c1d3_s1_20260328_190249_532508_pid374112.json,2026-03-28T19:28:47.458360Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.127600,0.126000,C4D4,C4,D4,P15_WS_D00_M01_SASREC_C4D4_S1,WS_LASTFM0_03_SASREC_C4D4_S1,lastfm0.03,C4D4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c4d4_s1_20260328_182656_293845_pid373985.json,2026-03-28T19:41:08.290132Z
GRU4Rec,0.230300,0.230100,0.171000,0.170400,0.002300,0.001900,C2D4,C2,D4,P15_WS_D00_M02_GRU4REC_C2D4_S1,WS_LASTFM0_03_GRU4REC_C2D4_S1,lastfm0.03,C2D4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c2d4_s1_20260328_194113_292975_pid374318.json,2026-03-28T19:52:25.073506Z
GRU4Rec,0.230300,0.230100,0.174100,0.172800,0.174100,0.172800,C2D2,C2,D2,P15_WS_D00_M02_GRU4REC_C2D2_S1,WS_LASTFM0_03_GRU4REC_C2D2_S1,lastfm0.03,C2D2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c2d2_s1_20260328_191938_773140_pid374213.json,2026-03-28T19:55:36.340450Z
GRU4Rec,0.230300,0.230100,0.174100,0.172800,0.012900,0.012300,C3D1,C3,D1,P15_WS_D00_M02_GRU4REC_C3D1_S1,WS_LASTFM0_03_GRU4REC_C3D1_S1,lastfm0.03,C3D1,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c3d1_s1_20260328_195229_882074_pid374357.json,2026-03-28T20:04:43.970880Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.219000,0.219900,C4D3,C4,D3,P15_WS_D00_M01_SASREC_C4D3_S1,WS_LASTFM0_03_SASREC_C4D3_S1,lastfm0.03,C4D3,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c4d3_s1_20260328_182106_910712_pid373960.json,2026-03-28T20:12:02.485340Z
GRU4Rec,0.230300,0.230100,0.174100,0.172800,0.002500,0.002200,C3D4,C3,D4,P15_WS_D00_M02_GRU4REC_C3D4_S1,WS_LASTFM0_03_GRU4REC_C3D4_S1,lastfm0.03,C3D4,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c3d4_s1_20260328_201207_503847_pid374440.json,2026-03-28T20:19:05.998062Z
GRU4Rec,0.230300,0.230100,0.174100,0.172800,0.002500,0.002100,C4D1,C4,D1,P15_WS_D00_M02_GRU4REC_C4D1_S1,WS_LASTFM0_03_GRU4REC_C4D1_S1,lastfm0.03,C4D1,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c4d1_s1_20260328_201910_994324_pid374480.json,2026-03-28T20:26:14.489033Z
GRU4Rec,0.230300,0.230100,0.178600,0.179300,0.178600,0.179300,C3D3,C3,D3,P15_WS_D00_M02_GRU4REC_C3D3_S1,WS_LASTFM0_03_GRU4REC_C3D3_S1,lastfm0.03,C3D3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c3d3_s1_20260328_200448_973640_pid374414.json,2026-03-28T20:46:20.806649Z
GRU4Rec,0.230300,0.230100,0.178600,0.179300,0.141800,0.132900,C4D2,C4,D2,P15_WS_D00_M02_GRU4REC_C4D2_S1,WS_LASTFM0_03_GRU4REC_C4D2_S1,lastfm0.03,C4D2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c4d2_s1_20260328_202619_426579_pid374514.json,2026-03-28T20:53:02.290247Z
GRU4Rec,0.230300,0.230100,0.178600,0.179300,0.002600,0.002400,C4D4,C4,D4,P15_WS_D00_M02_GRU4REC_C4D4_S1,WS_LASTFM0_03_GRU4REC_C4D4_S1,lastfm0.03,C4D4,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c4d4_s1_20260328_205307_227803_pid374582.json,2026-03-28T21:05:37.145831Z
GRU4Rec,0.230300,0.230100,0.178600,0.179300,0.169200,0.163900,C4D3,C4,D3,P15_WS_D00_M02_GRU4REC_C4D3_S1,WS_LASTFM0_03_GRU4REC_C4D3_S1,lastfm0.03,C4D3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c4d3_s1_20260328_204625_675211_pid374557.json,2026-03-28T21:14:43.793209Z
GRU4Rec,0.230300,0.230100,0.178600,0.179300,0.177700,0.171500,C2D3,C2,D3,P15_WS_D00_M02_GRU4REC_C2D3_S1,WS_LASTFM0_03_GRU4REC_C2D3_S1,lastfm0.03,C2D3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c2d3_s1_20260328_192852_278089_pid374267.json,2026-03-28T21:16:33.982672Z
GRU4Rec,0.230300,0.230100,0.178600,0.179300,0.172900,0.170200,C3D2,C3,D2,P15_WS_D00_M02_GRU4REC_C3D2_S1,WS_LASTFM0_03_GRU4REC_C3D2_S1,lastfm0.03,C3D2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_c3d2_s1_20260328_195541_191665_pid374380.json,2026-03-28T21:35:41.222723Z
DuoRec,0.230300,0.230100,0.180500,0.179100,0.180500,0.179100,C1D1,C1,D1,P15_WS_D00_M03_DUOREC_C1D1_S1,WS_LASTFM0_03_DUOREC_C1D1_S1,lastfm0.03,C1D1,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DuoRec/lastfm0.03_DuoRec_p15_ws_d00_m03_duorec_c1d1_s1_20260328_210542_114069_pid374645.json,2026-03-28T23:18:20.573654Z
DuoRec,0.230300,0.230100,0.224500,0.224100,0.224500,0.224100,C1D4,C1,D4,P15_WS_D00_M03_DUOREC_C1D4_S1,WS_LASTFM0_03_DUOREC_C1D4_S1,lastfm0.03,C1D4,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DuoRec/lastfm0.03_DuoRec_p15_ws_d00_m03_duorec_c1d4_s1_20260328_213546_431274_pid374731.json,2026-03-29T00:22:56.584199Z
DuoRec,0.230300,0.230100,0.224500,0.224100,0.172000,0.176200,C1D2,C1,D2,P15_WS_D00_M03_DUOREC_C1D2_S1,WS_LASTFM0_03_DUOREC_C1D2_S1,lastfm0.03,C1D2,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DuoRec/lastfm0.03_DuoRec_p15_ws_d00_m03_duorec_c1d2_s1_20260328_211448_706125_pid374676.json,2026-03-29T01:15:23.886877Z
DuoRec,0.230300,0.230100,0.224500,0.224100,0.214100,0.214200,C2D1,C2,D1,P15_WS_D00_M03_DUOREC_C2D1_S1,WS_LASTFM0_03_DUOREC_C2D1_S1,lastfm0.03,C2D1,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DuoRec/lastfm0.03_DuoRec_p15_ws_d00_m03_duorec_c2d1_s1_20260328_231825_370062_pid374877.json,2026-03-29T01:54:04.347403Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.213600,0.215600,LR4_3e3_1e2,LR,LR4,P15_WS_D00_M01_SASREC_LR4_3e3_1e2_S1,WS_LASTFM0_03_SASREC_LR4_3e3_1e2_S1,lastfm0.03,LR4_3e3_1e2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_lr4_3e3_1e2_s1_20260329_022939_155487_pid389931.json,2026-03-29T03:02:25.120667Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.223800,0.220100,LR3_2e3_6e3,LR,LR3,P15_WS_D00_M01_SASREC_LR3_2e3_6e3_S1,WS_LASTFM0_03_SASREC_LR3_2e3_6e3_S1,lastfm0.03,LR3_2e3_6e3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_lr3_2e3_6e3_s1_20260329_022939_216461_pid389930.json,2026-03-29T03:02:33.193521Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.228200,0.228600,LR2_6e4_2e3,LR,LR2,P15_WS_D00_M01_SASREC_LR2_6e4_2e3_S1,WS_LASTFM0_03_SASREC_LR2_6e4_2e3_S1,lastfm0.03,LR2_6e4_2e3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_lr2_6e4_2e3_s1_20260329_022939_174746_pid389929.json,2026-03-29T03:23:58.592905Z
GRU4Rec,0.230300,0.230100,0.181300,0.179300,0.181300,0.177800,LR1_2e4_6e4,LR,LR1,P15_WS_D00_M02_GRU4REC_LR1_2e4_6e4_S1,WS_LASTFM0_03_GRU4REC_LR1_2e4_6e4_S1,lastfm0.03,LR1_2e4_6e4,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_lr1_2e4_6e4_s1_20260329_030230_197505_pid392198.json,2026-03-29T03:39:33.633594Z
GRU4Rec,0.230300,0.230100,0.193000,0.191900,0.193000,0.191900,LR2_6e4_2e3,LR,LR2,P15_WS_D00_M02_GRU4REC_LR2_6e4_2e3_S1,WS_LASTFM0_03_GRU4REC_LR2_6e4_2e3_S1,lastfm0.03,LR2_6e4_2e3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_lr2_6e4_2e3_s1_20260329_030238_255688_pid392231.json,2026-03-29T03:54:06.591076Z
GRU4Rec,0.230300,0.230100,0.199600,0.198000,0.199600,0.198000,LR3_2e3_6e3,LR,LR3,P15_WS_D00_M02_GRU4REC_LR3_2e3_6e3_S1,WS_LASTFM0_03_GRU4REC_LR3_2e3_6e3_S1,lastfm0.03,LR3_2e3_6e3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_lr3_2e3_6e3_s1_20260329_032403_575265_pid393568.json,2026-03-29T04:05:55.392081Z
GRU4Rec,0.230300,0.230100,0.199600,0.198000,0.199100,0.195100,LR4_3e3_1e2,LR,LR4,P15_WS_D00_M02_GRU4REC_LR4_3e3_1e2_S1,WS_LASTFM0_03_GRU4REC_LR4_3e3_1e2_S1,lastfm0.03,LR4_3e3_1e2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/GRU4Rec/lastfm0.03_GRU4Rec_p15_ws_d00_m02_gru4rec_lr4_3e3_1e2_s1_20260329_033938_879319_pid394581.json,2026-03-29T04:22:37.527704Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.229800,0.227600,LR1_2e4_6e4,LR,LR1,P15_WS_D00_M01_SASREC_LR1_2e4_6e4_S1,WS_LASTFM0_03_SASREC_LR1_2e4_6e4_S1,lastfm0.03,LR1_2e4_6e4,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_lr1_2e4_6e4_s1_20260329_022939_220870_pid389928.json,2026-03-29T04:31:11.132382Z
DIFSR,0.230300,0.230100,0.217800,0.211500,0.217800,0.211500,C1D3,C1,D3,P15_WS_D00_M04_DIFSR_C1D3_S1,WS_LASTFM0_03_DIFSR_C1D3_S1,lastfm0.03,C1D3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DIFSR/lastfm0.03_DIFSR_p15_ws_d00_m04_difsr_c1d3_s1_20260329_063133_929414_pid412111.json,2026-03-29T07:38:50.171740Z
DIFSR,0.230300,0.230100,0.217800,0.213100,0.214900,0.213100,C2D3,C2,D3,P15_WS_D00_M04_DIFSR_C2D3_S1,WS_LASTFM0_03_DIFSR_C2D3_S1,lastfm0.03,C2D3,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DIFSR/lastfm0.03_DIFSR_p15_ws_d00_m04_difsr_c2d3_s1_20260329_063133_873840_pid412112.json,2026-03-29T08:21:24.861265Z
DIFSR,0.230300,0.234200,0.229200,0.234200,0.229200,0.234200,C2D2,C2,D2,P15_WS_D00_M04_DIFSR_C2D2_S1,WS_LASTFM0_03_DIFSR_C2D2_S1,lastfm0.03,C2D2,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DIFSR/lastfm0.03_DIFSR_p15_ws_d00_m04_difsr_c2d2_s1_20260329_073855_195903_pid421905.json,2026-03-29T09:13:02.093556Z
DIFSR,0.230300,0.234200,0.229200,0.234200,0.218100,0.221400,C3D3,C3,D3,P15_WS_D00_M04_DIFSR_C3D3_S1,WS_LASTFM0_03_DIFSR_C3D3_S1,lastfm0.03,C3D3,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DIFSR/lastfm0.03_DIFSR_p15_ws_d00_m04_difsr_c3d3_s1_20260329_082129_864511_pid424257.json,2026-03-29T09:53:43.673283Z
DuoRec,0.230300,0.234200,0.224500,0.224100,0.207800,0.209300,C1D3,C1,D3,P15_WS_D00_M03_DUOREC_C1D3_S1,WS_LASTFM0_03_DUOREC_C1D3_S1,lastfm0.03,C1D3,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/DuoRec/lastfm0.03_DuoRec_p15_ws_d00_m03_duorec_c1d3_s1_20260329_063134_007932_pid412109.json,2026-03-29T10:58:22.731101Z
FAME,0.230300,0.234200,0.185600,0.180500,0.185600,0.180500,C1D4,C1,D4,P15_WS_D00_M05_FAME_C1D4_S1,WS_LASTFM0_03_FAME_C1D4_S1,lastfm0.03,C1D4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/FAME/lastfm0.03_FAME_p15_ws_d00_m05_fame_c1d4_s1_20260329_091306_986941_pid427178.json,2026-03-29T11:17:02.948732Z
