run_phase,run_id,dataset,candidate_id,source_run_phase,base_id,concept_id,combo_id,main_aux,support_aux,hvar_id,seed_id,gpu_id,status,run_best_valid_mrr20,test_mrr20,n_completed,interrupted,result_path,timestamp_utc
P9_2_K4_B2_C3_F2_H2_S3,K4_B2_C3_F2_H2_S3,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H2,3,6,pending,,,,,,2026-03-22T15:03:51.931824Z
P9_2_K4_B2_C3_F2_H2_S4,K4_B2_C3_F2_H2_S4,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H2,4,7,pending,,,,,,2026-03-22T15:03:51.931832Z
P9_2_K4_B2_C3_F2_H3_S1,K4_B2_C3_F2_H3_S1,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H3,1,0,pending,,,,,,2026-03-22T15:03:51.931841Z
P9_2_K4_B2_C3_F2_H3_S2,K4_B2_C3_F2_H3_S2,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H3,2,1,pending,,,,,,2026-03-22T15:03:51.931850Z
P9_2_K4_B2_C3_F2_H3_S3,K4_B2_C3_F2_H3_S3,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H3,3,2,pending,,,,,,2026-03-22T15:03:51.931859Z
P9_2_K4_B2_C3_F2_H3_S4,K4_B2_C3_F2_H3_S4,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H3,4,3,pending,,,,,,2026-03-22T15:03:51.931868Z
P9_2_K4_B2_C3_F2_H4_S1,K4_B2_C3_F2_H4_S1,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H4,1,4,pending,,,,,,2026-03-22T15:03:51.931877Z
P9_2_K4_B2_C3_F2_H4_S2,K4_B2_C3_F2_H4_S2,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H4,2,5,pending,,,,,,2026-03-22T15:03:51.931885Z
P9_2_K4_B2_C3_F2_H4_S3,K4_B2_C3_F2_H4_S3,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H4,3,6,pending,,,,,,2026-03-22T15:03:51.931894Z
P9_2_K4_B2_C3_F2_H4_S4,K4_B2_C3_F2_H4_S4,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H4,4,7,pending,,,,,,2026-03-22T15:03:51.931903Z
