dataset,model,base_rank,base_tag,split,metric,value,result_json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,ndcg@10,0.3479,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,ndcg@20,0.3538,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,mrr@5,0.3378,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,mrr@10,0.3407,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,mrr@20,0.3423,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,hit@5,0.0216,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,hit@10,0.0352,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,hit@20,0.0542,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,ndcg@5,0.0172,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,ndcg@10,0.0216,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,ndcg@20,0.0264,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,mrr@5,0.0158,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,mrr@10,0.0175,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,valid,mrr@20,0.0189,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,hit@5,0.3505,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,hit@10,0.3673,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,hit@20,0.3919,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,ndcg@5,0.3413,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,ndcg@10,0.3467,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,ndcg@20,0.3529,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,mrr@5,0.3383,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,mrr@10,0.3405,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,kuaireclargestrictposv2_0_2_top02_rfmoe,test,mrr@20,0.3422,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,hit@5,0.0235,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,hit@10,0.0379,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,hit@20,0.058,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,ndcg@5,0.0178,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,ndcg@10,0.0223,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,ndcg@20,0.0274,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,mrr@5,0.0159,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,mrr@10,0.0177,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,valid,mrr@20,0.0191,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,hit@5,0.3527,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,hit@10,0.3639,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,hit@20,0.3819,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,ndcg@5,0.3437,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,ndcg@10,0.3473,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,ndcg@20,0.3518,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,mrr@5,0.3408,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,mrr@10,0.3422,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,kuaireclargestrictposv2_0_2_top03_rfmoe,test,mrr@20,0.3434,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,kuaireclargestrictposv2_0_2_top04_23090_results,valid,hit@5,0.025,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,kuaireclargestrictposv2_0_2_top04_23090_results,valid,hit@10,0.0352,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,kuaireclargestrictposv2_0_2_top04_23090_results,valid,hit@20,0.0565,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,kuaireclargestrictposv2_0_2_top04_23090_results,valid,ndcg@5,0.0179,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,kuaireclargestrictposv2_0_2_top04_23090_results,valid,ndcg@10,0.0211,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,kuaireclargestrictposv2_0_2_top04_23090_results,valid,ndcg@20,0.0264,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json
