best_valid_mrr20,dataset,expert,expert_global_share,family,family_expert_share_norm,family_expert_value,hparam_id,run_phase,seed_id,setting_group,setting_key,setting_short,setting_uid,source_axis,source_phase,split,stage_name,test_mrr20
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.13570325076580048,Tempo,0.14013082517708148,38019.0625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.08427169173955917,Focus,0.08506464731940441,23747.671875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09481535851955414,Focus,0.09305196534375584,25977.5078125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07072146981954575,Focus,0.07045250132735897,19668.369140625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07814066112041473,Focus,0.07892398678964835,22033.37109375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08484990149736404,Focus,0.08513084473718881,23766.15234375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.074994295835495,Focus,0.07426770295918758,20733.466796875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.07817169278860092,Focus,0.07915957459840671,22099.140625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07791981101036072,Focus,0.0779023833512053,21748.16796875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07159870862960815,Focus,0.07143183412553004,19941.771484375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07456044852733612,Focus,0.07483588696763628,20892.087890625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.0742526724934578,Focus,0.07431154073342527,20745.705078125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.13570325076580048,Focus,0.13546713174725244,37818.63671875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.08427169173955917,Memory,0.08159181201160878,8857.9833984375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09481535851955414,Memory,0.11358056618834213,12330.830078125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07072146981954575,Memory,0.07494880651991491,8136.7880859375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07814066112041473,Memory,0.0740895112031522,8043.4990234375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08484990149736404,Memory,0.08051397784005218,8740.96875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.074994295835495,Memory,0.07279412765093332,7902.8662109375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.07817169278860092,Memory,0.06776700537790435,7357.0986328125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07791981101036072,Memory,0.09057204535434586,9832.9189453125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07159870862960815,Memory,0.08416386006452047,9137.216796875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07456044852733612,Memory,0.06677141899473252,7249.01318359375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.0742526724934578,Memory,0.06814932918713688,7398.60546875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.13570325076580048,Memory,0.12505753960735644,13576.8232421875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.08427169173955917,Exposure,0.07985214608511995,23987.8359375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09481535851955414,Exposure,0.09134516505947207,27440.375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07072146981954575,Exposure,0.06717190091640589,20178.650390625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07814066112041473,Exposure,0.08044190043547665,24165.0,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08484990149736404,Exposure,0.0874369794637494,26266.34375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.074994295835495,Exposure,0.07712619989552971,23168.953125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.07817169278860092,Exposure,0.07041443155448182,21152.716796875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07791981101036072,Exposure,0.0731966042689859,21988.490234375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07159870862960815,Exposure,0.06606654387117843,19846.59765625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07456044852733612,Exposure,0.07064098908074774,21220.775390625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.0742526724934578,Exposure,0.07899001687257366,23728.849609375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.13570325076580048,Exposure,0.15731712249627877,47258.55859375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.0858556479215622,Tempo,0.09189440222350755,24931.98046875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09247361868619919,Tempo,0.08136649238427154,22075.640625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07098355144262314,Tempo,0.06891925751717279,18698.56640625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07605937868356705,Tempo,0.07745709216211256,21014.9765625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08659970015287399,Tempo,0.08807951552750908,23896.958984375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.07371621578931808,Tempo,0.0747883178488517,20290.908203125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.0741589143872261,Tempo,0.07674158539144113,20820.8515625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07191891968250275,Tempo,0.06977817231241909,18931.599609375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07448850572109222,Tempo,0.07005308868461374,19006.1875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07710536569356918,Tempo,0.07890549089392518,21407.943359375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.07816621661186218,Tempo,0.07943988213373575,21552.9296875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.1384739875793457,Tempo,0.1425767029204399,38682.65625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.0858556479215622,Focus,0.0866230342998324,24182.73046875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09247361868619919,Focus,0.09093164517188562,25385.57421875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07098355144262314,Focus,0.07078226260726367,19760.4296875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07605937868356705,Focus,0.07657160516183695,21376.65234375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08659970015287399,Focus,0.08701061310673025,24290.931640625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.07371621578931808,Focus,0.07314003659761455,20418.654296875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.0741589143872261,Focus,0.07503783579027752,20948.466796875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07191891968250275,Focus,0.07218000615267976,20150.640625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07448850572109222,Focus,0.07392333771095407,20637.330078125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07710536569356918,Focus,0.07739675714654351,21607.01171875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.07816621661186218,Focus,0.07821372365490446,21835.0859375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.1384739875793457,Focus,0.13818914259947726,38578.546875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.0858556479215622,Memory,0.08316902440810489,9029.212890625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09247361868619919,Memory,0.10903046890378311,11836.8505859375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07098355144262314,Memory,0.07493756215865223,8135.5673828125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07605937868356705,Memory,0.07273918902142835,7896.90185546875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08659970015287399,Memory,0.08235813237046347,8941.1787109375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.07371621578931808,Memory,0.07207472116416705,7824.76416015625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.0741589143872261,Memory,0.06660408512668997,7230.8466796875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07191891968250275,Memory,0.07821093147088397,8490.939453125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07448850572109222,Memory,0.09054941297513434,9830.4619140625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07710536569356918,Memory,0.06941696667297322,7536.22607421875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.07816621661186218,Memory,0.07217952446467134,7836.14208984375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.1384739875793457,Memory,0.12872998126304808,13975.5205078125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.0858556479215622,Exposure,0.081416484964779,24457.76953125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09247361868619919,Exposure,0.08900083682463214,26736.1328125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07098355144262314,Exposure,0.06734941927228667,20231.978515625,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07605937868356705,Exposure,0.07765958714635961,23329.185546875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08659970015287399,Exposure,0.08852134448302837,26592.091796875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.07371621578931808,Exposure,0.07514666861855746,22574.296875,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.0741589143872261,Exposure,0.068528765369669,20586.2578125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07191891968250275,Exposure,0.06716360127986595,20176.158203125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07448850572109222,Exposure,0.0689424412124178,20710.52734375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07710536569356918,Exposure,0.07324305495988434,22002.4453125,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.07816621661186218,Exposure,0.08318177539781353,24988.068359375,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Exposure_c,0.1384739875793457,Exposure,0.1598460204707061,48018.25,H1,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.08600488305091858,Tempo,0.09198626914126472,24956.90625,H1,P10_13_2_AP10_00_H1_S3,3,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09221220761537552,Tempo,0.08123548386160925,22040.09765625,H1,P10_13_2_AP10_00_H1_S3,3,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
0.0809,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07106728106737137,Tempo,0.06899822527809303,18719.9921875,H1,P10_13_2_AP10_00_H1_S3,3,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1614
